GeneID	Function	Orthogroup
2240	LOC102655072	Background	OG0005607
2241	LOC102655073	Background	OG0000056
2242	LOC102655078	Background	OG0009892
2243	LOC102655080	Background	Unassigned
2244	LOC102655088	Background	Unassigned
2245	LOC102655089	Background	Unassigned
2246	LOC102655090	Background	OG0008271
2247	LOC102655092	Background	OG0010252
2248	LOC102655094	Background	Unassigned
2249	LOC102655097	Background	OG0004705
2250	LOC102655099	Background	Unassigned
2251	LOC102655100	Background	OG0009095
2252	LOC102655102	Background	OG0009379
2253	LOC102655106	Background	Unassigned
2254	LOC102655107	Background	OG0004905
2255	LOC102655111	Background	OG0009495
2256	LOC102655112	Background	OG0000868
2257	LOC102655120	Background	OG0000519
2258	LOC102655123	Background	Unassigned
2259	LOC102655124	Background	OG0009278
2260	LOC102655126	Background	OG0003280
2261	LOC102655127	Background	OG0007863
2262	LOC102655130	Background	OG0003061
2263	LOC102655131	Background	OG0004903
2264	LOC102655134	Background	Unassigned
2265	LOC102655138	Background	OG0001323
2266	LOC102655139	Background	OG0009369
2267	LOC102655141	Background	OG0000735
2268	LOC102655142	Background	Unassigned
2269	LOC102655144	Background	Unassigned
2270	LOC102655145	Background	Unassigned
2271	LOC102655147	Background	OG0000083
2272	LOC102655148	Background	OG0009397
2273	LOC102655152	Background	OG0010749
2274	LOC102655153	Background	OG0009241
2275	LOC102655155	Background	Unassigned
2276	LOC102655156	Background	OG0007860
2277	LOC102655158	Background	OG0010770
2278	LOC102655167	Background	Unassigned
2279	LOC102655168	Background	OG0005791
2280	LOC102655173	Background	Unassigned
2281	LOC102655174	Background	Unassigned
2282	LOC102655177	Background	Unassigned
2283	LOC102655179	Background	Unassigned
2284	LOC102655180	Background	OG0000083
2285	LOC102655181	Background	Unassigned
2286	LOC102655184	Background	Unassigned
2287	LOC102655185	Background	OG0009894
2288	LOC102655188	Background	OG0010271
2289	LOC102655189	Background	OG0000349
2290	LOC102655195	Background	Unassigned
2291	LOC102655200	Background	Unassigned
2292	LOC102655202	Background	OG0003479
2293	LOC102655203	Background	OG0004764
2294	LOC102655208	Background	Unassigned
2295	LOC102655213	Background	Unassigned
2296	LOC102655217	Background	OG0004332
2297	LOC102655218	Background	OG0000001
2298	LOC102655219	Background	OG0008941
2299	LOC102655220	Background	OG0002937
2300	LOC102655223	Background	Unassigned
2301	LOC102655228	Background	OG0008838
2302	LOC102655229	Background	Unassigned
2303	LOC102655232	Background	Unassigned
2304	LOC102655235	Background	Unassigned
2305	LOC102655237	Background	Unassigned
2306	LOC102655238	Background	OG0005945
2307	LOC102655240	Background	OG0009280
2308	LOC102655241	Background	Unassigned
2309	LOC102655243	Background	OG0005185
2310	LOC102655244	Background	Unassigned
2311	LOC102655247	Background	Unassigned
2312	LOC102655249	Background	OG0001513
2313	LOC102655251	Background	Unassigned
2314	LOC102655252	Background	Unassigned
2315	LOC102655259	Background	Unassigned
2316	LOC102655263	Background	OG0006281
2317	LOC102655268	Background	OG0003574
2318	LOC102655272	Background	OG0002189
2319	LOC102655275	Background	OG0010756
2320	LOC102655278	Background	Unassigned
2321	LOC102655280	Background	Unassigned
2322	LOC102655281	Background	Unassigned
2323	LOC102655282	Background	OG0006904
2324	LOC102655284	Background	OG0005388
2325	LOC102655285	Background	OG0000018
2326	LOC102655287	Background	OG0000722
2327	LOC102655291	Background	Unassigned
2328	LOC102655292	Background	Unassigned
2329	LOC102655299	Background	Unassigned
2330	LOC102655300	Background	Unassigned
2331	LOC102655302	Background	Unassigned
2332	LOC102655306	Background	OG0003616
2333	LOC102655307	Background	Unassigned
2334	LOC102655308	Background	Unassigned
2335	LOC102655311	Background	Unassigned
2336	LOC102655316	Background	Unassigned
2337	LOC102655319	Background	OG0004441
2338	LOC102655329	Background	OG0005177
2339	LOC102655330	Background	OG0010795
2340	LOC102655332	Background	OG0005479
2341	LOC102655337	Background	Unassigned
2342	LOC102655339	Background	Unassigned
2343	LOC102655352	Background	OG0009368
2344	LOC102655353	Background	OG0009417
2345	LOC102655354	Background	Unassigned
2346	LOC102655355	Background	Unassigned
2347	LOC102655356	Background	OG0000487
2348	LOC102655357	Background	Unassigned
2349	LOC102655361	Background	Unassigned
2350	LOC102655363	Background	Unassigned
2351	LOC102655365	Background	Unassigned
2352	LOC102655367	Background	OG0000119
2353	LOC102655371	Background	Unassigned
2354	LOC102655373	Background	Unassigned
2355	LOC102655375	Background	Unassigned
2356	LOC102655376	Background	Unassigned
2357	LOC102655388	Background	OG0002607
2358	LOC102655391	Background	OG0002231
2359	LOC102655392	Background	OG0006870
2360	LOC102655393	Background	Unassigned
2361	LOC102655396	Background	Unassigned
2362	LOC102655399	Background	OG0008909
2363	LOC102655405	Background	OG0010841
2364	LOC102655407	Background	Unassigned
2365	LOC102655409	Background	OG0010804
2366	LOC102655411	Background	OG0004927
2367	LOC102655419	Background	Unassigned
2368	LOC102655420	Background	OG0008900
2369	LOC102655422	Background	OG0003835
2370	LOC102655426	Background	Unassigned
2371	LOC102655427	Background	Unassigned
2372	LOC102655429	Background	OG0002992
2373	LOC102655431	Background	Unassigned
2374	LOC102655432	Background	Unassigned
2375	LOC102655434	Background	OG0000119
2376	LOC102655435	Background	OG0000002
2377	LOC102655436	Background	OG0004250
2378	LOC102655437	Background	Unassigned
2379	LOC102655438	Background	Unassigned
2380	LOC102655440	Background	OG0008833
2381	LOC102655442	Background	Unassigned
2382	LOC102655446	Background	OG0008288
2383	LOC102655447	Background	Unassigned
2384	LOC102655449	Background	Unassigned
2385	LOC102655452	Background	OG0006500
2386	LOC102655453	Background	Unassigned
2387	LOC102655454	Background	Unassigned
2388	LOC102655455	Background	Unassigned
2389	LOC102655457	Background	OG0003602
2390	LOC102655461	Background	OG0009059
2391	LOC102655462	Background	Unassigned
2392	LOC102655463	Background	OG0008017
2393	LOC102655464	Background	Unassigned
2394	LOC102655465	Background	Unassigned
2395	LOC102655466	Background	OG0002680
2396	LOC102655469	Background	OG0009132
2397	LOC102655470	Background	OG0008068
2398	LOC102655476	Background	OG0009187
2399	LOC102655477	Background	OG0010788
2400	LOC102655479	Background	OG0002012
2401	LOC102655481	Background	Unassigned
2402	LOC102655485	Background	Unassigned
2403	LOC102655490	Background	Unassigned
2404	LOC102655491	Background	Unassigned
2405	LOC102655493	Background	OG0008194
2406	LOC102655494	Background	Unassigned
2407	LOC102655495	Background	Unassigned
2408	LOC102655496	Background	Unassigned
2409	LOC102655503	Background	OG0007836
2410	LOC102655506	Background	Unassigned
2411	LOC102655507	Background	Unassigned
2412	LOC102655509	Background	Unassigned
2413	LOC102655512	Background	OG0002991
2414	LOC102655515	Background	Unassigned
2415	LOC102655519	Background	Unassigned
2416	LOC102655520	Background	OG0001858
2417	LOC102655521	Background	OG0009414
2418	LOC102655522	Background	Unassigned
2419	LOC102655523	Background	OG0009245
2420	LOC102655526	Background	Unassigned
2421	LOC102655529	Background	Unassigned
2422	LOC102655530	Background	OG0009302
2423	LOC102655531	Background	Unassigned
2424	LOC102655536	Background	Unassigned
2425	LOC102655538	Background	OG0002347
2426	LOC102655539	Background	Unassigned
2427	LOC102655540	Background	OG0003829
2428	LOC102655553	Background	OG0000119
2429	LOC102655555	Background	Unassigned
2430	LOC102655559	Background	OG0000018
2431	LOC102655560	Background	Unassigned
2432	LOC102655563	Background	OG0005792
2433	LOC102655564	Background	OG0008958
2434	LOC102655567	Background	Unassigned
2435	LOC102655568	Background	Unassigned
2436	LOC102655574	Background	Unassigned
2437	LOC102655581	Background	Unassigned
2438	LOC102655582	Background	Unassigned
2439	LOC102655585	Background	OG0008175
2440	LOC102655587	Background	Unassigned
2441	LOC102655591	Background	Unassigned
2442	LOC102655592	Background	OG0008316
2443	LOC102655594	Background	Unassigned
2444	LOC102655600	Background	OG0010699
2445	LOC102655603	Background	OG0004496
2446	LOC102655605	Background	Unassigned
2447	LOC102655609	Background	Unassigned
2448	LOC102655611	Background	OG0010811
2449	LOC102655612	Background	OG0009933
2450	LOC102655614	Background	Unassigned
2451	LOC102655617	Background	OG0008699
2452	LOC102655618	Background	OG0003773
2453	LOC102655619	Background	Unassigned
2454	LOC102655621	Background	Unassigned
2455	LOC102655622	Background	OG0006532
2456	LOC102655624	Background	OG0010876
2457	LOC102655631	Background	OG0000134
2458	LOC102655634	Background	Unassigned
2459	LOC102655635	Background	Unassigned
2460	LOC102655636	Background	OG0009214
2461	LOC102655639	Background	OG0003296
2462	LOC102655645	Background	Unassigned
2463	LOC102655648	Background	OG0008280
2464	LOC102655652	Background	Unassigned
2465	LOC102655654	Background	OG0009307
2466	LOC102655655	Background	Unassigned
2467	LOC102655660	Background	Unassigned
2468	LOC102655661	Background	OG0007706
2469	LOC102655663	Background	OG0000531
2470	LOC102655670	Background	OG0009128
2471	LOC102655673	Background	OG0005710
2472	LOC102655674	Background	Unassigned
2473	LOC102655676	Background	Unassigned
2474	LOC102655679	Background	OG0001018
2475	LOC102655682	Background	Unassigned
2476	LOC102655685	Background	OG0010869
2477	LOC102655688	Background	OG0007785
2478	LOC102655689	Background	OG0004362
2479	LOC102655690	Background	OG0007670
2480	LOC102655697	Background	OG0009898
2481	LOC102655698	Background	Unassigned
2482	LOC102655699	Background	Unassigned
2483	LOC102655706	Background	OG0002103
2484	LOC102655707	Background	Unassigned
2485	LOC102655709	Background	OG0007495
2486	LOC102655710	Background	OG0002509
2487	LOC102655712	Background	OG0000231
2488	LOC102655718	Background	Unassigned
2489	LOC102655720	Background	Unassigned
2490	LOC102655721	Background	Unassigned
2491	LOC102655724	Background	Unassigned
2492	LOC102655734	Background	Unassigned
2493	LOC102655737	Background	OG0008053
2494	LOC102655740	Background	OG0002381
2495	LOC102655746	Background	Unassigned
2496	LOC102655747	Background	OG0010844
2497	LOC102655751	Background	Unassigned
2498	LOC102655754	Background	OG0006147
2499	LOC102655756	Background	OG0009370
2500	LOC102655757	Background	Unassigned
2501	LOC102655762	Background	OG0010277
2502	LOC102655764	Background	OG0009062
2503	LOC102655765	Background	OG0004130
2504	LOC102655775	Background	OG0010844
2505	LOC102655778	Background	OG0006359
2506	LOC102655779	Background	Unassigned
2507	LOC102655781	Background	OG0010667
2508	LOC102655783	Background	Unassigned
2509	LOC102655784	Background	Unassigned
2510	LOC102655785	Background	Unassigned
2511	LOC102655786	Background	Unassigned
2512	LOC102655787	Background	Unassigned
2513	LOC102655788	Background	Unassigned
2514	LOC102655790	Background	Unassigned
2515	LOC102655792	Background	Unassigned
2516	LOC102655793	Background	Unassigned
2517	LOC102655794	Background	OG0010769
2518	LOC102655796	Background	OG0000411
2519	LOC102655797	Background	Unassigned
2520	LOC102655798	Background	OG0008910
2521	LOC102655805	Background	Unassigned
2522	LOC102655807	Background	OG0010798
2523	LOC102655809	Background	Unassigned
2524	LOC102655810	Background	OG0002749
2525	LOC102655811	Background	OG0009908
2526	LOC102655812	Background	Unassigned
2527	LOC102655814	Background	Unassigned
2528	LOC102655815	Background	OG0008236
2529	LOC102655817	Background	Unassigned
2530	LOC102655819	Background	OG0006479
2531	LOC102655821	Background	Unassigned
2532	LOC102655824	Background	OG0005705
2533	LOC102655825	Background	OG0000336
2534	LOC102655835	Background	Unassigned
2535	LOC102655836	Background	OG0002948
2536	LOC102655837	Background	OG0010866
2537	LOC102655838	Background	Unassigned
2538	LOC102655840	Background	Unassigned
2539	LOC102655841	Background	OG0002322
2540	LOC102655842	Background	Unassigned
2541	LOC102655843	Background	Unassigned
2542	LOC102655844	Background	OG0010259
2543	LOC102655847	Background	Unassigned
2544	LOC102655849	Background	Unassigned
2545	LOC102655857	Background	OG0000336
2546	LOC102655858	Background	Unassigned
2547	LOC102655859	Background	OG0000287
2548	LOC102655862	Background	OG0010750
2549	LOC102655864	Background	OG0010671
2550	LOC102655865	Background	Unassigned
2551	LOC102655866	Background	Unassigned
2552	LOC102655867	Background	Unassigned
2553	LOC102655868	Background	Unassigned
2554	LOC102655870	Background	Unassigned
2555	LOC102655877	Background	OG0006810
2556	LOC102655878	Background	OG0010707
2557	LOC102655879	Background	OG0003249
2558	LOC102655881	Background	Unassigned
2559	LOC102655882	Background	OG0003472
2560	LOC102655889	Background	Unassigned
2561	LOC102655890	Background	Unassigned
2562	LOC102655893	Background	Unassigned
2563	LOC102655896	Background	OG0006787
2564	LOC102655897	Background	OG0007675
2565	LOC102655898	Background	OG0006354
2566	LOC102655899	Background	OG0009364
2567	LOC102655900	Background	Unassigned
2568	LOC102655904	Background	OG0007736
2569	LOC102655905	Background	OG0009674
2570	LOC102655915	Background	Unassigned
2571	LOC102655921	Background	OG0010845
2572	LOC102655922	Background	OG0008978
2573	LOC102655924	Background	Unassigned
2574	LOC102655928	Background	Unassigned
2575	LOC102655933	Background	Unassigned
2576	LOC102655938	Background	OG0010852
2577	LOC102655942	Background	OG0008268
2578	LOC102655943	Background	Unassigned
2579	LOC102655945	Background	OG0003471
2580	LOC102655946	Background	Unassigned
2581	LOC102655948	Background	OG0007514
2582	LOC102655950	Background	OG0004162
2583	LOC102655953	Background	OG0008244
2584	LOC102655966	Background	Unassigned
2585	LOC102655968	Background	Unassigned
2586	LOC102655970	Background	OG0009902
2587	LOC102655971	Background	OG0006605
2588	LOC102655976	Background	Unassigned
2589	LOC102655979	Background	Unassigned
2590	LOC102655980	Background	OG0003676
2591	LOC102655981	Background	Unassigned
2592	LOC102655983	Background	OG0002156
2593	LOC102655994	Background	OG0002847
2594	LOC102655995	Background	Unassigned
2595	LOC102655997	Background	OG0010762
2596	LOC102656006	Background	OG0007398
2597	LOC102656007	Background	Unassigned
2598	LOC102656008	Background	OG0008579
2599	LOC102656010	Background	Unassigned
2600	LOC102656011	Background	Unassigned
2601	LOC102656013	Background	Unassigned
2602	LOC102656014	Background	Unassigned
2603	LOC102656015	Background	Unassigned
2604	LOC102656016	Background	Unassigned
2605	LOC102656017	Background	Unassigned
2606	LOC102656019	Background	Unassigned
2607	LOC102656021	Background	OG0008444
2608	LOC102656022	Background	Unassigned
2609	LOC102656027	Background	OG0009396
2610	LOC102656029	Background	OG0001866
2611	LOC102656037	Background	Unassigned
2612	LOC102656039	Background	Unassigned
2613	LOC102656040	Background	Unassigned
2614	LOC102656043	Background	Unassigned
2615	LOC102656044	Background	Unassigned
2616	LOC102656050	Background	OG0010691
2617	LOC102656055	Background	OG0009943
2618	LOC102656061	Background	Unassigned
2619	LOC102656066	Background	Unassigned
2620	LOC102656068	Background	Unassigned
2621	LOC102656070	Background	OG0006628
2622	LOC102656071	Background	Unassigned
2623	LOC102656072	Background	Unassigned
2624	LOC102656074	Background	OG0006145
2625	LOC102656080	Background	Unassigned
2626	LOC102656082	Background	OG0007371
2627	LOC102656083	Background	Unassigned
2628	LOC102656085	Background	Unassigned
2629	LOC102656087	Background	Unassigned
2630	LOC102656088	Background	OG0000181
2631	LOC102656089	Background	Unassigned
2632	LOC102656092	Background	Unassigned
2633	LOC102656093	Background	OG0008929
2634	LOC102656101	Background	OG0000121
2635	LOC102656106	Background	Unassigned
2636	LOC102656107	Signalling	OG0005377
2637	LOC102656111	Background	Unassigned
2638	LOC102656112	Background	Unassigned
2639	LOC102656114	Background	Unassigned
2640	LOC102656116	Background	OG0001820
2641	LOC102656120	Background	Unassigned
2642	LOC102656121	Background	Unassigned
2643	LOC102656130	Background	Unassigned
2644	LOC102656131	Background	OG0006440
2645	LOC102656132	Background	OG0007718
2646	LOC102656134	Background	Unassigned
2647	LOC102656136	Background	OG0005835
2648	LOC102656137	Background	OG0008031
2649	LOC102656138	Background	Unassigned
2650	LOC102656140	Background	Unassigned
2651	LOC102656142	Background	OG0007639
2652	LOC102656143	Background	OG0000875
2653	LOC102656145	Background	Unassigned
2654	LOC102656147	Background	Unassigned
2655	LOC102656149	Background	Unassigned
2656	LOC102656150	Background	Unassigned
2657	LOC102656151	Background	Unassigned
2658	LOC102656154	Background	OG0008871
2659	LOC102656160	Background	Unassigned
2660	LOC102656166	Background	OG0008754
2661	LOC102656170	Background	OG0005017
2662	LOC102656171	Background	Unassigned
2663	LOC102656174	Background	Unassigned
2664	LOC102656182	Background	Unassigned
2665	LOC102656183	Background	OG0007489
2666	LOC102656186	Background	OG0000415
2667	LOC102656187	Background	Unassigned
2668	LOC102656189	Background	Unassigned
2669	LOC102656190	Background	OG0009650
2670	LOC102656191	Background	Unassigned
2671	LOC102656196	Background	Unassigned
2672	LOC102656197	Background	OG0009127
2673	LOC102656198	Background	OG0001822
2674	LOC102656199	Background	OG0007703
2675	LOC102656201	Background	Unassigned
2676	LOC102656209	Background	Unassigned
2677	LOC102656212	Background	Unassigned
2678	LOC102656214	Background	Unassigned
2679	LOC102656215	Background	OG0007794
2680	LOC102656216	Background	Unassigned
2681	LOC102656218	Background	Unassigned
2682	LOC102656221	Background	OG0000269
2683	LOC102656224	Background	OG0008926
2684	LOC102656228	Background	Unassigned
2685	LOC102656229	Background	Unassigned
2686	LOC102656230	Background	Unassigned
2687	LOC102656231	Background	OG0003608
2688	LOC102656232	Background	Unassigned
2689	LOC102656234	Background	Unassigned
2690	LOC102656244	Background	OG0008936
2691	LOC102656245	Background	OG0001843
2692	LOC102656247	Background	OG0000257
2693	LOC102656248	Background	OG0009637
2694	LOC102656249	Background	OG0000212
2695	LOC102656251	Background	Unassigned
2696	LOC102656252	Background	Unassigned
2697	LOC102656258	Background	OG0004636
2698	LOC102656259	Background	Unassigned
2699	LOC102656261	Background	Unassigned
2700	LOC102656263	Background	OG0004400
2701	LOC102656264	Background	Unassigned
2702	LOC102656265	Background	Unassigned
2703	LOC102656270	Background	Unassigned
2704	LOC102656271	Background	OG0000031
2705	LOC102656274	Background	OG0010820
2706	LOC102656275	Background	OG0010757
2707	LOC102656276	Background	Unassigned
2708	LOC102656282	Background	Unassigned
2709	LOC102656283	Background	OG0000980
2710	LOC102656287	Background	OG0004775
2711	LOC102656291	Background	OG0008455
2712	LOC102656292	Background	Unassigned
2713	LOC102656294	Background	OG0002393
2714	LOC102656297	Background	Unassigned
2715	LOC102656299	Background	Unassigned
2716	LOC102656300	Background	Unassigned
2717	LOC102656302	Background	Unassigned
2718	LOC102656305	Background	Unassigned
2719	LOC102656308	Background	OG0010857
2720	LOC102656309	Background	Unassigned
2721	LOC102656311	Background	OG0003252
2722	LOC102656315	Background	OG0010773
2723	LOC102656318	Background	Unassigned
2724	LOC102656321	Background	OG0000751
2725	LOC102656326	Background	OG0008103
2726	LOC102656327	Background	OG0010686
2727	LOC102656332	Background	Unassigned
2728	LOC102656333	Background	Unassigned
2729	LOC102656334	Background	OG0007541
2730	LOC102656336	Background	OG0010779
2731	LOC102656337	Background	OG0001266
2732	LOC102656338	Background	Unassigned
2733	LOC102656347	Background	Unassigned
2734	LOC102656349	Background	Unassigned
2735	LOC102656350	Background	Unassigned
2736	LOC102656354	Background	OG0008968
2737	LOC102656356	Background	OG0004074
2738	LOC102656359	Background	Unassigned
2739	LOC102656360	Background	OG0001295
2740	LOC102656369	Background	OG0002966
2741	LOC102656371	Background	OG0008160
2742	LOC102656373	Background	Unassigned
2743	LOC102656384	Background	OG0008022
2744	LOC102656387	Background	Unassigned
2745	LOC102656388	Background	Unassigned
2746	LOC102656390	Background	OG0010731
2747	LOC102656392	Background	Unassigned
2748	LOC102656395	Background	OG0007200
2749	LOC102656397	Background	OG0007731
2750	LOC102656398	Background	OG0007975
2751	LOC102656403	Background	OG0008592
2752	LOC102656404	Background	OG0010772
2753	LOC102656409	Background	Unassigned
2754	LOC102656410	Background	Unassigned
2755	LOC102656417	Background	Unassigned
2756	LOC102656425	Background	OG0005516
2757	LOC102656426	Background	Unassigned
2758	LOC102656429	Background	OG0000061
2759	LOC102656430	Background	Unassigned
2760	LOC102656431	Background	Unassigned
2761	LOC102656433	Background	OG0007482
2762	LOC102656439	Background	OG0005153
2763	LOC102656440	Background	Unassigned
2764	LOC102656442	Background	Unassigned
2765	LOC102656444	Background	OG0000260
2766	LOC102656448	Background	OG0000392
2767	LOC102656449	Background	Unassigned
2768	LOC102656452	Background	Unassigned
2769	LOC102656453	Background	Unassigned
2770	LOC102656461	Background	OG0009891
2771	LOC102656464	Background	OG0008441
2772	LOC102656465	Background	OG0003507
2773	LOC102656472	Background	Unassigned
2774	LOC102656473	Background	OG0007907
2775	LOC102656475	Background	Unassigned
2776	LOC102656479	Background	OG0010263
2777	LOC102656483	Background	Unassigned
2778	LOC102656485	Background	OG0009380
2779	LOC102656488	Background	Unassigned
2780	LOC102656489	Background	OG0004325
2781	LOC102656490	Background	OG0001215
2782	LOC102656491	Background	OG0003170
2783	LOC102656492	Background	OG0006397
2784	LOC102656496	Background	Unassigned
2785	LOC102656497	Background	OG0009291
2786	LOC102656498	Background	Unassigned
2787	LOC102656500	Background	Unassigned
2788	LOC102656501	Background	OG0001744
2789	LOC102656502	Background	Unassigned
2790	LOC102656504	Background	OG0000425
2791	LOC102656505	Background	OG0008000
2792	LOC102656508	Background	Unassigned
2793	LOC102656509	Background	Unassigned
2794	LOC102656511	Background	Unassigned
2795	LOC102656513	Background	Unassigned
2796	LOC102656523	Background	Unassigned
2797	LOC102656527	Background	Unassigned
2798	LOC102656529	Background	OG0005568
2799	LOC102656530	Background	Unassigned
2800	LOC102656533	Background	Unassigned
2801	LOC102656534	Background	Unassigned
2802	LOC102656537	Background	OG0010778
2803	LOC102656539	Background	Unassigned
2804	LOC102656541	Background	OG0007940
2805	LOC102656548	Background	OG0009407
2806	LOC102656549	Background	Unassigned
2807	LOC102656552	Background	OG0009061
2808	LOC102656553	Background	Unassigned
2809	LOC102656554	Background	OG0009130
2810	LOC102656556	Background	Unassigned
2811	LOC102656557	Background	Unassigned
2812	LOC102656558	Background	Unassigned
2813	LOC102656560	Background	OG0007779
2814	LOC102656562	Background	Unassigned
2815	LOC102656563	Background	Unassigned
2816	LOC102656564	Background	Unassigned
2817	LOC102656566	Background	Unassigned
2818	LOC102656567	Background	OG0000018
2819	LOC102656568	Background	Unassigned
2820	LOC102656570	Background	OG0000090
2821	LOC102656571	Background	Unassigned
2822	LOC102656572	Background	Unassigned
2823	LOC102656574	Background	Unassigned
2824	LOC102656575	Background	Unassigned
2825	LOC102656577	Background	OG0009683
2826	LOC102656579	Background	OG0005630
2827	LOC102656582	Background	Unassigned
2828	LOC102656583	Background	OG0004853
2829	LOC102656585	Background	OG0008613
2830	LOC102656586	Background	Unassigned
2831	LOC102656587	Background	OG0003650
2832	LOC102656592	Background	Unassigned
2833	LOC102656594	Background	OG0005037
2834	LOC102656595	Background	Unassigned
2835	LOC102656598	Background	Unassigned
2836	LOC102656601	Background	Unassigned
2837	LOC102656603	Background	OG0010789
2838	LOC102656605	Background	Unassigned
2839	LOC102656608	Background	Unassigned
2840	LOC102656611	Background	OG0007381
2841	LOC102656614	Background	Unassigned
2842	LOC102656618	Background	OG0007818
2843	LOC102656620	Background	OG0006539
2844	LOC102656621	Background	Unassigned
2845	LOC102656625	Background	Unassigned
2846	LOC102656628	Background	Unassigned
2847	LOC102656630	Background	Unassigned
2848	LOC102656631	Background	Unassigned
2849	LOC102656634	Background	Unassigned
2850	LOC102656636	Background	Unassigned
2851	LOC102656637	Background	OG0010261
2852	LOC102656639	Background	OG0007368
2853	LOC102656640	Background	OG0007380
2854	LOC102656644	Background	Unassigned
2855	LOC102656645	Background	OG0006132
2856	LOC102656652	Background	OG0004837
2857	LOC102656653	Background	Unassigned
2858	LOC102656656	Background	OG0003844
2859	LOC102656657	Background	OG0007466
2860	LOC102656658	Background	Unassigned
2861	LOC102656661	Background	OG0001938
2862	LOC102656664	Background	OG0009696
2863	LOC102656667	Background	Unassigned
2864	LOC102656668	Background	Unassigned
2865	LOC102656669	Background	OG0007362
2866	LOC102656671	Background	OG0010729
2867	LOC102656672	Background	Unassigned
2868	LOC102656676	Background	Unassigned
2869	LOC102656682	Background	Unassigned
2870	LOC102656683	Background	OG0010781
2871	LOC102656685	Background	OG0008823
2872	LOC102656690	Background	Unassigned
2873	LOC102656697	Background	Unassigned
2874	LOC102656698	Background	OG0010759
2875	LOC102656705	Background	Unassigned
2876	LOC102656707	Background	Unassigned
2877	LOC102656709	Background	Unassigned
2878	LOC102656712	Background	Unassigned
2879	LOC102656717	Background	Unassigned
2880	LOC102656719	Background	OG0009360
2881	LOC102656720	Background	Unassigned
2882	LOC102656723	Background	OG0010758
2883	LOC102656724	Background	Unassigned
2884	LOC102656725	Background	OG0008975
2885	LOC102656729	Background	OG0010719
2886	LOC102656730	Background	Unassigned
2887	LOC102656732	Background	OG0007379
2888	LOC102656733	Background	OG0008523
2889	LOC102656737	Background	Unassigned
2890	LOC102656738	Background	OG0009109
2891	LOC102656745	Background	Unassigned
2892	LOC102656747	Background	Unassigned
2893	LOC102656748	Background	OG0010730
2894	LOC102656752	Background	Unassigned
2895	LOC102656753	Background	Unassigned
2896	LOC102656757	Background	OG0009092
2897	LOC102656758	Background	OG0009362
2898	LOC102656759	Background	Unassigned
2899	LOC102656765	Background	Unassigned
2900	LOC102656766	Background	OG0006575
2901	LOC102656773	Background	Unassigned
2902	LOC102656779	Background	OG0004053
2903	LOC102656780	Background	Unassigned
2904	LOC102656786	Background	OG0010788
2905	LOC102656787	Background	Unassigned
2906	LOC102656788	Background	Unassigned
2907	LOC102656792	Background	OG0007544
2908	LOC102656796	Background	OG0007602
2909	LOC102656798	Background	Unassigned
2910	LOC102656805	Background	OG0000083
2911	LOC102656808	Background	Unassigned
2912	LOC102656812	Background	OG0002812
2913	LOC102656814	Background	Unassigned
2914	LOC102656816	Background	Unassigned
2915	LOC102656818	Background	Unassigned
2916	LOC102656821	Background	OG0009052
2917	LOC102656822	Background	OG0004461
2918	LOC102656824	Background	OG0007520
2919	LOC102656828	Background	Unassigned
2920	LOC102656830	Background	OG0000025
2921	LOC102656835	Background	Unassigned
2922	LOC102656838	Background	OG0000017
2923	LOC102656841	Background	OG0003158
2924	LOC102656842	Background	Unassigned
2925	LOC102656846	Background	OG0002608
2926	LOC102656849	Background	Unassigned
2927	LOC102656852	Background	Unassigned
2928	LOC102656855	Background	Unassigned
2929	LOC102656856	Background	Unassigned
2930	LOC102656859	Background	OG0010832
2931	LOC102656862	Background	OG0010877
2932	LOC102656864	Background	OG0010703
2933	LOC102656871	Background	Unassigned
2934	LOC102656875	Background	Unassigned
2935	LOC102656876	Background	Unassigned
2936	LOC102656882	Background	OG0000215
2937	LOC102656885	Background	OG0010301
2938	LOC102656890	Background	OG0005441
2939	LOC102656893	Effector	OG0007930
2940	LOC102656896	Background	Unassigned
2941	LOC102656901	Background	Unassigned
2942	LOC102656903	Background	Unassigned
2943	LOC102656904	Background	OG0000269
2944	LOC102656905	Signalling	OG0003085
2945	LOC102656907	Background	OG0000002
2946	LOC102656909	Background	Unassigned
2947	LOC102656910	Background	Unassigned
2948	LOC102656914	Background	OG0007084
2949	LOC102656919	Background	Unassigned
2950	LOC102656923	Background	Unassigned
2951	LOC102656927	Background	Unassigned
2952	LOC102656931	Background	Unassigned
2953	LOC102656934	Background	OG0007715
2954	LOC102656936	Background	Unassigned
2955	LOC107963960	Background	OG0007970
2956	LOC107963961	Background	OG0001054
2957	LOC107963962	Background	OG0003164
2958	LOC107963964	Background	OG0007580
2959	LOC107963965	Background	OG0008200
2960	LOC107963966	Background	OG0000120
2961	LOC107963967	Background	OG0009221
2962	LOC107963968	Background	OG0003950
2963	LOC107963969	Background	OG0009005
2964	LOC107963970	Background	OG0008881
2965	LOC107963971	Background	OG0008827
2966	LOC107963972	Background	Unassigned
2967	LOC107963973	Background	OG0003134
2968	LOC107963974	Background	OG0003262
2969	LOC107963975	Background	OG0000085
2970	LOC107963976	Background	Unassigned
2971	LOC107963977	Background	Unassigned
2972	LOC107963979	Background	OG0010294
2973	LOC107963981	Background	Unassigned
2974	LOC107963982	Background	OG0006775
