TXNAME	GENEID
Caust.v2_021801-RA	Caust.v2_021801
Caust.v2_020850-RA	Caust.v2_020850
Caust.v2_020643-RA	Caust.v2_020643
Caust.v2_021794-RA	Caust.v2_021794
Caust.v2_022642-RA	Caust.v2_022642
Caust.v2_018549-RA	Caust.v2_018549
Caust.v2_018548-RA	Caust.v2_018548
Caust.v2_018547-RA	Caust.v2_018547
Caust.v2_018546-RA	Caust.v2_018546
Caust.v2_018545-RA	Caust.v2_018545
Caust.v2_020802-RA	Caust.v2_020802
Caust.v2_020803-RA	Caust.v2_020803
Caust.v2_020135-RA	Caust.v2_020135
Caust.v2_020136-RA	Caust.v2_020136
Caust.v2_022359-RA	Caust.v2_022359
Caust.v2_016442-RA	Caust.v2_016442
Caust.v2_016438-RA	Caust.v2_016438
Caust.v2_016434-RA	Caust.v2_016434
Caust.v2_016437-RA	Caust.v2_016437
Caust.v2_016436-RA	Caust.v2_016436
Caust.v2_016440-RA	Caust.v2_016440
Caust.v2_016435-RA	Caust.v2_016435
Caust.v2_016439-RA	Caust.v2_016439
Caust.v2_016441-RA	Caust.v2_016441
Caust.v2_022239-RA	Caust.v2_022239
Caust.v2_020031-RA	Caust.v2_020031
Caust.v2_020650-RA	Caust.v2_020650
Caust.v2_020651-RA	Caust.v2_020651
Caust.v2_019697-RA	Caust.v2_019697
Caust.v2_019696-RA	Caust.v2_019696
Caust.v2_019695-RA	Caust.v2_019695
Caust.v2_019694-RA	Caust.v2_019694
Caust.v2_018680-RA	Caust.v2_018680
Caust.v2_018678-RA	Caust.v2_018678
Caust.v2_018679-RA	Caust.v2_018679
Caust.v2_010005-RA	Caust.v2_010005
Caust.v2_009981-RA	Caust.v2_009981
Caust.v2_009992-RB	Caust.v2_009992
Caust.v2_010004-RA	Caust.v2_010004
Caust.v2_009998-RA	Caust.v2_009998
Caust.v2_009992-RA	Caust.v2_009992
Caust.v2_009997-RA	Caust.v2_009997
Caust.v2_009982-RA	Caust.v2_009982
Caust.v2_009986-RA	Caust.v2_009986
Caust.v2_009987-RA	Caust.v2_009987
Caust.v2_009984-RA	Caust.v2_009984
Caust.v2_009993-RA	Caust.v2_009993
Caust.v2_009985-RA	Caust.v2_009985
Caust.v2_009996-RA	Caust.v2_009996
Caust.v2_010002-RA	Caust.v2_010002
Caust.v2_010007-RA	Caust.v2_010007
Caust.v2_009991-RA	Caust.v2_009991
Caust.v2_009993-RD	Caust.v2_009993
Caust.v2_009993-RC	Caust.v2_009993
Caust.v2_010001-RA	Caust.v2_010001
Caust.v2_010003-RA	Caust.v2_010003
Caust.v2_009994-RA	Caust.v2_009994
Caust.v2_009993-RB	Caust.v2_009993
Caust.v2_009988-RA	Caust.v2_009988
Caust.v2_009993-RE	Caust.v2_009993
Caust.v2_010006-RA	Caust.v2_010006
Caust.v2_009983-RA	Caust.v2_009983
Caust.v2_009980-RA	Caust.v2_009980
Caust.v2_009992-RC	Caust.v2_009992
Caust.v2_009978-RA	Caust.v2_009978
Caust.v2_009979-RA	Caust.v2_009979
Caust.v2_010000-RA	Caust.v2_010000
Caust.v2_009986-RB	Caust.v2_009986
Caust.v2_009989-RA	Caust.v2_009989
Caust.v2_009999-RA	Caust.v2_009999
Caust.v2_009995-RA	Caust.v2_009995
Caust.v2_009990-RA	Caust.v2_009990
Caust.v2_021553-RA	Caust.v2_021553
Caust.v2_021040-RA	Caust.v2_021040
Caust.v2_021557-RA	Caust.v2_021557
Caust.v2_017026-RA	Caust.v2_017026
Caust.v2_017023-RA	Caust.v2_017023
Caust.v2_017024-RA	Caust.v2_017024
Caust.v2_017025-RA	Caust.v2_017025
Caust.v2_017022-RA	Caust.v2_017022
Caust.v2_019947-RA	Caust.v2_019947
Caust.v2_019946-RA	Caust.v2_019946
Caust.v2_019948-RA	Caust.v2_019948
Caust.v2_020926-RA	Caust.v2_020926
Caust.v2_015833-RA	Caust.v2_015833
Caust.v2_015839-RA	Caust.v2_015839
Caust.v2_015842-RA	Caust.v2_015842
Caust.v2_015834-RA	Caust.v2_015834
Caust.v2_015837-RA	Caust.v2_015837
Caust.v2_015836-RA	Caust.v2_015836
Caust.v2_015835-RA	Caust.v2_015835
Caust.v2_015841-RA	Caust.v2_015841
Caust.v2_015838-RA	Caust.v2_015838
Caust.v2_015840-RA	Caust.v2_015840
Caust.v2_019391-RA	Caust.v2_019391
Caust.v2_019390-RA	Caust.v2_019390
Caust.v2_019389-RA	Caust.v2_019389
Caust.v2_017250-RA	Caust.v2_017250
Caust.v2_017249-RA	Caust.v2_017249
Caust.v2_017252-RA	Caust.v2_017252
Caust.v2_017248-RA	Caust.v2_017248
Caust.v2_017251-RA	Caust.v2_017251
Caust.v2_017692-RA	Caust.v2_017692
Caust.v2_017691-RA	Caust.v2_017691
Caust.v2_017690-RA	Caust.v2_017690
Caust.v2_017693-RA	Caust.v2_017693
Caust.v2_022030-RA	Caust.v2_022030
Caust.v2_020160-RA	Caust.v2_020160
Caust.v2_020159-RA	Caust.v2_020159
Caust.v2_021874-RA	Caust.v2_021874
Caust.v2_019043-RA	Caust.v2_019043
Caust.v2_019044-RA	Caust.v2_019044
Caust.v2_019045-RA	Caust.v2_019045
Caust.v2_022471-RA	Caust.v2_022471
Caust.v2_017544-RA	Caust.v2_017544
Caust.v2_017541-RA	Caust.v2_017541
Caust.v2_017545-RA	Caust.v2_017545
Caust.v2_017543-RA	Caust.v2_017543
Caust.v2_017542-RA	Caust.v2_017542
Caust.v2_019856-RA	Caust.v2_019856
Caust.v2_019855-RA	Caust.v2_019855
Caust.v2_019854-RA	Caust.v2_019854
Caust.v2_012759-RA	Caust.v2_012759
Caust.v2_012743-RA	Caust.v2_012743
Caust.v2_012740-RA	Caust.v2_012740
Caust.v2_012760-RA	Caust.v2_012760
Caust.v2_012753-RA	Caust.v2_012753
Caust.v2_012758-RC	Caust.v2_012758
Caust.v2_012744-RA	Caust.v2_012744
Caust.v2_012754-RA	Caust.v2_012754
Caust.v2_012748-RA	Caust.v2_012748
Caust.v2_012758-RB	Caust.v2_012758
Caust.v2_012756-RA	Caust.v2_012756
Caust.v2_012745-RA	Caust.v2_012745
Caust.v2_012758-RA	Caust.v2_012758
Caust.v2_012747-RA	Caust.v2_012747
Caust.v2_012749-RA	Caust.v2_012749
Caust.v2_012751-RA	Caust.v2_012751
Caust.v2_012755-RA	Caust.v2_012755
Caust.v2_012741-RA	Caust.v2_012741
Caust.v2_012746-RA	Caust.v2_012746
Caust.v2_012757-RA	Caust.v2_012757
Caust.v2_012742-RA	Caust.v2_012742
Caust.v2_012752-RA	Caust.v2_012752
Caust.v2_012750-RA	Caust.v2_012750
Caust.v2_021620-RA	Caust.v2_021620
Caust.v2_021508-RA	Caust.v2_021508
Caust.v2_020640-RA	Caust.v2_020640
Caust.v2_020641-RA	Caust.v2_020641
Caust.v2_018531-RA	Caust.v2_018531
Caust.v2_018530-RA	Caust.v2_018530
Caust.v2_018529-RA	Caust.v2_018529
Caust.v2_010016-RA	Caust.v2_010016
Caust.v2_010032-RA	Caust.v2_010032
Caust.v2_010021-RA	Caust.v2_010021
Caust.v2_010018-RA	Caust.v2_010018
Caust.v2_010015-RA	Caust.v2_010015
Caust.v2_010010-RA	Caust.v2_010010
Caust.v2_010009-RF	Caust.v2_010009
Caust.v2_010036-RA	Caust.v2_010036
Caust.v2_010034-RA	Caust.v2_010034
Caust.v2_010008-RA	Caust.v2_010008
Caust.v2_010033-RC	Caust.v2_010033
Caust.v2_010030-RA	Caust.v2_010030
Caust.v2_010009-RB	Caust.v2_010009
Caust.v2_010009-RE	Caust.v2_010009
Caust.v2_010011-RA	Caust.v2_010011
Caust.v2_010017-RB	Caust.v2_010017
Caust.v2_010026-RA	Caust.v2_010026
Caust.v2_010027-RA	Caust.v2_010027
Caust.v2_010029-RA	Caust.v2_010029
Caust.v2_010011-RB	Caust.v2_010011
Caust.v2_010024-RA	Caust.v2_010024
Caust.v2_010014-RA	Caust.v2_010014
Caust.v2_010033-RB	Caust.v2_010033
Caust.v2_010035-RA	Caust.v2_010035
Caust.v2_010009-RC	Caust.v2_010009
Caust.v2_010009-RG	Caust.v2_010009
Caust.v2_010031-RA	Caust.v2_010031
Caust.v2_010009-RH	Caust.v2_010009
Caust.v2_010019-RA	Caust.v2_010019
Caust.v2_010013-RA	Caust.v2_010013
Caust.v2_010033-RA	Caust.v2_010033
Caust.v2_010023-RA	Caust.v2_010023
Caust.v2_010037-RA	Caust.v2_010037
Caust.v2_010028-RA	Caust.v2_010028
Caust.v2_010012-RA	Caust.v2_010012
Caust.v2_010009-RA	Caust.v2_010009
Caust.v2_010020-RA	Caust.v2_010020
Caust.v2_010009-RD	Caust.v2_010009
Caust.v2_010017-RA	Caust.v2_010017
Caust.v2_010022-RA	Caust.v2_010022
Caust.v2_010025-RA	Caust.v2_010025
Caust.v2_021744-RA	Caust.v2_021744
Caust.v2_016594-RA	Caust.v2_016594
Caust.v2_016590-RA	Caust.v2_016590
Caust.v2_016586-RA	Caust.v2_016586
Caust.v2_016592-RA	Caust.v2_016592
Caust.v2_016587-RA	Caust.v2_016587
Caust.v2_016588-RA	Caust.v2_016588
Caust.v2_016593-RA	Caust.v2_016593
Caust.v2_016585-RA	Caust.v2_016585
Caust.v2_016589-RA	Caust.v2_016589
Caust.v2_016591-RA	Caust.v2_016591
Caust.v2_015373-RA	Caust.v2_015373
Caust.v2_015368-RA	Caust.v2_015368
Caust.v2_015367-RA	Caust.v2_015367
Caust.v2_015365-RA	Caust.v2_015365
Caust.v2_015374-RB	Caust.v2_015374
Caust.v2_015370-RA	Caust.v2_015370
Caust.v2_015371-RA	Caust.v2_015371
Caust.v2_015374-RA	Caust.v2_015374
Caust.v2_015372-RA	Caust.v2_015372
Caust.v2_015369-RA	Caust.v2_015369
Caust.v2_015375-RA	Caust.v2_015375
Caust.v2_015364-RA	Caust.v2_015364
Caust.v2_015366-RA	Caust.v2_015366
Caust.v2_021576-RA	Caust.v2_021576
Caust.v2_014380-RA	Caust.v2_014380
Caust.v2_014388-RA	Caust.v2_014388
Caust.v2_014384-RB	Caust.v2_014384
Caust.v2_014381-RA	Caust.v2_014381
Caust.v2_014384-RC	Caust.v2_014384
Caust.v2_014379-RA	Caust.v2_014379
Caust.v2_014385-RA	Caust.v2_014385
Caust.v2_014390-RA	Caust.v2_014390
Caust.v2_014383-RA	Caust.v2_014383
Caust.v2_014391-RA	Caust.v2_014391
Caust.v2_014387-RA	Caust.v2_014387
Caust.v2_014389-RA	Caust.v2_014389
Caust.v2_014384-RD	Caust.v2_014384
Caust.v2_014376-RA	Caust.v2_014376
Caust.v2_014386-RA	Caust.v2_014386
Caust.v2_014384-RA	Caust.v2_014384
Caust.v2_014382-RA	Caust.v2_014382
Caust.v2_014378-RA	Caust.v2_014378
Caust.v2_014377-RA	Caust.v2_014377
Caust.v2_014152-RA	Caust.v2_014152
Caust.v2_014150-RA	Caust.v2_014150
Caust.v2_014151-RA	Caust.v2_014151
Caust.v2_014157-RA	Caust.v2_014157
Caust.v2_014153-RA	Caust.v2_014153
Caust.v2_014150-RB	Caust.v2_014150
Caust.v2_014148-RB	Caust.v2_014148
Caust.v2_014149-RA	Caust.v2_014149
Caust.v2_014148-RA	Caust.v2_014148
Caust.v2_014154-RA	Caust.v2_014154
Caust.v2_014156-RA	Caust.v2_014156
Caust.v2_014158-RA	Caust.v2_014158
Caust.v2_014155-RA	Caust.v2_014155
Caust.v2_022012-RA	Caust.v2_022012
Caust.v2_020819-RA	Caust.v2_020819
Caust.v2_020517-RA	Caust.v2_020517
Caust.v2_020518-RA	Caust.v2_020518
Caust.v2_021679-RA	Caust.v2_021679
Caust.v2_019613-RA	Caust.v2_019613
Caust.v2_019612-RA	Caust.v2_019612
Caust.v2_022729-RA	Caust.v2_022729
Caust.v2_016375-RA	Caust.v2_016375
Caust.v2_016377-RA	Caust.v2_016377
Caust.v2_016371-RA	Caust.v2_016371
Caust.v2_016374-RB	Caust.v2_016374
Caust.v2_016376-RA	Caust.v2_016376
Caust.v2_016373-RA	Caust.v2_016373
Caust.v2_016372-RA	Caust.v2_016372
Caust.v2_016374-RA	Caust.v2_016374
Caust.v2_014253-RA	Caust.v2_014253
Caust.v2_014255-RA	Caust.v2_014255
Caust.v2_014245-RA	Caust.v2_014245
Caust.v2_014256-RA	Caust.v2_014256
Caust.v2_014250-RA	Caust.v2_014250
Caust.v2_014254-RA	Caust.v2_014254
Caust.v2_014246-RA	Caust.v2_014246
Caust.v2_014249-RA	Caust.v2_014249
Caust.v2_014251-RA	Caust.v2_014251
Caust.v2_014252-RA	Caust.v2_014252
Caust.v2_014247-RA	Caust.v2_014247
Caust.v2_014248-RA	Caust.v2_014248
Caust.v2_022714-RA	Caust.v2_022714
Caust.v2_022392-RA	Caust.v2_022392
Caust.v2_016427-RA	Caust.v2_016427
Caust.v2_016425-RA	Caust.v2_016425
Caust.v2_016424-RA	Caust.v2_016424
Caust.v2_016421-RA	Caust.v2_016421
Caust.v2_016422-RA	Caust.v2_016422
Caust.v2_016426-RA	Caust.v2_016426
Caust.v2_016423-RA	Caust.v2_016423
Caust.v2_016426-RB	Caust.v2_016426
Caust.v2_020484-RA	Caust.v2_020484
Caust.v2_020485-RA	Caust.v2_020485
Caust.v2_019709-RA	Caust.v2_019709
Caust.v2_019710-RA	Caust.v2_019710
Caust.v2_018120-RA	Caust.v2_018120
Caust.v2_018120-RB	Caust.v2_018120
Caust.v2_019902-RA	Caust.v2_019902
Caust.v2_019903-RA	Caust.v2_019903
Caust.v2_022649-RA	Caust.v2_022649
Caust.v2_020376-RA	Caust.v2_020376
Caust.v2_020375-RA	Caust.v2_020375
Caust.v2_018961-RA	Caust.v2_018961
Caust.v2_018960-RA	Caust.v2_018960
Caust.v2_018959-RA	Caust.v2_018959
Caust.v2_021809-RA	Caust.v2_021809
Caust.v2_022013-RA	Caust.v2_022013
Caust.v2_018037-RA	Caust.v2_018037
Caust.v2_018036-RA	Caust.v2_018036
Caust.v2_018038-RA	Caust.v2_018038
Caust.v2_018035-RA	Caust.v2_018035
Caust.v2_018034-RA	Caust.v2_018034
Caust.v2_022404-RA	Caust.v2_022404
Caust.v2_021628-RA	Caust.v2_021628
Caust.v2_021878-RA	Caust.v2_021878
Caust.v2_021418-RA	Caust.v2_021418
Caust.v2_021400-RA	Caust.v2_021400
Caust.v2_017940-RA	Caust.v2_017940
Caust.v2_017939-RA	Caust.v2_017939
Caust.v2_017939-RB	Caust.v2_017939
Caust.v2_017938-RA	Caust.v2_017938
Caust.v2_022160-RA	Caust.v2_022160
Caust.v2_020797-RA	Caust.v2_020797
Caust.v2_020796-RA	Caust.v2_020796
Caust.v2_021054-RA	Caust.v2_021054
Caust.v2_020377-RA	Caust.v2_020377
Caust.v2_020378-RA	Caust.v2_020378
Caust.v2_020328-RA	Caust.v2_020328
Caust.v2_020329-RA	Caust.v2_020329
Caust.v2_018114-RA	Caust.v2_018114
Caust.v2_018119-RA	Caust.v2_018119
Caust.v2_018116-RA	Caust.v2_018116
Caust.v2_018118-RA	Caust.v2_018118
Caust.v2_018117-RA	Caust.v2_018117
Caust.v2_018115-RA	Caust.v2_018115
Caust.v2_021068-RA	Caust.v2_021068
Caust.v2_021069-RA	Caust.v2_021069
Caust.v2_021781-RA	Caust.v2_021781
Caust.v2_022383-RA	Caust.v2_022383
Caust.v2_019031-RA	Caust.v2_019031
Caust.v2_019033-RA	Caust.v2_019033
Caust.v2_019032-RA	Caust.v2_019032
Caust.v2_022430-RA	Caust.v2_022430
Caust.v2_017771-RA	Caust.v2_017771
Caust.v2_017770-RA	Caust.v2_017770
Caust.v2_017769-RA	Caust.v2_017769
Caust.v2_022230-RA	Caust.v2_022230
Caust.v2_021141-RA	Caust.v2_021141
Caust.v2_021249-RA	Caust.v2_021249
Caust.v2_021250-RA	Caust.v2_021250
Caust.v2_022403-RA	Caust.v2_022403
Caust.v2_021349-RA	Caust.v2_021349
Caust.v2_012811-RA	Caust.v2_012811
Caust.v2_012814-RC	Caust.v2_012814
Caust.v2_012803-RA	Caust.v2_012803
Caust.v2_012814-RD	Caust.v2_012814
Caust.v2_012810-RA	Caust.v2_012810
Caust.v2_012805-RA	Caust.v2_012805
Caust.v2_012814-RB	Caust.v2_012814
Caust.v2_012807-RA	Caust.v2_012807
Caust.v2_012808-RA	Caust.v2_012808
Caust.v2_012813-RA	Caust.v2_012813
Caust.v2_012804-RA	Caust.v2_012804
Caust.v2_012812-RB	Caust.v2_012812
Caust.v2_012800-RA	Caust.v2_012800
Caust.v2_012809-RA	Caust.v2_012809
Caust.v2_012806-RA	Caust.v2_012806
Caust.v2_012802-RA	Caust.v2_012802
Caust.v2_012814-RA	Caust.v2_012814
Caust.v2_012801-RA	Caust.v2_012801
Caust.v2_012812-RA	Caust.v2_012812
Caust.v2_021265-RA	Caust.v2_021265
Caust.v2_018169-RA	Caust.v2_018169
Caust.v2_021267-RA	Caust.v2_021267
Caust.v2_020531-RA	Caust.v2_020531
Caust.v2_020530-RA	Caust.v2_020530
Caust.v2_015622-RA	Caust.v2_015622
Caust.v2_015617-RA	Caust.v2_015617
Caust.v2_015620-RA	Caust.v2_015620
Caust.v2_015619-RA	Caust.v2_015619
Caust.v2_015624-RA	Caust.v2_015624
Caust.v2_015614-RA	Caust.v2_015614
Caust.v2_015613-RA	Caust.v2_015613
Caust.v2_015615-RA	Caust.v2_015615
Caust.v2_015616-RA	Caust.v2_015616
Caust.v2_015618-RA	Caust.v2_015618
Caust.v2_015621-RA	Caust.v2_015621
Caust.v2_015623-RA	Caust.v2_015623
Caust.v2_021030-RA	Caust.v2_021030
Caust.v2_022199-RA	Caust.v2_022199
Caust.v2_022556-RA	Caust.v2_022556
Caust.v2_020787-RA	Caust.v2_020787
Caust.v2_019036-RA	Caust.v2_019036
Caust.v2_019035-RA	Caust.v2_019035
Caust.v2_019034-RA	Caust.v2_019034
Caust.v2_021823-RA	Caust.v2_021823
Caust.v2_019900-RA	Caust.v2_019900
Caust.v2_019901-RA	Caust.v2_019901
Caust.v2_021414-RA	Caust.v2_021414
Caust.v2_015757-RA	Caust.v2_015757
Caust.v2_015755-RA	Caust.v2_015755
Caust.v2_015752-RA	Caust.v2_015752
Caust.v2_015758-RA	Caust.v2_015758
Caust.v2_015753-RA	Caust.v2_015753
Caust.v2_015756-RA	Caust.v2_015756
Caust.v2_015759-RA	Caust.v2_015759
Caust.v2_015754-RA	Caust.v2_015754
Caust.v2_021810-RA	Caust.v2_021810
Caust.v2_016368-RA	Caust.v2_016368
Caust.v2_016367-RA	Caust.v2_016367
Caust.v2_016366-RA	Caust.v2_016366
Caust.v2_016369-RA	Caust.v2_016369
Caust.v2_016361-RA	Caust.v2_016361
Caust.v2_016362-RA	Caust.v2_016362
Caust.v2_016360-RA	Caust.v2_016360
Caust.v2_016363-RA	Caust.v2_016363
Caust.v2_016370-RA	Caust.v2_016370
Caust.v2_016364-RA	Caust.v2_016364
Caust.v2_016359-RA	Caust.v2_016359
Caust.v2_016365-RA	Caust.v2_016365
Caust.v2_015389-RA	Caust.v2_015389
Caust.v2_015390-RA	Caust.v2_015390
Caust.v2_015395-RA	Caust.v2_015395
Caust.v2_015396-RA	Caust.v2_015396
Caust.v2_015393-RA	Caust.v2_015393
Caust.v2_015394-RA	Caust.v2_015394
Caust.v2_015398-RA	Caust.v2_015398
Caust.v2_015391-RA	Caust.v2_015391
Caust.v2_015399-RA	Caust.v2_015399
Caust.v2_015392-RA	Caust.v2_015392
Caust.v2_015397-RA	Caust.v2_015397
Caust.v2_013998-RA	Caust.v2_013998
Caust.v2_013993-RA	Caust.v2_013993
Caust.v2_013997-RA	Caust.v2_013997
Caust.v2_014001-RA	Caust.v2_014001
Caust.v2_013991-RA	Caust.v2_013991
Caust.v2_014002-RA	Caust.v2_014002
Caust.v2_014000-RA	Caust.v2_014000
Caust.v2_013992-RA	Caust.v2_013992
Caust.v2_013994-RA	Caust.v2_013994
Caust.v2_013999-RA	Caust.v2_013999
Caust.v2_013995-RA	Caust.v2_013995
Caust.v2_013996-RA	Caust.v2_013996
Caust.v2_021420-RA	Caust.v2_021420
Caust.v2_019387-RA	Caust.v2_019387
Caust.v2_019385-RA	Caust.v2_019385
Caust.v2_019386-RA	Caust.v2_019386
Caust.v2_019384-RA	Caust.v2_019384
Caust.v2_021158-RA	Caust.v2_021158
Caust.v2_021495-RA	Caust.v2_021495
Caust.v2_017374-RA	Caust.v2_017374
Caust.v2_017375-RA	Caust.v2_017375
Caust.v2_017373-RA	Caust.v2_017373
Caust.v2_017372-RA	Caust.v2_017372
Caust.v2_015992-RA	Caust.v2_015992
Caust.v2_015997-RA	Caust.v2_015997
Caust.v2_015989-RA	Caust.v2_015989
Caust.v2_015996-RA	Caust.v2_015996
Caust.v2_015990-RA	Caust.v2_015990
Caust.v2_015993-RA	Caust.v2_015993
Caust.v2_015994-RA	Caust.v2_015994
Caust.v2_015995-RA	Caust.v2_015995
Caust.v2_015990-RB	Caust.v2_015990
Caust.v2_015990-RC	Caust.v2_015990
Caust.v2_015998-RA	Caust.v2_015998
Caust.v2_015991-RA	Caust.v2_015991
Caust.v2_020937-RA	Caust.v2_020937
Caust.v2_021521-RA	Caust.v2_021521
Caust.v2_021816-RA	Caust.v2_021816
Caust.v2_022087-RA	Caust.v2_022087
Caust.v2_019141-RA	Caust.v2_019141
Caust.v2_019993-RA	Caust.v2_019993
Caust.v2_021120-RA	Caust.v2_021120
Caust.v2_019717-RA	Caust.v2_019717
Caust.v2_019716-RA	Caust.v2_019716
Caust.v2_019715-RA	Caust.v2_019715
Caust.v2_017654-RA	Caust.v2_017654
Caust.v2_017653-RA	Caust.v2_017653
Caust.v2_017655-RA	Caust.v2_017655
Caust.v2_017656-RA	Caust.v2_017656
Caust.v2_020143-RA	Caust.v2_020143
Caust.v2_020142-RA	Caust.v2_020142
Caust.v2_022438-RA	Caust.v2_022438
Caust.v2_020501-RA	Caust.v2_020501
Caust.v2_020502-RA	Caust.v2_020502
Caust.v2_017894-RA	Caust.v2_017894
Caust.v2_017895-RB	Caust.v2_017895
Caust.v2_017893-RA	Caust.v2_017893
Caust.v2_017896-RA	Caust.v2_017896
Caust.v2_017895-RA	Caust.v2_017895
Caust.v2_017985-RA	Caust.v2_017985
Caust.v2_017984-RA	Caust.v2_017984
Caust.v2_017986-RA	Caust.v2_017986
Caust.v2_021930-RA	Caust.v2_021930
Caust.v2_018915-RA	Caust.v2_018915
Caust.v2_020207-RA	Caust.v2_020207
Caust.v2_020206-RA	Caust.v2_020206
Caust.v2_020721-RA	Caust.v2_020721
Caust.v2_020722-RA	Caust.v2_020722
Caust.v2_022393-RA	Caust.v2_022393
Caust.v2_021169-RA	Caust.v2_021169
Caust.v2_017066-RA	Caust.v2_017066
Caust.v2_017065-RA	Caust.v2_017065
Caust.v2_017064-RA	Caust.v2_017064
Caust.v2_020519-RA	Caust.v2_020519
Caust.v2_022418-RA	Caust.v2_022418
Caust.v2_016348-RA	Caust.v2_016348
Caust.v2_016350-RE	Caust.v2_016350
Caust.v2_016350-RF	Caust.v2_016350
Caust.v2_016350-RA	Caust.v2_016350
Caust.v2_016350-RB	Caust.v2_016350
Caust.v2_016349-RA	Caust.v2_016349
Caust.v2_016351-RA	Caust.v2_016351
Caust.v2_016350-RD	Caust.v2_016350
Caust.v2_016350-RC	Caust.v2_016350
Caust.v2_021792-RA	Caust.v2_021792
Caust.v2_021852-RA	Caust.v2_021852
Caust.v2_020799-RA	Caust.v2_020799
Caust.v2_020798-RA	Caust.v2_020798
Caust.v2_021943-RA	Caust.v2_021943
Caust.v2_021893-RA	Caust.v2_021893
Caust.v2_019672-RA	Caust.v2_019672
Caust.v2_019671-RA	Caust.v2_019671
Caust.v2_020923-RA	Caust.v2_020923
Caust.v2_020922-RA	Caust.v2_020922
Caust.v2_019488-RA	Caust.v2_019488
Caust.v2_019487-RA	Caust.v2_019487
Caust.v2_019489-RA	Caust.v2_019489
Caust.v2_021185-RA	Caust.v2_021185
Caust.v2_022149-RA	Caust.v2_022149
Caust.v2_012544-RA	Caust.v2_012544
Caust.v2_012545-RA	Caust.v2_012545
Caust.v2_012556-RA	Caust.v2_012556
Caust.v2_012541-RA	Caust.v2_012541
Caust.v2_012539-RA	Caust.v2_012539
Caust.v2_012547-RA	Caust.v2_012547
Caust.v2_012542-RA	Caust.v2_012542
Caust.v2_012552-RA	Caust.v2_012552
Caust.v2_012550-RA	Caust.v2_012550
Caust.v2_012533-RA	Caust.v2_012533
Caust.v2_012536-RA	Caust.v2_012536
Caust.v2_012543-RA	Caust.v2_012543
Caust.v2_012535-RA	Caust.v2_012535
Caust.v2_012534-RA	Caust.v2_012534
Caust.v2_012538-RA	Caust.v2_012538
Caust.v2_012554-RA	Caust.v2_012554
Caust.v2_012549-RA	Caust.v2_012549
Caust.v2_012543-RC	Caust.v2_012543
Caust.v2_012551-RA	Caust.v2_012551
Caust.v2_012537-RA	Caust.v2_012537
Caust.v2_012540-RA	Caust.v2_012540
Caust.v2_012546-RA	Caust.v2_012546
Caust.v2_012557-RA	Caust.v2_012557
Caust.v2_012548-RA	Caust.v2_012548
Caust.v2_012543-RB	Caust.v2_012543
Caust.v2_012558-RA	Caust.v2_012558
Caust.v2_012555-RA	Caust.v2_012555
Caust.v2_012553-RA	Caust.v2_012553
Caust.v2_019107-RA	Caust.v2_019107
Caust.v2_019108-RA	Caust.v2_019108
Caust.v2_019106-RA	Caust.v2_019106
Caust.v2_020910-RA	Caust.v2_020910
Caust.v2_021103-RA	Caust.v2_021103
Caust.v2_021102-RA	Caust.v2_021102
Caust.v2_022449-RA	Caust.v2_022449
Caust.v2_021179-RA	Caust.v2_021179
Caust.v2_020944-RA	Caust.v2_020944
Caust.v2_020943-RA	Caust.v2_020943
Caust.v2_021456-RA	Caust.v2_021456
Caust.v2_014488-RA	Caust.v2_014488
Caust.v2_014484-RA	Caust.v2_014484
Caust.v2_014487-RA	Caust.v2_014487
Caust.v2_014493-RA	Caust.v2_014493
Caust.v2_014490-RA	Caust.v2_014490
Caust.v2_014481-RA	Caust.v2_014481
Caust.v2_014486-RA	Caust.v2_014486
Caust.v2_014485-RA	Caust.v2_014485
Caust.v2_014491-RA	Caust.v2_014491
Caust.v2_014483-RA	Caust.v2_014483
Caust.v2_014492-RA	Caust.v2_014492
Caust.v2_014482-RA	Caust.v2_014482
Caust.v2_014489-RA	Caust.v2_014489
Caust.v2_014494-RA	Caust.v2_014494
Caust.v2_019046-RA	Caust.v2_019046
Caust.v2_006209-RA	Caust.v2_006209
Caust.v2_006156-RA	Caust.v2_006156
Caust.v2_006211-RA	Caust.v2_006211
Caust.v2_006194-RA	Caust.v2_006194
Caust.v2_006173-RB	Caust.v2_006173
Caust.v2_006159-RA	Caust.v2_006159
Caust.v2_006214-RA	Caust.v2_006214
Caust.v2_006151-RA	Caust.v2_006151
Caust.v2_006210-RA	Caust.v2_006210
Caust.v2_006178-RB	Caust.v2_006178
Caust.v2_006192-RA	Caust.v2_006192
Caust.v2_006203-RA	Caust.v2_006203
Caust.v2_006185-RA	Caust.v2_006185
Caust.v2_006208-RA	Caust.v2_006208
Caust.v2_006182-RA	Caust.v2_006182
Caust.v2_006179-RA	Caust.v2_006179
Caust.v2_006153-RA	Caust.v2_006153
Caust.v2_006161-RA	Caust.v2_006161
Caust.v2_006191-RA	Caust.v2_006191
Caust.v2_006152-RA	Caust.v2_006152
Caust.v2_006186-RA	Caust.v2_006186
Caust.v2_006171-RA	Caust.v2_006171
Caust.v2_006159-RB	Caust.v2_006159
Caust.v2_006176-RA	Caust.v2_006176
Caust.v2_006199-RA	Caust.v2_006199
Caust.v2_006183-RA	Caust.v2_006183
Caust.v2_006198-RA	Caust.v2_006198
