GeneID	Function	Orthogroup
LOC100578529	Background	OG0005763
LOC100578530	Background	OG0007567
LOC100578532	Putative Immune	Unassigned
LOC100578534	Signalling	OG0001905
LOC100578537	Effector	OG0007966
LOC100578540	Background	Unassigned
LOC100578542	Background	OG0008282
LOC100578543	Background	OG0009887
LOC100578544	Background	OG0010797
LOC100578546	Background	OG0008759
LOC100578547	Background	OG0000825
LOC100578548	Background	OG0000187
LOC100578551	Background	OG0008813
LOC100578555	Background	Unassigned
LOC100578556	Background	OG0003298
LOC100578557	Background	OG0006460
LOC100578558	Background	Unassigned
LOC100578559	Background	OG0001280
LOC100578560	Background	OG0004504
LOC100578561	Background	OG0003362
LOC100578562	Background	OG0008242
LOC100578563	Background	OG0009635
LOC100578566	Background	Unassigned
LOC100578568	Background	Unassigned
LOC100578571	Putative Immune	OG0009903
LOC100578572	Background	Unassigned
LOC100578575	Background	OG0008820
LOC100578576	Background	Unassigned
LOC100578577	Background	OG0010860
LOC100578579	Background	OG0004822
LOC100578580	Background	OG0008212
LOC100578581	Background	OG0009065
LOC100578584	Background	Unassigned
LOC100578585	Background	Unassigned
LOC100578586	Background	OG0000738
LOC100578587	Background	OG0003220
LOC100578589	Background	Unassigned
LOC100578592	Background	OG0009041
LOC100578593	Background	Unassigned
LOC100578596	Background	OG0010835
LOC100578597	Background	Unassigned
LOC100578600	Background	OG0006777
LOC100578602	Background	OG0006089
LOC100578606	Background	OG0007928
LOC100578608	Background	Unassigned
LOC100578609	Background	OG0009392
LOC100578611	Background	OG0005450
LOC100578613	Background	OG0005853
LOC100578614	Putative Immune	OG0000343
LOC100578617	Background	OG0000577
LOC100578618	Background	OG0002995
LOC100578621	Background	OG0006776
LOC100578623	Background	Unassigned
LOC100578624	Background	OG0006651
LOC100578625	Background	Unassigned
LOC100578628	Background	OG0008426
LOC100578629	Background	OG0003937
LOC100578631	Background	OG0007507
LOC100578641	Background	OG0007857
LOC100578649	Background	OG0002330
LOC100578651	Background	OG0008252
LOC100578653	Background	OG0005838
LOC100578654	Background	OG0009195
LOC100578657	Background	Unassigned
LOC100578659	Background	OG0010709
LOC100578660	Background	OG0007017
LOC100578661	Background	OG0001220
LOC100578662	Background	OG0005325
LOC100578664	Background	OG0002720
LOC100578665	Background	Unassigned
LOC100578666	Background	OG0009833
LOC100578667	Background	Unassigned
LOC100578668	Background	OG0009821
LOC100578669	Background	Unassigned
LOC100578670	Background	Unassigned
LOC100578672	Background	OG0007840
LOC100578674	Background	OG0000177
LOC100578675	Background	Unassigned
LOC100578678	Background	Unassigned
LOC100578680	Background	OG0003846
LOC100578684	Background	OG0009539
LOC100578685	Background	OG0000011
LOC100578691	Background	OG0006260
LOC100578694	Background	OG0004811
LOC100578696	Background	OG0007540
LOC100578697	Background	OG0006150
LOC100578698	Background	Unassigned
LOC100578699	Background	OG0004440
LOC100578703	Background	OG0006375
LOC100578704	Background	OG0003938
LOC100578705	Background	OG0005071
LOC100578706	Background	OG0004075
LOC100578708	Background	OG0008857
LOC100578709	Background	OG0008893
LOC100578713	Background	OG0004919
LOC100578714	Background	OG0005526
LOC100578715	Background	OG0008016
LOC100578716	Background	OG0005811
LOC100578718	Background	OG0008806
LOC100578719	Background	OG0005041
LOC100578721	Background	OG0003651
LOC100578723	Background	OG0008478
LOC100578724	Background	OG0000018
LOC100578725	Background	OG0002536
LOC100578726	Background	OG0001514
LOC100578727	Background	OG0002113
LOC100578729	Background	OG0009124
LOC100578730	Background	OG0003329
LOC100578731	Background	OG0007925
LOC100578732	Background	OG0007635
LOC100578733	Background	OG0003524
LOC100578734	Background	OG0006322
LOC100578735	Putative Immune	OG0005381
LOC100578736	Background	OG0007824
LOC100578739	Background	OG0007591
LOC100578741	Background	Unassigned
LOC100578743	Background	OG0004959
LOC100578744	Background	OG0000386
LOC100578745	Background	OG0009046
LOC100578746	Background	OG0002445
LOC100578747	Background	Unassigned
LOC100578751	Background	OG0000011
LOC100578752	Background	OG0001490
LOC100578759	Background	Unassigned
LOC100578763	Background	OG0003097
LOC100578769	Background	OG0005196
LOC100578770	Background	OG0004095
LOC100578773	Background	OG0001988
LOC100578774	Background	OG0000703
LOC100578776	Background	OG0005695
LOC100578777	Background	Unassigned
LOC100578779	Background	OG0005503
LOC100578780	Background	OG0003146
LOC100578782	Background	OG0009000
LOC100578783	Background	Unassigned
LOC100578793	Background	Unassigned
LOC100578797	Background	OG0009354
LOC100578798	Background	OG0008781
LOC100578799	Background	OG0010873
LOC100578801	Background	OG0002802
LOC100578804	Background	Unassigned
LOC100578805	Background	OG0008630
LOC100578810	Background	OG0001795
LOC100578811	Background	OG0005549
LOC100578813	Background	OG0005693
LOC100578814	Background	OG0000080
LOC100578816	Background	OG0003918
LOC100578818	Background	OG0002504
LOC100578820	Background	OG0009405
LOC100578821	Background	OG0009915
LOC100578822	Background	OG0009042
LOC100578823	Background	OG0006444
LOC100578824	Background	OG0004219
LOC100578826	Background	OG0003115
LOC100578828	Background	OG0003889
LOC100578829	Background	OG0000137
LOC100578830	Background	Unassigned
LOC100578833	Background	OG0002786
LOC100578834	Background	OG0006305
LOC100578835	Background	Unassigned
LOC100578839	Background	Unassigned
LOC100578841	Background	Unassigned
LOC100578842	Background	OG0000018
LOC100578852	Background	OG0003199
LOC100578853	Background	OG0002674
LOC100578854	Background	OG0003967
LOC100578855	Background	Unassigned
LOC100578860	Background	OG0006703
LOC100578862	Background	OG0000314
LOC100578864	Background	OG0007465
LOC100578865	Background	OG0003382
LOC100578866	Background	Unassigned
LOC100578875	Background	OG0003314
LOC100578877	Background	OG0001459
LOC100578879	Background	OG0005496
LOC100578881	Background	Unassigned
LOC100578882	Background	OG0010685
LOC100578883	Background	OG0007650
LOC100578885	Background	OG0006639
LOC100578886	Background	OG0000011
LOC100578888	Background	OG0006708
LOC100578890	Background	OG0004187
LOC100578892	Background	OG0004069
LOC100578893	Background	OG0006352
LOC100578894	Background	OG0009940
LOC100578899	Background	OG0007378
LOC100578901	Background	OG0002469
LOC100578907	Background	OG0000291
LOC100578909	Background	OG0001274
LOC100578910	Background	OG0001579
LOC100578913	Background	OG0003693
LOC100578919	Background	OG0010282
LOC100578920	Background	OG0006250
LOC100578921	Background	OG0003155
LOC100578924	Background	OG0005904
LOC100578925	Background	OG0002726
LOC100578927	Background	OG0004644
LOC100578928	Background	Unassigned
LOC100578929	Background	OG0003055
LOC100578931	Background	OG0008049
LOC100578935	Background	OG0005894
LOC100578936	Background	OG0007805
LOC100578937	Background	OG0002616
LOC100578939	Background	OG0004900
LOC100578943	Background	OG0009382
LOC100578947	Background	OG0004910
LOC100578949	Background	OG0010768
LOC100578952	Background	OG0009049
LOC100578953	Background	OG0002994
LOC100578955	Background	OG0006561
LOC100578957	Background	OG0001848
LOC100578965	Background	Unassigned
LOC100578966	Recognition	OG0002678
LOC100578967	Background	Unassigned
LOC100578975	Background	OG0000955
LOC100578976	Background	OG0001451
LOC100578978	Background	OG0002642
LOC100578984	Background	OG0003377
LOC100578988	Background	OG0007446
LOC100578989	Background	OG0009526
LOC100578990	Background	OG0000118
LOC100578992	Background	Unassigned
LOC100578995	Background	OG0000379
LOC100578998	Background	OG0009123
LOC100578999	Background	OG0006229
LOC100579003	Background	OG0008020
LOC100579005	Background	OG0002491
LOC100579007	Background	OG0007829
LOC100579008	Background	OG0007586
LOC100579011	Background	OG0000018
LOC100579015	Background	OG0008056
LOC100579018	Background	OG0002642
LOC100579019	Background	OG0000750
LOC100579021	Background	OG0007298
LOC100579022	Background	OG0008593
LOC100579024	Background	OG0008347
LOC100579026	Background	OG0002858
LOC100579031	Background	OG0007866
LOC100579034	Background	OG0006988
LOC100579038	Background	OG0008003
LOC100579040	Background	OG0006536
LOC100579047	Background	OG0008562
LOC100579049	Background	OG0000926
LOC100579052	Background	OG0009631
LOC100579053	Background	OG0003078
LOC100579054	Background	OG0009191
LOC100579055	Background	OG0005339
LOC100579057	Background	OG0009918
LOC100579058	Background	OG0009077
LOC100579059	Background	Unassigned
LOC100579061	Background	OG0002344
LOC100642173	Background	OG0006704
LOC100820634	Background	OG0003677
LOC100859932	Background	OG0000512
LOC101664701	Background	OG0004446
LOC102653572	Background	OG0007250
LOC102653574	Background	Unassigned
LOC102653577	Background	OG0000269
LOC102653583	Background	Unassigned
LOC102653584	Background	Unassigned
LOC102653587	Background	OG0009895
LOC102653588	Background	OG0002014
LOC102653589	Background	Unassigned
LOC102653594	Background	OG0010786
LOC102653596	Background	OG0009900
LOC102653599	Background	OG0010675
LOC102653600	Background	Unassigned
LOC102653601	Background	OG0000301
LOC102653602	Background	Unassigned
LOC102653609	Background	OG0008989
LOC102653612	Background	OG0010826
LOC102653613	Background	Unassigned
LOC102653614	Background	OG0004086
LOC102653615	Background	OG0000269
LOC102653619	Background	Unassigned
LOC102653621	Background	Unassigned
LOC102653628	Background	OG0010728
LOC102653634	Background	Unassigned
LOC102653636	Background	OG0009636
LOC102653637	Background	OG0000002
LOC102653638	Background	Unassigned
LOC102653639	Background	Unassigned
LOC102653640	Background	OG0000053
LOC102653641	Background	OG0003592
LOC102653642	Background	OG0010826
LOC102653649	Background	Unassigned
LOC102653652	Background	OG0000269
LOC102653654	Background	OG0008711
LOC102653655	Background	OG0004865
LOC102653657	Background	Unassigned
LOC102653658	Background	OG0005903
LOC102653659	Background	Unassigned
LOC102653661	Background	Unassigned
LOC102653663	Background	OG0007893
LOC102653665	Background	Unassigned
LOC102653666	Background	Unassigned
LOC102653672	Background	Unassigned
LOC102653673	Background	OG0009193
LOC102653678	Background	Unassigned
LOC102653680	Background	OG0008873
LOC102653684	Background	Unassigned
LOC102653687	Background	Unassigned
LOC102653690	Background	Unassigned
LOC102653693	Background	OG0010293
LOC102653695	Background	OG0000269
LOC102653697	Background	Unassigned
LOC102653698	Background	Unassigned
LOC102653702	Background	OG0003960
LOC102653703	Background	OG0000002
LOC102653705	Background	OG0010870
LOC102653706	Background	Unassigned
LOC102653708	Background	Unassigned
LOC102653709	Background	OG0009075
LOC102653713	Background	Unassigned
LOC102653714	Background	Unassigned
LOC102653716	Background	OG0000021
LOC102653718	Background	OG0000343
LOC102653727	Background	OG0004999
LOC102653728	Background	Unassigned
LOC102653731	Background	Unassigned
LOC102653733	Background	Unassigned
LOC102653737	Background	Unassigned
LOC102653738	Background	OG0000269
LOC102653741	Background	Unassigned
LOC102653748	Background	OG0005603
LOC102653750	Background	Unassigned
LOC102653751	Background	Unassigned
LOC102653753	Background	OG0007256
LOC102653759	Background	OG0000776
LOC102653761	Background	Unassigned
LOC102653763	Background	OG0001778
LOC102653764	Background	OG0001164
LOC102653770	Background	Unassigned
LOC102653771	Background	Unassigned
LOC102653773	Background	OG0006910
LOC102653777	Background	Unassigned
LOC102653778	Background	OG0000269
LOC102653780	Background	OG0003210
LOC102653781	Background	Unassigned
LOC102653782	Background	OG0000269
LOC102653784	Background	OG0006750
LOC102653788	Background	Unassigned
LOC102653792	Background	Unassigned
LOC102653793	Background	OG0005537
LOC102653795	Background	OG0008637
LOC102653797	Background	Unassigned
LOC102653798	Background	OG0007708
LOC102653800	Background	OG0000070
LOC102653803	Background	Unassigned
LOC102653804	Background	Unassigned
LOC102653805	Background	Unassigned
LOC102653810	Background	Unassigned
LOC102653813	Background	Unassigned
LOC102653814	Background	OG0000269
LOC102653815	Background	OG0007358
LOC102653821	Background	OG0010809
LOC102653822	Background	Unassigned
LOC102653824	Background	OG0010273
LOC102653825	Background	Unassigned
LOC102653826	Background	Unassigned
LOC102653832	Background	OG0000471
LOC102653834	Background	Unassigned
LOC102653835	Background	OG0008710
LOC102653839	Background	OG0007899
LOC102653840	Background	OG0002184
LOC102653841	Background	Unassigned
LOC102653843	Background	OG0009646
LOC102653847	Background	OG0010864
LOC102653850	Background	OG0010850
LOC102653851	Background	Unassigned
LOC102653852	Background	Unassigned
LOC102653853	Background	Unassigned
LOC102653856	Background	OG0009305
LOC102653857	Background	Unassigned
LOC102653858	Background	OG0000269
LOC102653862	Background	OG0005458
LOC102653863	Background	Unassigned
LOC102653865	Background	OG0000021
LOC102653866	Background	Unassigned
LOC102653873	Background	Unassigned
LOC102653875	Background	Unassigned
LOC102653879	Background	OG0005858
LOC102653881	Background	OG0000090
LOC102653888	Background	OG0008791
LOC102653890	Background	OG0000638
LOC102653892	Background	Unassigned
LOC102653893	Background	OG0001710
LOC102653894	Background	OG0008207
LOC102653896	Background	Unassigned
LOC102653897	Background	OG0000269
LOC102653899	Background	OG0000144
LOC102653901	Background	Unassigned
LOC102653904	Background	Unassigned
LOC102653910	Background	Unassigned
LOC102653912	Background	OG0010825
LOC102653920	Background	OG0003042
LOC102653921	Background	Unassigned
LOC102653922	Background	OG0008629
LOC102653928	Background	OG0009358
LOC102653929	Background	Unassigned
LOC102653930	Background	OG0009633
LOC102653931	Background	Unassigned
LOC102653932	Background	OG0007325
LOC102653934	Background	Unassigned
LOC102653935	Background	OG0002365
LOC102653936	Background	OG0009004
LOC102653938	Background	OG0009217
LOC102653939	Background	Unassigned
LOC102653940	Background	OG0003306
LOC102653941	Background	Unassigned
LOC102653944	Background	Unassigned
LOC102653945	Background	Unassigned
LOC102653946	Background	Unassigned
LOC102653947	Background	OG0001413
LOC102653949	Background	Unassigned
LOC102653951	Background	Unassigned
LOC102653952	Background	OG0004173
LOC102653954	Background	Unassigned
LOC102653955	Background	OG0002084
LOC102653956	Background	OG0009318
LOC102653957	Background	OG0007710
LOC102653958	Background	OG0009420
LOC102653960	Background	OG0003920
LOC102653961	Background	OG0003685
LOC102653963	Background	Unassigned
LOC102653965	Background	OG0004245
LOC102653966	Background	OG0009865
LOC102653967	Background	Unassigned
LOC102653972	Background	OG0010696
LOC102653974	Background	OG0010874
LOC102653975	Background	Unassigned
LOC102653977	Background	Unassigned
LOC102653978	Background	Unassigned
LOC102653979	Background	OG0000018
LOC102653988	Background	OG0010256
LOC102653989	Background	Unassigned
LOC102653990	Background	Unassigned
LOC102653993	Background	OG0009377
LOC102653994	Background	OG0009641
LOC102653997	Background	Unassigned
LOC102654001	Background	Unassigned
LOC102654006	Background	Unassigned
LOC102654007	Background	OG0008821
LOC102654008	Background	OG0009186
LOC102654012	Background	OG0001614
LOC102654014	Background	OG0002061
LOC102654016	Background	Unassigned
LOC102654017	Background	Unassigned
LOC102654020	Background	Unassigned
LOC102654023	Background	Unassigned
LOC102654025	Background	OG0009897
LOC102654029	Background	OG0006393
LOC102654030	Background	Unassigned
LOC102654041	Background	OG0009418
LOC102654047	Background	OG0000803
LOC102654049	Background	OG0000531
LOC102654050	Background	Unassigned
LOC102654051	Background	Unassigned
LOC102654053	Background	OG0007301
LOC102654054	Background	Unassigned
LOC102654055	Background	Unassigned
LOC102654056	Background	Unassigned
LOC102654066	Background	Unassigned
LOC102654069	Background	OG0004924
LOC102654070	Background	Unassigned
LOC102654074	Background	OG0000001
LOC102654076	Background	Unassigned
LOC102654078	Background	OG0008777
LOC102654079	Background	OG0010688
LOC102654083	Background	OG0000986
LOC102654084	Background	OG0007886
LOC102654085	Background	Unassigned
LOC102654086	Background	Unassigned
LOC102654087	Background	Unassigned
LOC102654088	Background	Unassigned
LOC102654089	Background	OG0010822
LOC102654090	Background	OG0009086
LOC102654091	Background	OG0006071
LOC102654095	Background	Unassigned
LOC102654099	Background	OG0010264
LOC102654106	Background	Unassigned
LOC102654107	Background	Unassigned
LOC102654108	Background	Unassigned
LOC102654110	Background	Unassigned
LOC102654111	Background	OG0008364
LOC102654113	Background	Unassigned
LOC102654114	Background	OG0009421
LOC102654115	Background	Unassigned
LOC102654121	Background	OG0001967
LOC102654122	Background	Unassigned
LOC102654124	Background	Unassigned
LOC102654127	Background	OG0004277
LOC102654134	Background	Unassigned
LOC102654135	Background	Unassigned
LOC102654141	Background	Unassigned
LOC102654142	Background	OG0010859
LOC102654144	Background	Unassigned
LOC102654146	Background	OG0005254
LOC102654151	Background	Unassigned
LOC102654154	Background	Unassigned
LOC102654156	Background	Unassigned
LOC102654158	Background	OG0007324
LOC102654159	Background	OG0003033
LOC102654160	Background	OG0009694
LOC102654161	Background	OG0009640
LOC102654165	Background	OG0005824
LOC102654166	Background	OG0001049
LOC102654169	Background	OG0003477
LOC102654172	Background	Unassigned
LOC102654173	Background	OG0006235
LOC102654175	Background	OG0008891
LOC102654183	Background	OG0000017
LOC102654184	Background	OG0010257
LOC102654186	Background	OG0006072
LOC102654188	Background	Unassigned
LOC102654192	Background	OG0003565
LOC102654197	Background	Unassigned
LOC102654200	Background	OG0010859
LOC102654206	Background	OG0002643
LOC102654210	Background	Unassigned
LOC102654211	Background	OG0000054
LOC102654212	Background	OG0009010
LOC102654214	Background	OG0010753
LOC102654216	Background	OG0000018
LOC102654221	Background	Unassigned
LOC102654224	Background	Unassigned
LOC102654230	Background	Unassigned
LOC102654231	Background	Unassigned
LOC102654234	Background	Unassigned
LOC102654236	Background	Unassigned
LOC102654239	Background	Unassigned
LOC102654242	Background	OG0009189
LOC102654245	Background	OG0009385
LOC102654246	Background	OG0000278
LOC102654248	Background	Unassigned
LOC102654257	Background	OG0006415
LOC102654259	Background	Unassigned
LOC102654261	Background	OG0006741
LOC102654265	Background	Unassigned
LOC102654266	Background	Unassigned
LOC102654268	Background	OG0008490
LOC102654271	Background	OG0008961
LOC102654272	Background	Unassigned
LOC102654281	Background	OG0006518
LOC102654282	Background	OG0007702
LOC102654285	Background	OG0010722
LOC102654286	Background	OG0003124
LOC102654289	Background	OG0008640
LOC102654297	Background	Unassigned
LOC102654300	Background	Unassigned
LOC102654309	Background	OG0007295
LOC102654312	Background	OG0006480
LOC102654313	Background	OG0010104
LOC102654314	Background	Unassigned
LOC102654315	Background	OG0008920
LOC102654316	Background	Unassigned
LOC102654321	Background	Unassigned
LOC102654329	Background	Unassigned
LOC102654330	Background	Unassigned
LOC102654331	Background	OG0000253
LOC102654335	Background	Unassigned
LOC102654340	Background	Unassigned
LOC102654344	Background	OG0001071
LOC102654345	Background	OG0006451
LOC102654348	Background	Unassigned
LOC102654349	Background	OG0000659
LOC102654351	Background	Unassigned
LOC102654353	Background	OG0001603
LOC102654354	Background	Unassigned
LOC102654355	Background	OG0008026
LOC102654358	Background	Unassigned
LOC102654363	Background	Unassigned
LOC102654365	Background	OG0007229
LOC102654366	Background	OG0009402
LOC102654367	Background	Unassigned
LOC102654368	Background	OG0000773
LOC102654369	Background	OG0002314
LOC102654371	Background	OG0008775
LOC102654376	Background	Unassigned
LOC102654379	Background	OG0008588
LOC102654380	Background	OG0010278
LOC102654381	Background	Unassigned
LOC102654384	Background	OG0007127
LOC102654385	Background	Unassigned
LOC102654387	Background	Unassigned
LOC102654388	Background	Unassigned
LOC102654390	Background	Unassigned
LOC102654393	Background	OG0000634
LOC102654395	Background	OG0001460
LOC102654398	Background	OG0002798
LOC102654399	Background	Unassigned
LOC102654405	Background	OG0000085
LOC102654408	Background	Unassigned
LOC102654409	Background	Unassigned
LOC102654413	Background	Unassigned
LOC102654417	Background	Unassigned
LOC102654418	Background	Unassigned
LOC102654426	Background	OG0002027
LOC102654427	Background	OG0000051
LOC102654428	Background	Unassigned
LOC102654429	Background	Unassigned
LOC102654435	Background	Unassigned
LOC102654436	Background	OG0010254
LOC102654437	Background	Unassigned
LOC102654439	Background	Unassigned
LOC102654440	Background	Unassigned
LOC102654444	Background	Unassigned
LOC102654445	Background	Unassigned
LOC102654448	Background	OG0003570
LOC102654450	Background	Unassigned
LOC102654452	Background	OG0000186
LOC102654454	Background	Unassigned
LOC102654461	Background	OG0007253
LOC102654462	Background	Unassigned
LOC102654463	Background	Unassigned
LOC102654464	Background	Unassigned
LOC102654465	Background	OG0006492
LOC102654469	Background	Unassigned
LOC102654470	Background	OG0009395
LOC102654477	Background	Unassigned
LOC102654478	Background	Unassigned
LOC102654480	Background	Unassigned
LOC102654481	Background	OG0009367
LOC102654482	Background	Unassigned
LOC102654485	Background	Unassigned
LOC102654486	Background	Unassigned
LOC102654487	Background	Unassigned
LOC102654488	Background	OG0004197
LOC102654490	Background	Unassigned
LOC102654492	Background	Unassigned
LOC102654495	Background	Unassigned
LOC102654496	Background	OG0002646
LOC102654498	Background	Unassigned
LOC102654505	Background	Unassigned
LOC102654507	Background	Unassigned
LOC102654510	Background	OG0005362
LOC102654517	Background	OG0009896
LOC102654519	Background	Unassigned
LOC102654520	Background	OG0000977
LOC102654521	Background	Unassigned
LOC102654523	Background	Unassigned
LOC102654528	Background	Unassigned
LOC102654530	Background	OG0000018
LOC102654533	Background	OG0009218
LOC102654534	Background	Unassigned
LOC102654536	Background	Unassigned
LOC102654541	Background	OG0010262
LOC102654542	Background	OG0009108
LOC102654549	Background	Unassigned
LOC102654550	Background	Unassigned
LOC102654551	Background	Unassigned
LOC102654555	Background	OG0006769
LOC102654557	Background	Unassigned
LOC102654560	Background	Unassigned
LOC102654567	Background	OG0008796
LOC102654569	Background	Unassigned
LOC102654570	Background	Unassigned
LOC102654576	Background	OG0009051
LOC102654578	Background	Unassigned
LOC102654579	Background	Unassigned
LOC102654580	Background	OG0007165
LOC102654581	Background	Unassigned
LOC102654584	Background	Unassigned
LOC102654585	Background	OG0000131
LOC102654587	Background	Unassigned
LOC102654588	Background	Unassigned
LOC102654592	Background	OG0008373
LOC102654594	Background	OG0001589
LOC102654597	Background	OG0010305
LOC102654601	Background	Unassigned
LOC102654605	Background	Unassigned
LOC102654608	Background	OG0003538
LOC102654609	Background	Unassigned
LOC102654610	Background	OG0007353
LOC102654613	Background	Unassigned
LOC102654621	Background	OG0008294
LOC102654622	Background	Unassigned
LOC102654623	Background	Unassigned
LOC102654625	Background	OG0010819
LOC102654626	Background	OG0000777
LOC102654628	Background	Unassigned
LOC102654629	Background	Unassigned
LOC102654638	Background	Unassigned
LOC102654639	Background	Unassigned
LOC102654640	Background	OG0001331
LOC102654641	Background	OG0009928
LOC102654646	Background	Unassigned
LOC102654649	Background	OG0010868
LOC102654652	Background	OG0008786
LOC102654653	Background	OG0001690
LOC102654654	Background	Unassigned
LOC102654656	Background	Unassigned
LOC102654659	Background	OG0010865
LOC102654660	Background	OG0008264
LOC102654662	Background	OG0010853
LOC102654666	Background	Unassigned
LOC102654674	Background	Unassigned
LOC102654676	Background	OG0009695
LOC102654678	Background	Unassigned
LOC102654681	Background	OG0002299
LOC102654682	Background	OG0008808
LOC102654683	Background	OG0008555
LOC102654685	Background	OG0008315
LOC102654686	Background	Unassigned
LOC102654687	Background	Unassigned
LOC102654688	Background	Unassigned
LOC102654690	Background	OG0010715
LOC102654691	Background	OG0008281
LOC102654696	Background	OG0010260
LOC102654698	Background	Unassigned
LOC102654700	Background	Unassigned
LOC102654708	Background	OG0007901
LOC102654709	Background	Unassigned
LOC102654712	Background	Unassigned
LOC102654715	Background	OG0005746
LOC102654720	Background	OG0010700
LOC102654724	Background	Unassigned
LOC102654726	Background	OG0006618
LOC102654728	Background	Unassigned
LOC102654729	Background	OG0009671
LOC102654730	Background	OG0010843
LOC102654732	Background	Unassigned
LOC102654734	Background	Unassigned
LOC102654736	Background	OG0001434
LOC102654737	Background	OG0002686
LOC102654738	Background	Unassigned
LOC102654740	Background	OG0001350
LOC102654741	Background	Unassigned
LOC102654745	Background	OG0010253
LOC102654746	Background	OG0003225
LOC102654750	Background	OG0010867
LOC102654757	Background	Unassigned
LOC102654758	Background	Unassigned
LOC102654759	Background	Unassigned
LOC102654761	Background	Unassigned
LOC102654762	Background	Unassigned
LOC102654763	Background	OG0009906
LOC102654766	Background	OG0009097
LOC102654768	Background	OG0008814
LOC102654769	Background	Unassigned
LOC102654772	Background	Unassigned
LOC102654773	Background	OG0005542
LOC102654775	Background	Unassigned
LOC102654776	Background	OG0006347
LOC102654777	Background	OG0007089
LOC102654781	Background	OG0000085
LOC102654782	Background	OG0000018
LOC102654783	Background	OG0001110
LOC102654788	Background	Unassigned
LOC102654791	Background	OG0000701
LOC102654792	Background	Unassigned
LOC102654793	Background	Unassigned
LOC102654795	Background	OG0002000
LOC102654797	Background	Unassigned
LOC102654799	Background	Unassigned
LOC102654800	Background	OG0008592
LOC102654804	Background	Unassigned
LOC102654806	Background	Unassigned
LOC102654809	Background	Unassigned
LOC102654810	Background	Unassigned
LOC102654812	Background	Unassigned
LOC102654815	Background	Unassigned
LOC102654823	Background	Unassigned
LOC102654831	Background	Unassigned
LOC102654832	Background	Unassigned
LOC102654837	Background	OG0010851
LOC102654839	Background	OG0008253
LOC102654841	Background	OG0000130
LOC102654842	Background	Unassigned
LOC102654852	Background	Unassigned
LOC102654856	Background	Unassigned
LOC102654858	Background	OG0005542
LOC102654860	Background	Unassigned
LOC102654865	Background	Unassigned
LOC102654866	Background	Unassigned
LOC102654867	Background	OG0007879
LOC102654870	Background	Unassigned
LOC102654871	Background	OG0000732
LOC102654874	Background	Unassigned
LOC102654878	Background	OG0000130
LOC102654882	Background	Unassigned
LOC102654883	Background	Unassigned
LOC102654884	Background	OG0010731
LOC102654889	Background	OG0001437
LOC102654890	Background	OG0000317
LOC102654892	Background	Unassigned
LOC102654893	Background	Unassigned
LOC102654894	Background	OG0008466
LOC102654895	Background	Unassigned
LOC102654896	Background	Unassigned
LOC102654897	Background	OG0009893
LOC102654898	Background	Unassigned
LOC102654905	Background	OG0000517
LOC102654906	Background	OG0000751
LOC102654909	Background	Unassigned
LOC102654911	Background	OG0008182
LOC102654916	Background	Unassigned
LOC102654917	Background	Unassigned
LOC102654919	Background	OG0006300
LOC102654920	Background	OG0001851
LOC102654924	Background	Unassigned
LOC102654925	Background	OG0006158
LOC102654929	Background	Unassigned
LOC102654930	Background	OG0008783
LOC102654936	Background	OG0008793
LOC102654938	Background	OG0010777
LOC102654939	Background	Unassigned
LOC102654940	Background	OG0010673
LOC102654944	Background	Unassigned
LOC102654947	Background	Unassigned
LOC102654948	Background	Unassigned
LOC102654949	Background	OG0007937
LOC102654950	Background	Unassigned
LOC102654952	Background	OG0007375
LOC102654955	Background	OG0005257
LOC102654959	Background	OG0005943
LOC102654960	Background	OG0010875
LOC102654964	Background	OG0009359
LOC102654965	Background	OG0007662
LOC102654966	Background	Unassigned
LOC102654968	Background	OG0004238
LOC102654970	Background	OG0004526
LOC102654974	Background	OG0010800
LOC102654975	Background	OG0004815
LOC102654976	Background	Unassigned
LOC102654984	Background	Unassigned
LOC102654986	Background	OG0007499
LOC102654987	Background	OG0007337
LOC102654988	Background	Unassigned
LOC102654990	Background	Unassigned
LOC102654992	Background	OG0010871
LOC102654993	Background	OG0009233
LOC102654994	Background	OG0006679
LOC102654995	Background	Unassigned
LOC102654998	Background	Unassigned
LOC102655004	Background	Unassigned
LOC102655008	Background	OG0009096
LOC102655009	Background	OG0000453
LOC102655011	Background	Unassigned
LOC102655012	Background	Unassigned
LOC102655014	Background	Unassigned
LOC102655018	Background	Unassigned
LOC102655020	Background	Unassigned
LOC102655025	Background	Unassigned
LOC102655028	Background	Unassigned
LOC102655030	Background	OG0005871
LOC102655031	Background	OG0009634
LOC102655032	Background	Unassigned
LOC102655033	Background	Unassigned
LOC102655034	Background	OG0003641
LOC102655038	Background	Unassigned
LOC102655041	Background	Unassigned
LOC102655043	Background	Unassigned
LOC102655045	Background	Unassigned
LOC102655046	Background	Unassigned
LOC102655047	Background	Unassigned
LOC102655049	Background	Unassigned
LOC102655050	Background	OG0010280
LOC102655052	Background	Unassigned
LOC102655053	Background	Unassigned
LOC102655054	Background	OG0001864
LOC102655057	Background	OG0009184
LOC102655058	Background	Unassigned
LOC102655062	Background	OG0010763
LOC102655064	Background	Unassigned
LOC102655070	Background	Unassigned
LOC102655071	Background	Unassigned
LOC102655072	Background	OG0005607
LOC102655073	Background	OG0000056
LOC102655078	Background	OG0009892
LOC102655080	Background	Unassigned
LOC102655088	Background	Unassigned
