Transcript	Gene	Protein	CcalID
Caust.v2_000836-RA	Caust.v2_000836	Caust.v2_000836-RA	NA
Caust.v2_000837-RA	Caust.v2_000837	Caust.v2_000837-RA	XP_026672454
Caust.v2_000837-RB	Caust.v2_000837	Caust.v2_000837-RB	XP_026672454
Caust.v2_000838-RA	Caust.v2_000838	Caust.v2_000838-RA	XP_017886261
Caust.v2_000838-RB	Caust.v2_000838	Caust.v2_000838-RB	XP_026672457
Caust.v2_000838-RC	Caust.v2_000838	Caust.v2_000838-RC	XP_026672457
Caust.v2_000839-RA	Caust.v2_000839	Caust.v2_000839-RA	XP_026672460
Caust.v2_000840-RA	Caust.v2_000840	Caust.v2_000840-RA	NA
Caust.v2_000841-RA	Caust.v2_000841	Caust.v2_000841-RA	NA
Caust.v2_000842-RA	Caust.v2_000842	Caust.v2_000842-RA	NA
Caust.v2_000843-RA	Caust.v2_000843	Caust.v2_000843-RA	XP_017886254
Caust.v2_000843-RB	Caust.v2_000843	Caust.v2_000843-RB	XP_017886254
Caust.v2_000843-RC	Caust.v2_000843	Caust.v2_000843-RC	XP_017886254
Caust.v2_000843-RD	Caust.v2_000843	Caust.v2_000843-RD	XP_017886254
Caust.v2_000843-RE	Caust.v2_000843	Caust.v2_000843-RE	XP_017877634
Caust.v2_000844-RA	Caust.v2_000844	Caust.v2_000844-RA	NA
Caust.v2_000845-RA	Caust.v2_000845	Caust.v2_000845-RA	XP_017879668
Caust.v2_000846-RA	Caust.v2_000846	Caust.v2_000846-RA	NA
Caust.v2_000847-RA	Caust.v2_000847	Caust.v2_000847-RA	XP_017877629
Caust.v2_000848-RA	Caust.v2_000848	Caust.v2_000848-RA	NA
Caust.v2_000849-RA	Caust.v2_000849	Caust.v2_000849-RA	XP_017877631
Caust.v2_000850-RA	Caust.v2_000850	Caust.v2_000850-RA	XP_017877637
Caust.v2_000851-RA	Caust.v2_000851	Caust.v2_000851-RA	NA
Caust.v2_000852-RA	Caust.v2_000852	Caust.v2_000852-RA	NA
Caust.v2_000853-RA	Caust.v2_000853	Caust.v2_000853-RA	NA
Caust.v2_000854-RA	Caust.v2_000854	Caust.v2_000854-RA	NA
Caust.v2_000855-RA	Caust.v2_000855	Caust.v2_000855-RA	NA
Caust.v2_000856-RA	Caust.v2_000856	Caust.v2_000856-RA	NA
Caust.v2_000857-RA	Caust.v2_000857	Caust.v2_000857-RA	NA
Caust.v2_000858-RA	Caust.v2_000858	Caust.v2_000858-RA	NA
Caust.v2_000859-RA	Caust.v2_000859	Caust.v2_000859-RA	NA
Caust.v2_000860-RA	Caust.v2_000860	Caust.v2_000860-RA	NA
Caust.v2_000861-RA	Caust.v2_000861	Caust.v2_000861-RA	NA
Caust.v2_000862-RA	Caust.v2_000862	Caust.v2_000862-RA	NA
Caust.v2_000863-RA	Caust.v2_000863	Caust.v2_000863-RA	NA
Caust.v2_000864-RA	Caust.v2_000864	Caust.v2_000864-RA	NA
Caust.v2_000865-RA	Caust.v2_000865	Caust.v2_000865-RA	NA
Caust.v2_000866-RA	Caust.v2_000866	Caust.v2_000866-RA	NA
Caust.v2_000867-RA	Caust.v2_000867	Caust.v2_000867-RA	NA
Caust.v2_000868-RA	Caust.v2_000868	Caust.v2_000868-RA	NA
Caust.v2_000869-RA	Caust.v2_000869	Caust.v2_000869-RA	NA
Caust.v2_000870-RA	Caust.v2_000870	Caust.v2_000870-RA	NA
Caust.v2_000871-RA	Caust.v2_000871	Caust.v2_000871-RA	NA
Caust.v2_000872-RA	Caust.v2_000872	Caust.v2_000872-RA	NA
Caust.v2_000873-RA	Caust.v2_000873	Caust.v2_000873-RA	NA
Caust.v2_000874-RA	Caust.v2_000874	Caust.v2_000874-RA	NA
Caust.v2_000875-RA	Caust.v2_000875	Caust.v2_000875-RA	NA
Caust.v2_000876-RA	Caust.v2_000876	Caust.v2_000876-RA	NA
Caust.v2_000877-RA	Caust.v2_000877	Caust.v2_000877-RA	NA
Caust.v2_000878-RA	Caust.v2_000878	Caust.v2_000878-RA	XP_017883752
Caust.v2_000879-RA	Caust.v2_000879	Caust.v2_000879-RA	NA
Caust.v2_000880-RA	Caust.v2_000880	Caust.v2_000880-RA	NA
Caust.v2_000881-RA	Caust.v2_000881	Caust.v2_000881-RA	NA
Caust.v2_000882-RA	Caust.v2_000882	Caust.v2_000882-RA	NA
Caust.v2_000883-RA	Caust.v2_000883	Caust.v2_000883-RA	NA
Caust.v2_000884-RA	Caust.v2_000884	Caust.v2_000884-RA	NA
Caust.v2_000885-RA	Caust.v2_000885	Caust.v2_000885-RA	NA
Caust.v2_000886-RA	Caust.v2_000886	Caust.v2_000886-RA	NA
Caust.v2_000887-RA	Caust.v2_000887	Caust.v2_000887-RA	NA
Caust.v2_000888-RA	Caust.v2_000888	Caust.v2_000888-RA	NA
Caust.v2_000889-RA	Caust.v2_000889	Caust.v2_000889-RA	NA
Caust.v2_000890-RA	Caust.v2_000890	Caust.v2_000890-RA	NA
Caust.v2_000891-RA	Caust.v2_000891	Caust.v2_000891-RA	NA
Caust.v2_000892-RA	Caust.v2_000892	Caust.v2_000892-RA	NA
Caust.v2_000893-RA	Caust.v2_000893	Caust.v2_000893-RA	NA
Caust.v2_000894-RA	Caust.v2_000894	Caust.v2_000894-RA	NA
Caust.v2_000895-RA	Caust.v2_000895	Caust.v2_000895-RA	NA
Caust.v2_000896-RA	Caust.v2_000896	Caust.v2_000896-RA	NA
Caust.v2_000897-RA	Caust.v2_000897	Caust.v2_000897-RA	NA
Caust.v2_000898-RA	Caust.v2_000898	Caust.v2_000898-RA	NA
Caust.v2_000899-RA	Caust.v2_000899	Caust.v2_000899-RA	NA
Caust.v2_000900-RA	Caust.v2_000900	Caust.v2_000900-RA	NA
Caust.v2_000901-RA	Caust.v2_000901	Caust.v2_000901-RA	XP_017876654
Caust.v2_000902-RA	Caust.v2_000902	Caust.v2_000902-RA	XP_026667576
Caust.v2_000903-RA	Caust.v2_000903	Caust.v2_000903-RA	XP_017892623
Caust.v2_000903-RB	Caust.v2_000903	Caust.v2_000903-RB	XP_017892623
Caust.v2_000904-RA	Caust.v2_000904	Caust.v2_000904-RA	XP_017892620
Caust.v2_000904-RB	Caust.v2_000904	Caust.v2_000904-RB	XP_017892620
Caust.v2_000904-RC	Caust.v2_000904	Caust.v2_000904-RC	XP_017892620
Caust.v2_000904-RD	Caust.v2_000904	Caust.v2_000904-RD	XP_017892620
Caust.v2_000904-RE	Caust.v2_000904	Caust.v2_000904-RE	XP_017892620
Caust.v2_000905-RA	Caust.v2_000905	Caust.v2_000905-RA	XP_017892641
Caust.v2_000906-RA	Caust.v2_000906	Caust.v2_000906-RA	NA
Caust.v2_000907-RA	Caust.v2_000907	Caust.v2_000907-RA	NA
Caust.v2_000908-RA	Caust.v2_000908	Caust.v2_000908-RA	XP_017892639
Caust.v2_000909-RA	Caust.v2_000909	Caust.v2_000909-RA	NA
Caust.v2_000910-RA	Caust.v2_000910	Caust.v2_000910-RA	XP_026675528
Caust.v2_000911-RA	Caust.v2_000911	Caust.v2_000911-RA	XP_026675531
Caust.v2_000911-RB	Caust.v2_000911	Caust.v2_000911-RB	XP_026675531
Caust.v2_000912-RA	Caust.v2_000912	Caust.v2_000912-RA	XP_017892626
Caust.v2_000912-RB	Caust.v2_000912	Caust.v2_000912-RB	XP_017892626
Caust.v2_000913-RA	Caust.v2_000913	Caust.v2_000913-RA	XP_026675527
Caust.v2_000914-RA	Caust.v2_000914	Caust.v2_000914-RA	XP_017892642
Caust.v2_000915-RA	Caust.v2_000915	Caust.v2_000915-RA	XP_017892610
Caust.v2_000916-RA	Caust.v2_000916	Caust.v2_000916-RA	NA
Caust.v2_000917-RA	Caust.v2_000917	Caust.v2_000917-RA	NA
Caust.v2_000918-RA	Caust.v2_000918	Caust.v2_000918-RA	NA
Caust.v2_000919-RA	Caust.v2_000919	Caust.v2_000919-RA	NA
Caust.v2_000920-RA	Caust.v2_000920	Caust.v2_000920-RA	NA
Caust.v2_000921-RA	Caust.v2_000921	Caust.v2_000921-RA	NA
Caust.v2_000922-RA	Caust.v2_000922	Caust.v2_000922-RA	NA
Caust.v2_000923-RA	Caust.v2_000923	Caust.v2_000923-RA	NA
Caust.v2_000924-RA	Caust.v2_000924	Caust.v2_000924-RA	NA
Caust.v2_000925-RA	Caust.v2_000925	Caust.v2_000925-RA	XP_026672783
Caust.v2_000926-RA	Caust.v2_000926	Caust.v2_000926-RA	NA
Caust.v2_000927-RA	Caust.v2_000927	Caust.v2_000927-RA	XP_017880352
Caust.v2_000928-RA	Caust.v2_000928	Caust.v2_000928-RA	NA
Caust.v2_000929-RA	Caust.v2_000929	Caust.v2_000929-RA	NA
Caust.v2_000930-RA	Caust.v2_000930	Caust.v2_000930-RA	XP_017880352
Caust.v2_000931-RA	Caust.v2_000931	Caust.v2_000931-RA	NA
Caust.v2_000932-RA	Caust.v2_000932	Caust.v2_000932-RA	XP_017880352
Caust.v2_000933-RA	Caust.v2_000933	Caust.v2_000933-RA	NA
Caust.v2_000934-RA	Caust.v2_000934	Caust.v2_000934-RA	NA
Caust.v2_000935-RA	Caust.v2_000935	Caust.v2_000935-RA	NA
Caust.v2_000936-RA	Caust.v2_000936	Caust.v2_000936-RA	NA
Caust.v2_000937-RA	Caust.v2_000937	Caust.v2_000937-RA	NA
Caust.v2_000938-RA	Caust.v2_000938	Caust.v2_000938-RA	NA
Caust.v2_000939-RA	Caust.v2_000939	Caust.v2_000939-RA	NA
Caust.v2_000940-RA	Caust.v2_000940	Caust.v2_000940-RA	NA
Caust.v2_000941-RA	Caust.v2_000941	Caust.v2_000941-RA	NA
Caust.v2_000942-RA	Caust.v2_000942	Caust.v2_000942-RA	NA
Caust.v2_000943-RA	Caust.v2_000943	Caust.v2_000943-RA	NA
Caust.v2_000944-RA	Caust.v2_000944	Caust.v2_000944-RA	NA
Caust.v2_000945-RA	Caust.v2_000945	Caust.v2_000945-RA	NA
Caust.v2_000946-RA	Caust.v2_000946	Caust.v2_000946-RA	NA
Caust.v2_000947-RA	Caust.v2_000947	Caust.v2_000947-RA	NA
Caust.v2_000948-RA	Caust.v2_000948	Caust.v2_000948-RA	NA
Caust.v2_000949-RA	Caust.v2_000949	Caust.v2_000949-RA	NA
Caust.v2_000950-RA	Caust.v2_000950	Caust.v2_000950-RA	NA
Caust.v2_000951-RA	Caust.v2_000951	Caust.v2_000951-RA	XP_017880353
Caust.v2_000952-RA	Caust.v2_000952	Caust.v2_000952-RA	NA
Caust.v2_000953-RA	Caust.v2_000953	Caust.v2_000953-RA	NA
Caust.v2_000954-RA	Caust.v2_000954	Caust.v2_000954-RA	NA
Caust.v2_000955-RA	Caust.v2_000955	Caust.v2_000955-RA	NA
Caust.v2_000956-RA	Caust.v2_000956	Caust.v2_000956-RA	NA
Caust.v2_000957-RA	Caust.v2_000957	Caust.v2_000957-RA	NA
Caust.v2_000958-RA	Caust.v2_000958	Caust.v2_000958-RA	NA
Caust.v2_000959-RA	Caust.v2_000959	Caust.v2_000959-RA	NA
Caust.v2_000960-RA	Caust.v2_000960	Caust.v2_000960-RA	NA
Caust.v2_000961-RA	Caust.v2_000961	Caust.v2_000961-RA	NA
Caust.v2_000962-RA	Caust.v2_000962	Caust.v2_000962-RA	NA
Caust.v2_000963-RA	Caust.v2_000963	Caust.v2_000963-RA	NA
Caust.v2_000964-RA	Caust.v2_000964	Caust.v2_000964-RA	NA
Caust.v2_000965-RA	Caust.v2_000965	Caust.v2_000965-RA	NA
Caust.v2_000966-RA	Caust.v2_000966	Caust.v2_000966-RA	XP_026669442
Caust.v2_000967-RA	Caust.v2_000967	Caust.v2_000967-RA	XP_026669442
Caust.v2_000968-RA	Caust.v2_000968	Caust.v2_000968-RA	XP_026669445
Caust.v2_000969-RA	Caust.v2_000969	Caust.v2_000969-RA	XP_017880385
Caust.v2_000970-RA	Caust.v2_000970	Caust.v2_000970-RA	XP_017880388
Caust.v2_000971-RA	Caust.v2_000971	Caust.v2_000971-RA	XP_017880361
Caust.v2_000972-RA	Caust.v2_000972	Caust.v2_000972-RA	XP_017880392
Caust.v2_000973-RA	Caust.v2_000973	Caust.v2_000973-RA	XP_017880396
Caust.v2_000974-RA	Caust.v2_000974	Caust.v2_000974-RA	XP_017880359
Caust.v2_000975-RA	Caust.v2_000975	Caust.v2_000975-RA	NA
Caust.v2_000976-RA	Caust.v2_000976	Caust.v2_000976-RA	XP_017880398
Caust.v2_000977-RA	Caust.v2_000977	Caust.v2_000977-RA	NA
Caust.v2_000978-RA	Caust.v2_000978	Caust.v2_000978-RA	NA
Caust.v2_000979-RA	Caust.v2_000979	Caust.v2_000979-RA	XP_026669423
Caust.v2_000979-RB	Caust.v2_000979	Caust.v2_000979-RB	XP_026669423
Caust.v2_000980-RA	Caust.v2_000980	Caust.v2_000980-RA	XP_026669440
Caust.v2_000981-RA	Caust.v2_000981	Caust.v2_000981-RA	NA
Caust.v2_000982-RA	Caust.v2_000982	Caust.v2_000982-RA	NA
Caust.v2_000983-RA	Caust.v2_000983	Caust.v2_000983-RA	NA
Caust.v2_000984-RA	Caust.v2_000984	Caust.v2_000984-RA	NA
Caust.v2_000985-RA	Caust.v2_000985	Caust.v2_000985-RA	NA
Caust.v2_000986-RA	Caust.v2_000986	Caust.v2_000986-RA	XP_017880383
Caust.v2_000987-RA	Caust.v2_000987	Caust.v2_000987-RA	XP_017880381
Caust.v2_000987-RB	Caust.v2_000987	Caust.v2_000987-RB	XP_017880381
Caust.v2_000988-RA	Caust.v2_000988	Caust.v2_000988-RA	NA
Caust.v2_000989-RA	Caust.v2_000989	Caust.v2_000989-RA	XP_017880379
Caust.v2_000990-RA	Caust.v2_000990	Caust.v2_000990-RA	NA
Caust.v2_000991-RA	Caust.v2_000991	Caust.v2_000991-RA	NA
Caust.v2_000992-RA	Caust.v2_000992	Caust.v2_000992-RA	NA
Caust.v2_000993-RA	Caust.v2_000993	Caust.v2_000993-RA	NA
Caust.v2_000994-RA	Caust.v2_000994	Caust.v2_000994-RA	NA
Caust.v2_000995-RA	Caust.v2_000995	Caust.v2_000995-RA	NA
Caust.v2_000996-RA	Caust.v2_000996	Caust.v2_000996-RA	NA
Caust.v2_000997-RA	Caust.v2_000997	Caust.v2_000997-RA	NA
Caust.v2_000998-RA	Caust.v2_000998	Caust.v2_000998-RA	NA
Caust.v2_000999-RA	Caust.v2_000999	Caust.v2_000999-RA	XP_026669438
Caust.v2_001000-RA	Caust.v2_001000	Caust.v2_001000-RA	XP_017880391
Caust.v2_001001-RA	Caust.v2_001001	Caust.v2_001001-RA	XP_026669429
Caust.v2_001002-RA	Caust.v2_001002	Caust.v2_001002-RA	NA
Caust.v2_001003-RA	Caust.v2_001003	Caust.v2_001003-RA	NA
Caust.v2_001004-RA	Caust.v2_001004	Caust.v2_001004-RA	XP_017880366
Caust.v2_001004-RB	Caust.v2_001004	Caust.v2_001004-RB	XP_017880366
Caust.v2_001004-RC	Caust.v2_001004	Caust.v2_001004-RC	XP_017880366
Caust.v2_001004-RD	Caust.v2_001004	Caust.v2_001004-RD	XP_017880366
Caust.v2_001004-RE	Caust.v2_001004	Caust.v2_001004-RE	XP_017880377
Caust.v2_001004-RF	Caust.v2_001004	Caust.v2_001004-RF	XP_017880366
Caust.v2_001004-RG	Caust.v2_001004	Caust.v2_001004-RG	XP_017880377
Caust.v2_001004-RH	Caust.v2_001004	Caust.v2_001004-RH	XP_017880366
Caust.v2_001004-RI	Caust.v2_001004	Caust.v2_001004-RI	XP_017880366
Caust.v2_001005-RA	Caust.v2_001005	Caust.v2_001005-RA	XP_026669434
Caust.v2_001006-RA	Caust.v2_001006	Caust.v2_001006-RA	XP_026669434
Caust.v2_001007-RA	Caust.v2_001007	Caust.v2_001007-RA	XP_026669433
Caust.v2_001008-RA	Caust.v2_001008	Caust.v2_001008-RA	XP_026669435
Caust.v2_001009-RA	Caust.v2_001009	Caust.v2_001009-RA	XP_026669402
Caust.v2_001010-RA	Caust.v2_001010	Caust.v2_001010-RA	XP_026669401
Caust.v2_001011-RA	Caust.v2_001011	Caust.v2_001011-RA	XP_017880324
Caust.v2_001012-RA	Caust.v2_001012	Caust.v2_001012-RA	XP_017880325
Caust.v2_001013-RA	Caust.v2_001013	Caust.v2_001013-RA	XP_017880325
Caust.v2_001013-RB	Caust.v2_001013	Caust.v2_001013-RB	XP_017880325
Caust.v2_001014-RA	Caust.v2_001014	Caust.v2_001014-RA	XP_017880331
Caust.v2_001015-RA	Caust.v2_001015	Caust.v2_001015-RA	NA
Caust.v2_001016-RA	Caust.v2_001016	Caust.v2_001016-RA	XP_017880302
Caust.v2_001016-RB	Caust.v2_001016	Caust.v2_001016-RB	XP_017880302
Caust.v2_001016-RC	Caust.v2_001016	Caust.v2_001016-RC	XP_017880302
Caust.v2_001016-RD	Caust.v2_001016	Caust.v2_001016-RD	XP_017880302
Caust.v2_001016-RE	Caust.v2_001016	Caust.v2_001016-RE	XP_017880302
Caust.v2_001016-RF	Caust.v2_001016	Caust.v2_001016-RF	XP_017880302
Caust.v2_001017-RA	Caust.v2_001017	Caust.v2_001017-RA	XP_026669395
Caust.v2_001018-RA	Caust.v2_001018	Caust.v2_001018-RA	XP_017880309
Caust.v2_001019-RA	Caust.v2_001019	Caust.v2_001019-RA	XP_017880320
Caust.v2_001019-RB	Caust.v2_001019	Caust.v2_001019-RB	XP_017880320
Caust.v2_001019-RC	Caust.v2_001019	Caust.v2_001019-RC	XP_017880320
Caust.v2_001019-RD	Caust.v2_001019	Caust.v2_001019-RD	XP_017880320
Caust.v2_001019-RE	Caust.v2_001019	Caust.v2_001019-RE	XP_017890420
Caust.v2_001019-RF	Caust.v2_001019	Caust.v2_001019-RF	XP_017890420
Caust.v2_001020-RA	Caust.v2_001020	Caust.v2_001020-RA	XP_017880301
Caust.v2_001021-RA	Caust.v2_001021	Caust.v2_001021-RA	XP_017890473
Caust.v2_001021-RB	Caust.v2_001021	Caust.v2_001021-RB	XP_017890473
Caust.v2_001021-RC	Caust.v2_001021	Caust.v2_001021-RC	XP_017890473
Caust.v2_001021-RD	Caust.v2_001021	Caust.v2_001021-RD	XP_017890473
Caust.v2_001021-RE	Caust.v2_001021	Caust.v2_001021-RE	XP_017890473
Caust.v2_001021-RF	Caust.v2_001021	Caust.v2_001021-RF	XP_017890473
Caust.v2_001021-RG	Caust.v2_001021	Caust.v2_001021-RG	XP_017890473
Caust.v2_001021-RH	Caust.v2_001021	Caust.v2_001021-RH	XP_017890473
Caust.v2_001021-RI	Caust.v2_001021	Caust.v2_001021-RI	XP_017890473
Caust.v2_001021-RJ	Caust.v2_001021	Caust.v2_001021-RJ	XP_017890473
Caust.v2_001022-RA	Caust.v2_001022	Caust.v2_001022-RA	NA
Caust.v2_001023-RA	Caust.v2_001023	Caust.v2_001023-RA	XP_017890609
Caust.v2_001024-RA	Caust.v2_001024	Caust.v2_001024-RA	XP_017890610
Caust.v2_001025-RA	Caust.v2_001025	Caust.v2_001025-RA	XP_017890467
Caust.v2_001026-RA	Caust.v2_001026	Caust.v2_001026-RA	NA
Caust.v2_001027-RA	Caust.v2_001027	Caust.v2_001027-RA	XP_017890578
Caust.v2_001028-RA	Caust.v2_001028	Caust.v2_001028-RA	XP_026674518
Caust.v2_001029-RA	Caust.v2_001029	Caust.v2_001029-RA	XP_017890606
Caust.v2_001030-RA	Caust.v2_001030	Caust.v2_001030-RA	XP_017890589
Caust.v2_001030-RB	Caust.v2_001030	Caust.v2_001030-RB	XP_026674548
Caust.v2_001030-RC	Caust.v2_001030	Caust.v2_001030-RC	XP_026674548
Caust.v2_001030-RD	Caust.v2_001030	Caust.v2_001030-RD	XP_026674548
Caust.v2_001030-RE	Caust.v2_001030	Caust.v2_001030-RE	XP_026674548
Caust.v2_001030-RF	Caust.v2_001030	Caust.v2_001030-RF	XP_017890589
Caust.v2_001031-RA	Caust.v2_001031	Caust.v2_001031-RA	XP_026674534
Caust.v2_001031-RB	Caust.v2_001031	Caust.v2_001031-RB	XP_017890586
Caust.v2_001031-RC	Caust.v2_001031	Caust.v2_001031-RC	XP_026674534
Caust.v2_001031-RD	Caust.v2_001031	Caust.v2_001031-RD	XP_026674534
Caust.v2_001032-RA	Caust.v2_001032	Caust.v2_001032-RA	XP_017890435
Caust.v2_001032-RB	Caust.v2_001032	Caust.v2_001032-RB	XP_017890435
Caust.v2_001032-RC	Caust.v2_001032	Caust.v2_001032-RC	XP_017890435
Caust.v2_001033-RA	Caust.v2_001033	Caust.v2_001033-RA	XP_017890429
Caust.v2_001033-RB	Caust.v2_001033	Caust.v2_001033-RB	XP_017890429
Caust.v2_001033-RC	Caust.v2_001033	Caust.v2_001033-RC	XP_017890446
Caust.v2_001034-RA	Caust.v2_001034	Caust.v2_001034-RA	XP_017890447
Caust.v2_001035-RA	Caust.v2_001035	Caust.v2_001035-RA	XP_017890434
Caust.v2_001036-RA	Caust.v2_001036	Caust.v2_001036-RA	XP_017890444
Caust.v2_001037-RA	Caust.v2_001037	Caust.v2_001037-RA	XP_017890459
Caust.v2_001037-RB	Caust.v2_001037	Caust.v2_001037-RB	XP_017890459
Caust.v2_001038-RA	Caust.v2_001038	Caust.v2_001038-RA	XP_026674526
Caust.v2_001039-RA	Caust.v2_001039	Caust.v2_001039-RA	XP_026674543
Caust.v2_001040-RA	Caust.v2_001040	Caust.v2_001040-RA	XP_017890460
Caust.v2_001041-RA	Caust.v2_001041	Caust.v2_001041-RA	XP_017890456
Caust.v2_001042-RA	Caust.v2_001042	Caust.v2_001042-RA	XP_017890452
Caust.v2_001043-RA	Caust.v2_001043	Caust.v2_001043-RA	XP_026674529
Caust.v2_001044-RA	Caust.v2_001044	Caust.v2_001044-RA	XP_017890425
Caust.v2_001045-RA	Caust.v2_001045	Caust.v2_001045-RA	XP_017890437
Caust.v2_001045-RB	Caust.v2_001045	Caust.v2_001045-RB	XP_017890437
Caust.v2_001046-RA	Caust.v2_001046	Caust.v2_001046-RA	XP_026674568
Caust.v2_001047-RA	Caust.v2_001047	Caust.v2_001047-RA	XP_017890558
Caust.v2_001048-RA	Caust.v2_001048	Caust.v2_001048-RA	XP_017890560
Caust.v2_001048-RB	Caust.v2_001048	Caust.v2_001048-RB	XP_017890560
Caust.v2_001049-RA	Caust.v2_001049	Caust.v2_001049-RA	XP_017890611
Caust.v2_001050-RA	Caust.v2_001050	Caust.v2_001050-RA	XP_017890612
Caust.v2_001051-RA	Caust.v2_001051	Caust.v2_001051-RA	XP_026674503
Caust.v2_001052-RA	Caust.v2_001052	Caust.v2_001052-RA	XP_017888329
Caust.v2_001053-RA	Caust.v2_001053	Caust.v2_001053-RA	XP_017888331
Caust.v2_001054-RA	Caust.v2_001054	Caust.v2_001054-RA	XP_017888333
Caust.v2_001055-RA	Caust.v2_001055	Caust.v2_001055-RA	XP_017878998
Caust.v2_001056-RA	Caust.v2_001056	Caust.v2_001056-RA	XP_026668900
Caust.v2_001057-RA	Caust.v2_001057	Caust.v2_001057-RA	XP_017879040
Caust.v2_001058-RA	Caust.v2_001058	Caust.v2_001058-RA	XP_017878903
Caust.v2_001059-RA	Caust.v2_001059	Caust.v2_001059-RA	NA
Caust.v2_001060-RA	Caust.v2_001060	Caust.v2_001060-RA	XP_017878911
Caust.v2_001061-RA	Caust.v2_001061	Caust.v2_001061-RA	NA
Caust.v2_001062-RA	Caust.v2_001062	Caust.v2_001062-RA	NA
Caust.v2_001063-RA	Caust.v2_001063	Caust.v2_001063-RA	NA
Caust.v2_001064-RA	Caust.v2_001064	Caust.v2_001064-RA	NA
Caust.v2_001065-RA	Caust.v2_001065	Caust.v2_001065-RA	XP_017878903
Caust.v2_001066-RA	Caust.v2_001066	Caust.v2_001066-RA	NA
Caust.v2_001067-RA	Caust.v2_001067	Caust.v2_001067-RA	NA
Caust.v2_001068-RA	Caust.v2_001068	Caust.v2_001068-RA	XP_017878903
Caust.v2_001069-RA	Caust.v2_001069	Caust.v2_001069-RA	XP_017878954
Caust.v2_001069-RB	Caust.v2_001069	Caust.v2_001069-RB	XP_017878954
Caust.v2_001070-RA	Caust.v2_001070	Caust.v2_001070-RA	XP_026668850
Caust.v2_001071-RA	Caust.v2_001071	Caust.v2_001071-RA	XP_017878930
Caust.v2_001072-RA	Caust.v2_001072	Caust.v2_001072-RA	NA
Caust.v2_001073-RA	Caust.v2_001073	Caust.v2_001073-RA	NA
Caust.v2_001074-RA	Caust.v2_001074	Caust.v2_001074-RA	NA
Caust.v2_001075-RA	Caust.v2_001075	Caust.v2_001075-RA	XP_017892145
Caust.v2_001076-RA	Caust.v2_001076	Caust.v2_001076-RA	NA
Caust.v2_001077-RA	Caust.v2_001077	Caust.v2_001077-RA	XP_026670460
Caust.v2_001078-RA	Caust.v2_001078	Caust.v2_001078-RA	NA
Caust.v2_001079-RA	Caust.v2_001079	Caust.v2_001079-RA	NA
Caust.v2_001080-RA	Caust.v2_001080	Caust.v2_001080-RA	XP_026670452
Caust.v2_001081-RA	Caust.v2_001081	Caust.v2_001081-RA	NA
Caust.v2_001082-RA	Caust.v2_001082	Caust.v2_001082-RA	NA
Caust.v2_001083-RA	Caust.v2_001083	Caust.v2_001083-RA	XP_026670420
Caust.v2_001084-RA	Caust.v2_001084	Caust.v2_001084-RA	NA
Caust.v2_001085-RA	Caust.v2_001085	Caust.v2_001085-RA	NA
Caust.v2_001086-RA	Caust.v2_001086	Caust.v2_001086-RA	NA
Caust.v2_001087-RA	Caust.v2_001087	Caust.v2_001087-RA	XP_017882037
Caust.v2_001087-RB	Caust.v2_001087	Caust.v2_001087-RB	XP_017882037
Caust.v2_001087-RC	Caust.v2_001087	Caust.v2_001087-RC	XP_017882037
Caust.v2_001087-RD	Caust.v2_001087	Caust.v2_001087-RD	XP_017882037
Caust.v2_001088-RA	Caust.v2_001088	Caust.v2_001088-RA	NA
Caust.v2_001089-RA	Caust.v2_001089	Caust.v2_001089-RA	XP_017882011
Caust.v2_001090-RA	Caust.v2_001090	Caust.v2_001090-RA	XP_017882011
Caust.v2_001091-RA	Caust.v2_001091	Caust.v2_001091-RA	NA
Caust.v2_001092-RA	Caust.v2_001092	Caust.v2_001092-RA	XP_017881984
Caust.v2_001093-RA	Caust.v2_001093	Caust.v2_001093-RA	XP_017881958
Caust.v2_001094-RA	Caust.v2_001094	Caust.v2_001094-RA	XP_026670521
Caust.v2_001095-RA	Caust.v2_001095	Caust.v2_001095-RA	XP_026670521
Caust.v2_001096-RA	Caust.v2_001096	Caust.v2_001096-RA	NA
Caust.v2_001097-RA	Caust.v2_001097	Caust.v2_001097-RA	NA
Caust.v2_001098-RA	Caust.v2_001098	Caust.v2_001098-RA	NA
Caust.v2_001099-RA	Caust.v2_001099	Caust.v2_001099-RA	NA
Caust.v2_001100-RA	Caust.v2_001100	Caust.v2_001100-RA	XP_017892840
Caust.v2_001101-RA	Caust.v2_001101	Caust.v2_001101-RA	XP_017892913
Caust.v2_001102-RA	Caust.v2_001102	Caust.v2_001102-RA	NA
Caust.v2_001103-RA	Caust.v2_001103	Caust.v2_001103-RA	XP_017892887
Caust.v2_001104-RA	Caust.v2_001104	Caust.v2_001104-RA	XP_017881945
Caust.v2_001105-RA	Caust.v2_001105	Caust.v2_001105-RA	XP_017883477
Caust.v2_001105-RB	Caust.v2_001105	Caust.v2_001105-RB	XP_017883477
Caust.v2_001106-RA	Caust.v2_001106	Caust.v2_001106-RA	XP_017884542
Caust.v2_001107-RA	Caust.v2_001107	Caust.v2_001107-RA	NA
Caust.v2_001108-RA	Caust.v2_001108	Caust.v2_001108-RA	XP_017886620
Caust.v2_001108-RB	Caust.v2_001108	Caust.v2_001108-RB	XP_017886620
Caust.v2_001109-RA	Caust.v2_001109	Caust.v2_001109-RA	NA
