LOC106783577	XM_014746502.1
LOC106786409	XM_014747766.1
LOC106786410	XM_014747778.1
LOC106786411	XM_014747782.1
LOC106786412	XM_014747780.1
LOC106786413	XM_014747788.1
LOC106786414	XM_014747790.1
LOC106786415	XM_014747791.1
LOC106786416	XM_014747839.1
LOC106786417	XM_014747797.1
LOC106786418	XM_014747793.1
LOC106786419	XM_014747795.1
LOC106786420	XM_014747798.1
LOC106786421	XM_014747799.1
LOC106786422	XM_014747800.1
LOC106786423	XM_014747801.1
LOC106786424	XM_014747804.1
LOC106786425	XM_014747809.1
LOC106786426	XM_014747807.1
LOC106786427	XM_014747808.1
LOC106786428	XM_014747810.1
LOC106786429	XM_014747811.1
LOC106786430	XM_014747812.1
LOC106786431	XM_014747815.1
LOC106786432	XM_014747817.1
LOC106786433	XM_014747823.1
LOC106786434	XM_014747826.1
LOC106786435	XM_014747837.1
LOC106786436	XM_014747843.1
LOC106786437	XM_014747845.1
LOC106786438	XM_014747846.1
LOC106786439	XM_014747847.1
LOC106786440	XM_014747848.1
LOC106786441	XM_014747852.1
LOC106786442	XM_014747849.1
LOC106786443	XM_014747850.1
LOC106786444	XM_014747851.1
LOC106786445	XM_014747853.1
LOC106786446	XM_014747854.1
LOC106786447	XM_014747855.1
LOC106786448	XM_014747856.1
LOC106786449	XM_014747857.1
LOC106786450	XM_014747858.1
LOC106786451	XM_014747860.1
LOC106786452	XM_014747863.1
LOC106786453	XM_014747864.1
LOC106786454	XM_014747894.1
LOC106786455	XM_014747866.1
LOC106786456	XM_014747867.1
LOC106786457	XM_014747869.1
LOC106786458	XM_014747870.1
LOC106786459	XM_014747871.1
LOC106786460	XM_014747872.1
LOC106786462	XM_014747873.1
LOC106786463	XM_014747874.1
LOC106786464	XR_001381644.1
LOC106786465	XM_014747876.1
LOC106786466	XM_014747878.1
LOC106786467	XM_014747879.1
LOC106786468	XM_014747880.1
LOC106786469	XM_014747881.1
LOC106786470	XM_014747884.1
LOC106786471	XM_014747885.1
LOC106786472	XM_014747888.1
LOC106786473	XM_014747889.1
LOC106786474	XM_014747890.1
LOC106786475	XM_014747892.1
LOC106786476	XM_014747893.1
LOC106786477	XM_014747895.1
LOC106786478	XM_014747898.1
LOC106786479	XM_014747900.1
LOC106786480	XM_014747901.1
LOC106786481	XM_014747902.1
LOC106786482	XM_014747904.1
LOC106786483	XM_014747910.1
LOC106786484	XM_014747913.1
LOC106786485	XM_014747916.1
LOC106786486	XM_014747917.1
LOC106786487	XM_014747958.1
LOC106786488	XM_014747923.1
LOC106786489	XM_014747925.1
LOC106786490	XM_014747927.1
LOC106786491	XM_014747929.1
LOC106786492	XM_014747937.1
LOC106786493	XM_014747940.1
LOC106786494	XM_014747944.1
LOC106786495	XM_014747943.1
LOC106786496	XM_014747947.1
LOC106786497	XM_014747949.1
LOC106786498	XM_014747953.1
LOC106786499	XM_014747951.1
LOC106786500	XM_014747954.1
LOC106786501	XM_014747960.1
LOC106786502	XM_014747968.1
LOC106786503	XM_014747964.1
LOC106786504	XM_014747967.1
LOC106786505	XM_014747970.1
LOC106786506	XM_014747971.1
LOC106786507	XM_014747973.1
LOC106786508	XM_014747976.1
LOC106786509	XM_014747980.1
LOC106786510	XM_014747977.1
LOC106786511	XM_014747978.1
LOC106786512	XM_014747979.1
LOC106786513	XM_014747981.1
LOC106786514	XM_014747983.1
LOC106786515	XM_014747984.1
LOC106786516	XM_014747985.1
LOC106786517	XM_014747988.1
LOC106786518	XM_014747992.1
LOC106786519	XM_014747989.1
LOC106786520	XM_014747990.1
LOC106786521	XM_014747991.1
LOC106786522	XM_014747993.1
LOC106786523	XM_014747996.1
LOC106786524	XM_014748000.1
LOC106786525	XM_014748001.1
LOC106786526	XM_014748006.1
LOC106786527	XM_014748002.1
LOC106786528	XM_014748005.1
LOC106786529	XM_014748007.1
LOC106786530	XM_014748008.1
LOC106786531	XM_014748009.1
LOC106786532	XM_014748011.1
LOC106786533	XM_014748020.1
LOC106786534	XM_014748023.1
LOC106786535	XM_014748029.1
LOC106786536	XM_014748028.1
LOC106786537	XM_014748030.1
LOC106786538	XM_014748031.1
LOC106786539	XM_014748034.1
LOC106786540	XM_014748036.1
LOC106786541	XM_014748042.1
LOC106786542	XM_014748038.1
LOC106786543	XM_014748043.1
LOC106786544	XM_014748044.1
LOC106786545	XM_014748049.1
LOC106786546	XM_014748050.1
LOC106786547	XM_014748051.1
LOC106786548	XM_014748063.1
LOC106786549	XM_014748052.1
LOC106786550	XM_014748053.1
LOC106786551	XM_014748055.1
LOC106786552	XM_014748057.1
LOC106786553	XM_014748060.1
LOC106786554	XM_014748061.1
LOC106786555	XM_014748062.1
LOC106786556	XM_014748066.1
LOC106786557	XM_014748073.1
LOC106786558	XM_014748078.1
LOC106786559	XM_014748075.1
LOC106786560	XM_014748077.1
LOC106786561	XM_014748079.1
LOC106786562	XM_014748084.1
LOC106786563	XM_014748085.1
LOC106786564	XM_014748086.1
LOC106786565	XR_001381662.1
LOC106786566	XM_014748088.1
LOC106786567	XM_014748092.1
LOC106786568	XM_014748093.1
LOC106786569	XM_014748096.1
LOC106786570	XM_014748097.1
LOC106786571	XR_001381663.1
LOC106786572	XM_014748102.1
LOC106786573	XM_014748105.1
LOC106786574	XR_001381666.1
LOC106786575	XM_014748106.1
LOC106786576	XM_014748109.1
LOC106786577	XM_014748126.1
LOC106786578	XM_014748127.1
LOC106786579	XM_014748128.1
LOC106786580	XM_014748129.1
LOC106786581	XM_014748130.1
LOC106786582	XM_014748132.1
LOC106786583	XM_014748137.1
LOC106786584	XM_014748139.1
LOC106786585	XM_014748140.1
LOC106786586	XM_014748152.1
LOC106786587	XM_014748142.1
LOC106786588	XM_014748143.1
LOC106786589	XM_014748145.1
LOC106786590	XM_014748146.1
LOC106786591	XM_014748147.1
LOC106786592	XM_014748148.1
LOC106786593	XM_014748149.1
LOC106786594	XM_014748150.1
LOC106786595	XM_014748153.1
LOC106786596	XM_014748154.1
LOC106786597	XM_014748156.1
LOC106786598	XM_014748157.1
LOC106786599	XM_014748158.1
LOC106786600	XM_014748159.1
LOC106786601	XR_001381669.1
LOC106786602	XM_014748160.1
LOC106786603	XM_014748161.1
LOC106786604	XM_014748162.1
LOC106786605	XM_014748193.1
LOC106786606	XM_014748163.1
LOC106786607	XM_014748165.1
LOC106786608	XM_014748167.1
LOC106786609	XM_014748168.1
LOC106786610	XM_014748169.1
LOC106786611	XM_014748175.1
LOC106786612	XM_014748178.1
LOC106786613	XM_014748179.1
LOC106786614	XM_014748180.1
LOC106786615	XM_014748185.1
LOC106786616	XM_014748188.1
LOC106786617	XM_014748190.1
LOC106786618	XM_014748191.1
LOC106786619	XM_014748196.1
LOC106786620	XM_014748198.1
LOC106786621	XM_014748201.1
LOC106786622	XM_014748206.1
LOC106786623	XM_014748203.1
LOC106786624	XM_014748205.1
LOC106786625	XM_014748208.1
LOC106786626	XM_014748211.1
LOC106786627	XM_014748213.1
LOC106786628	XM_014748214.1
LOC106786629	XM_014748222.1
LOC106786630	XM_014748226.1
LOC106786631	XM_014748228.1
LOC106786632	XM_014748231.1
LOC106786633	XM_014748233.1
LOC106786634	XM_014748236.1
LOC106786635	XM_014748237.1
LOC106786636	XM_014748240.1
LOC106786637	XM_014748242.1
LOC106786638	XM_014748245.1
LOC106786639	XM_014748248.1
LOC106786640	XM_014748250.1
LOC106786641	XR_001381673.1
LOC106786642	XR_001381677.1
LOC106786643	XM_014748254.1
LOC106786644	XM_014748253.1
LOC106786645	XM_014748255.1
LOC106786646	XM_014748268.1
LOC106786647	XM_014748296.1
LOC106786648	XM_014748273.1
LOC106786649	XM_014748274.1
LOC106786650	XM_014748277.1
LOC106786651	XM_014748279.1
LOC106786652	XM_014748281.1
LOC106786653	XM_014748282.1
LOC106786654	XM_014748283.1
LOC106786655	XM_014748284.1
LOC106786656	XM_014748286.1
LOC106786657	XM_014748288.1
LOC106786658	XM_014748290.1
LOC106786659	XM_014748293.1
LOC106786660	XM_014748297.1
LOC106786661	XM_014748299.1
LOC106786662	XM_014748300.1
LOC106786663	XM_014748301.1
LOC106786664	XM_014748302.1
LOC106786665	XM_014748303.1
LOC106786666	XM_014748305.1
LOC106786667	XM_014748308.1
LOC106786668	XM_014748350.1
LOC106786669	XM_014748309.1
LOC106786670	XM_014748310.1
LOC106786671	XM_014748314.1
LOC106786672	XM_014748316.1
LOC106786673	XM_014748318.1
LOC106786674	XM_014748319.1
LOC106786675	XM_014748323.1
LOC106786676	XM_014748329.1
LOC106786677	XM_014748334.1
LOC106786678	XM_014748332.1
LOC106786679	XR_001381678.1
LOC106786680	XM_014748333.1
LOC106786681	XM_014748335.1
LOC106786682	XM_014748336.1
LOC106786683	XM_014748337.1
LOC106786684	XM_014748338.1
LOC106786685	XM_014748339.1
LOC106786686	XM_014748340.1
LOC106786687	XM_014748341.1
LOC106786688	XM_014748345.1
LOC106786689	XR_001381681.1
LOC106786690	XM_014748342.1
LOC106786691	XM_014748349.1
LOC106786692	XM_014748351.1
LOC106786693	XM_014748352.1
LOC106786694	XM_014748355.1
LOC106786695	XM_014748360.1
LOC106786696	XM_014748363.1
LOC106786697	XM_014748364.1
LOC106786698	XM_014748368.1
LOC106786699	XM_014748370.1
LOC106786700	XM_014748372.1
LOC106786701	XM_014748375.1
LOC106786702	XM_014748378.1
LOC106786703	XM_014748383.1
LOC106786704	XM_014748380.1
LOC106786705	XM_014748382.1
LOC106786706	XM_014748385.1
LOC106786707	XM_014748390.1
LOC106786708	XM_014748392.1
LOC106786709	XM_014748396.1
LOC106786710	XM_014748393.1
LOC106786711	XM_014748394.1
LOC106786712	XM_014748412.1
LOC106786713	XM_014748413.1
LOC106786714	XM_014748416.1
LOC106786715	XM_014748421.1
LOC106786716	XM_014748418.1
LOC106786717	XM_014748422.1
LOC106786718	XM_014748423.1
LOC106786719	XM_014748424.1
LOC106786720	XM_014748425.1
LOC106786721	XM_014748426.1
LOC106786722	XM_014748427.1
LOC106786723	XM_014748453.1
LOC106786724	XM_014748428.1
LOC106786725	XM_014748430.1
LOC106786726	XM_014748432.1
LOC106786727	XM_014748434.1
LOC106786728	XM_014748436.1
LOC106786729	XM_014748438.1
LOC106786730	XM_014748568.1
LOC106786731	XM_014748446.1
LOC106786732	XM_014748447.1
LOC106786733	XM_014748449.1
LOC106786734	XM_014748450.1
LOC106786735	XM_014748452.1
LOC106786736	XM_014748454.1
LOC106786737	XM_014748456.1
LOC106786738	XM_014748458.1
LOC106786739	XM_014748459.1
LOC106786740	XM_014748460.1
LOC106786741	XM_014748461.1
LOC106786742	XM_014748463.1
LOC106786743	XM_014748469.1
LOC106786744	XM_014748470.1
LOC106786745	XM_014748473.1
LOC106786746	XM_014748474.1
LOC106786747	XM_014748475.1
LOC106786748	XM_014748476.1
LOC106786749	XM_014748477.1
LOC106786750	XM_014748478.1
LOC106786751	XM_014748483.1
LOC106786752	XM_014748479.1
LOC106786753	XM_014748480.1
LOC106786754	XM_014748481.1
LOC106786755	XM_014748484.1
LOC106786756	XR_001381687.1
LOC106786757	XM_014748485.1
LOC106786758	XM_014748486.1
LOC106786759	XM_014748497.1
LOC106786760	XM_014748513.1
LOC106786761	XR_001381689.1
LOC106786762	XM_014748516.1
LOC106786763	XM_014748521.1
LOC106786764	XM_014748525.1
LOC106786765	XM_014748526.1
LOC106786766	XM_014748527.1
LOC106786767	XM_014748528.1
LOC106786768	XM_014748529.1
LOC106786769	XM_014748533.1
LOC106786770	XR_001381690.1
LOC106786771	XM_014748531.1
LOC106786772	XM_014748534.1
LOC106786773	XR_001381693.1
LOC106786774	XM_014748535.1
LOC106786775	XM_014748536.1
LOC106786776	XM_014748537.1
LOC106786777	XM_014748538.1
LOC106786778	XM_014748543.1
LOC106786779	XM_014748540.1
LOC106786780	XM_014748541.1
LOC106786781	XM_014748542.1
LOC106786782	XM_014748544.1
LOC106786783	XM_014748545.1
LOC106786784	XR_001381694.1
LOC106786785	XM_014748546.1
LOC106786786	XM_014748547.1
LOC106786787	XM_014748549.1
LOC106786788	XM_014748550.1
LOC106786789	XM_014748552.1
LOC106786790	XM_014748554.1
LOC106786791	XM_014748555.1
LOC106786792	XM_014748556.1
LOC106786793	XM_014748557.1
LOC106786794	XM_014748558.1
LOC106786795	XM_014748562.1
LOC106786796	XM_014748559.1
LOC106786797	XM_014748560.1
LOC106786798	XM_014748561.1
LOC106786799	XM_014748575.1
LOC106786800	XM_014748576.1
LOC106786801	XM_014748577.1
LOC106786802	XM_014748578.1
LOC106786803	XM_014748580.1
LOC106786804	XM_014748586.1
LOC106786805	XM_014748583.1
LOC106786806	XM_014748584.1
LOC106786807	XM_014748587.1
LOC106786808	XM_014748588.1
LOC106786809	XM_014748589.1
LOC106786810	XM_014748590.1
LOC106786811	XM_014748599.1
LOC106786812	XM_014748596.1
LOC106786813	XM_014748602.1
LOC106786814	XM_014748605.1
LOC106786815	XM_014748606.1
LOC106786816	XM_014748608.1
LOC106786817	XM_014748613.1
LOC106786818	XM_014748611.1
LOC106786819	XM_014748615.1
LOC106786820	XM_014748617.1
LOC106786821	XM_014748618.1
LOC106786822	XM_014748619.1
LOC106786823	XM_014748620.1
LOC106786824	XM_014748623.1
LOC106786825	XR_001381696.1
LOC106786826	XM_014748632.1
LOC106786827	XM_014748633.1
LOC106786828	XM_014748639.1
LOC106786829	XM_014748654.1
LOC106786830	XM_014748644.1
LOC106786831	XM_014748646.1
LOC106786832	XM_014748652.1
LOC106786833	XR_001381699.1
LOC106786834	XM_014748657.1
LOC106786835	XM_014748659.1
LOC106786836	XM_014749075.1
LOC106786837	XM_014748660.1
LOC106786838	XM_014748661.1
LOC106786839	XR_001381700.1
LOC106786840	XM_014748665.1
LOC106786841	XR_001381701.1
LOC106786842	XM_014748662.1
LOC106786843	XM_014748663.1
LOC106786844	XM_014748681.1
LOC106786845	XM_014748677.1
LOC106786846	XM_014748682.1
LOC106786847	XM_014748683.1
LOC106786848	XM_014748684.1
LOC106786849	XM_014748686.1
LOC106786850	XM_014748688.1
LOC106786851	XM_014748702.1
LOC106786852	XM_014748690.1
LOC106786853	XM_014748694.1
LOC106786854	XM_014748695.1
LOC106786855	XM_014748700.1
LOC106786856	XM_014748701.1
LOC106786857	XM_014748703.1
LOC106786858	XM_014748706.1
LOC106786859	XR_001381703.1
LOC106786860	XR_001381704.1
LOC106786861	XM_014748713.1
LOC106786862	XM_014748710.1
LOC106786863	XM_014748715.1
LOC106786864	XM_014748723.1
LOC106786865	XM_014748725.1
LOC106786866	XM_014748728.1
LOC106786867	XM_014748729.1
LOC106786868	XM_014748731.1
LOC106786869	XR_001381707.1
LOC106786870	XM_014748735.1
LOC106786871	XM_014748739.1
LOC106786872	XM_014748745.1
LOC106786873	XR_001381708.1
LOC106786874	XM_014748742.1
LOC106786875	XM_014748743.1
LOC106786876	XR_001381709.1
LOC106786877	XM_014748746.1
LOC106786878	XM_014748749.1
LOC106786879	XM_014748751.1
LOC106786880	XM_014748752.1
LOC106786881	XM_014748753.1
LOC106786882	XM_014748757.1
LOC106786883	XM_014748754.1
LOC106786884	XM_014748759.1
LOC106786885	XM_014748760.1
LOC106786886	XM_014748761.1
LOC106786887	XM_014748762.1
LOC106786888	XM_014748766.1
LOC106786889	XM_014748770.1
LOC106786890	XM_014748767.1
LOC106786891	XM_014748768.1
LOC106786892	XM_014748769.1
LOC106786893	XM_014748772.1
LOC106786894	XM_014748773.1
LOC106786895	XM_014748774.1
LOC106786896	XM_014748775.1
LOC106786897	XM_014748777.1
LOC106786898	XM_014748788.1
LOC106786899	XM_014748778.1
LOC106786900	XM_014748779.1
LOC106786901	XM_014748780.1
LOC106786902	XM_014748782.1
LOC106786903	XM_014748783.1
LOC106786904	XR_001381711.1
LOC106786905	XM_014748785.1
LOC106786906	XM_014748786.1
LOC106786907	XM_014748787.1
LOC106786908	XM_014748789.1
LOC106786909	XM_014748790.1
LOC106786910	XM_014748791.1
LOC106786911	XM_014748793.1
LOC106786912	XM_014748796.1
LOC106786913	XM_014748802.1
LOC106786914	XM_014748798.1
LOC106786915	XM_014748803.1
LOC106786916	XM_014748809.1
LOC106786917	XM_014748816.1
LOC106786918	XM_014748813.1
LOC106786919	XM_014748817.1
LOC106786920	XM_014748821.1
LOC106786921	XM_014748822.1
LOC106786922	XM_014748824.1
LOC106786923	XM_014748826.1
LOC106786924	XR_001381712.1
LOC106786925	XM_014748827.1
LOC106786926	XM_014748869.1
LOC106786927	XM_014748830.1
LOC106786928	XR_001381714.1
LOC106786929	XM_014748833.1
LOC106786930	XM_014748834.1
LOC106786931	XM_014748835.1
LOC106786932	XR_001381715.1
LOC106786933	XM_014748837.1
LOC106786934	XM_014748839.1
LOC106786935	XM_014748843.1
LOC106786936	XM_014748841.1
LOC106786937	XM_014748842.1
LOC106786938	XM_014748844.1
LOC106786939	XM_014748846.1
LOC106786940	XM_014748847.1
LOC106786941	XM_014748851.1
LOC106786942	XM_014748852.1
LOC106786943	XM_014748856.1
LOC106786944	XM_014748853.1
LOC106786945	XM_014748854.1
LOC106786946	XM_014748855.1
LOC106786947	XM_014748857.1
LOC106786948	XM_014748858.1
LOC106786949	XM_014748859.1
LOC106786950	XM_014748860.1
LOC106786951	XM_014748861.1
LOC106786952	XM_014748863.1
LOC106786953	XM_014748870.1
LOC106786954	XM_014748871.1
LOC106786955	XM_014748878.1
LOC106786956	XM_014748881.1
LOC106786957	XM_014748883.1
LOC106786958	XR_001381717.1
LOC106786959	XM_014748889.1
LOC106786960	XM_014748890.1
LOC106786961	XM_014748892.1
LOC106786962	XM_014748893.1
LOC106786963	XM_014748894.1
LOC106786964	XM_014748899.1
LOC106786965	XM_014748897.1
LOC106786966	XM_014748898.1
LOC106786967	XM_014748900.1
LOC106786968	XM_014748904.1
LOC106786969	XM_014748905.1
LOC106786970	XM_014748906.1
LOC106786971	XM_014748908.1
LOC106786972	XM_014748912.1
LOC106786973	XM_014748926.1
LOC106786974	XM_014748913.1
LOC106786975	XM_014748918.1
LOC106786976	XM_014748919.1
LOC106786977	XM_014748920.1
LOC106786978	XM_014748922.1
LOC106786979	XM_014748928.1
LOC106786980	XM_014748929.1
LOC106786981	XM_014748930.1
LOC106786982	XM_014748931.1
LOC106786983	XM_014748932.1
LOC106786984	XM_014748933.1
LOC106786985	XM_014748936.1
LOC106786986	XM_014748937.1
LOC106786987	XM_014748938.1
LOC106786988	XM_014748939.1
LOC106786989	XM_014748940.1
LOC106786990	XM_014748941.1
LOC106786991	XM_014748945.1
LOC106786992	XM_014748946.1
LOC106786993	XM_014748950.1
LOC106786994	XM_014748953.1
LOC106786995	XM_014748954.1
LOC106786996	XR_001381724.1
LOC106786997	XM_014748956.1
LOC106786998	XM_014748960.1
LOC106786999	XM_014748961.1
LOC106787000	XM_014748962.1
LOC106787001	XM_014748968.1
LOC106787002	XM_014748965.1
LOC106787003	XM_014748969.1
LOC106787004	XM_014748973.1
LOC106787005	XM_014748976.1
LOC106787006	XM_014748978.1
LOC106787007	XM_014748982.1
LOC106787008	XM_014748981.1
LOC106787009	XR_001381725.1
LOC106787010	XM_014748984.1
LOC106787011	XM_014748985.1
LOC106787012	XM_014748986.1
LOC106787013	XM_014748989.1
LOC106787014	XM_014748987.1
LOC106787015	XM_014748988.1
LOC106787016	XR_001381726.1
LOC106787017	XM_014748993.1
LOC106787018	XM_014748997.1
LOC106787019	XM_014748998.1
LOC106787020	XR_001381730.1
LOC106787021	XR_001381731.1
LOC106787022	XR_001381732.1
LOC106787023	XM_014748999.1
LOC106787024	XM_014749014.1
LOC106787025	XM_014749019.1
LOC106787026	XM_014749022.1
LOC106787027	XM_014749023.1
LOC106787028	XM_014749028.1
LOC106787029	XM_014749024.1
LOC106787030	XM_014749034.1
LOC106787031	XM_014749036.1
LOC106787032	XM_014749076.1
LOC106787033	XM_014749042.1
LOC106787034	XM_014749038.1
LOC106787035	XM_014749040.1
LOC106787036	XM_014749041.1
LOC106787037	XM_014749043.1
LOC106787038	XR_001381733.1
LOC106787039	XR_001381734.1
LOC106787040	XM_014749045.1
LOC106787041	XM_014749046.1
LOC106787042	XM_014749048.1
LOC106787043	XM_014749052.1
LOC106787044	XR_001381735.1
LOC106787045	XM_014749049.1
LOC106787046	XM_014749055.1
LOC106787047	XM_014749056.1
LOC106787048	XR_001381736.1
LOC106787049	XM_014749057.1
LOC106787050	XM_014749058.1
LOC106787051	XM_014749059.1
LOC106787052	XM_014749063.1
LOC106787053	XM_014749060.1
LOC106787054	XM_014749061.1
LOC106787055	XM_014749062.1
LOC106787056	XM_014749064.1
LOC106787057	XM_014749065.1
LOC106787058	XM_014749066.1
LOC106787059	XM_014749067.1
LOC106787060	XM_014749069.1
LOC106787061	XM_014749070.1
LOC106787062	XM_014749077.1
LOC106787063	XM_014749071.1
LOC106787064	XM_014749072.1
LOC106787065	XM_014749073.1
LOC106787066	XM_014749093.1
LOC106787067	XM_014749094.1
LOC106787068	XM_014749095.1
LOC106787069	XM_014749098.1
LOC106787070	XM_014749100.1
LOC106787071	XM_014749108.1
LOC106787072	XM_014749110.1
LOC106787073	XM_014749111.1
LOC106787074	XM_014749112.1
LOC106787075	XR_001381737.1
LOC106787076	XM_014749113.1
LOC106787077	XM_014749118.1
LOC106787078	XM_014749121.1
LOC106787079	XM_014749122.1
LOC106787080	XM_014749123.1
LOC106787081	XM_014749124.1
LOC106787082	XM_014749125.1
LOC106787083	XM_014749129.1
LOC106787084	XM_014749134.1
LOC106787085	XM_014749135.1
LOC106787086	XM_014749137.1
LOC106787087	XM_014749138.1
LOC106787088	XM_014749140.1
LOC106787089	XR_001381739.1
LOC106787090	XM_014749142.1
LOC106787091	XR_001381740.1
LOC106787092	XR_001381741.1
LOC106787093	XM_014749143.1
LOC106787094	XM_014749144.1
LOC106787095	XM_014749146.1
LOC106787096	XM_014749152.1
LOC106787097	XM_014749148.1
LOC106787098	XM_014749150.1
LOC106787099	XM_014749153.1
LOC106787100	XM_014749154.1
LOC106787101	XM_014749155.1
LOC106787102	XM_014749158.1
LOC106787103	XM_014749212.1
LOC106787104	XM_014749166.1
LOC106787105	XM_014749182.1
LOC106787106	XM_014749181.1
LOC106787107	XM_014749184.1
LOC106787108	XM_014749185.1
LOC106787109	XM_014749196.1
LOC106787110	XM_014749197.1
LOC106787111	XM_014749202.1
LOC106787112	XM_014749213.1
LOC106787113	XM_014749218.1
LOC106787114	XM_014749220.1
LOC106787115	XM_014749221.1
LOC106787116	XM_014749226.1
LOC106787117	XR_001381742.1
LOC106787118	XM_014749223.1
LOC106787119	XM_014749228.1
LOC106787120	XM_014749232.1
LOC106787121	XM_014749233.1
LOC106787122	XM_014749234.1
LOC106787123	XR_001381743.1
LOC106787124	XM_014749235.1
LOC106787125	XM_014749236.1
LOC106787126	XM_014749237.1
LOC106787127	XM_014749239.1
LOC106787128	XM_014749240.1
LOC106787129	XM_014749246.1
LOC106787130	XM_014749242.1
LOC106787131	XM_014749245.1
LOC106787132	XM_014749247.1
LOC106787133	XM_014749248.1
LOC106787134	XM_014749249.1
LOC106787135	XM_014749250.1
LOC106787136	XM_014749252.1
LOC106787137	XR_001381744.1
LOC106787138	XM_014749255.1
LOC106787139	XM_014749256.1
LOC106787140	XM_014749257.1
LOC106787141	XM_014749258.1
LOC106787142	XM_014749259.1
LOC106787143	XM_014749260.1
LOC106787144	XM_014749261.1
LOC106787145	XM_014749265.1
LOC106787146	XM_014749262.1
LOC106787147	XM_014749263.1
LOC106787148	XM_014749264.1
LOC106787149	XM_014749266.1
LOC106787150	XM_014749267.1
LOC106787151	XM_014749268.1
LOC106787152	XM_014749269.1
LOC106787153	XM_014749273.1
LOC106787154	XM_014749301.1
LOC106787155	XM_014749274.1
LOC106787156	XR_001381745.1
LOC106787157	XR_001381746.1
LOC106787158	XM_014749276.1
LOC106787159	XM_014749277.1
LOC106787160	XM_014749278.1
LOC106787161	XM_014749279.1
LOC106787162	XM_014749281.1
LOC106787163	XM_014749282.1
LOC106787164	XM_014749284.1
LOC106787165	XM_014749285.1
LOC106787166	XM_014749286.1
LOC106787167	XM_014749287.1
LOC106787168	XM_014749297.1
LOC106787169	XM_014749298.1
LOC106787170	XR_001381747.1
LOC106787171	XM_014749299.1
LOC106787172	XM_014749300.1
LOC106787173	XM_014749302.1
LOC106787174	XM_014749303.1
LOC106787175	XM_014749304.1
LOC106787176	XM_014749305.1
LOC106787177	XM_014749306.1
LOC106787178	XM_014749311.1
LOC106787179	XM_014749313.1
LOC106787180	XM_014749317.1
LOC106787181	XM_014749319.1
LOC106787182	XR_001381749.1
LOC106787183	XM_014749325.1
LOC106787184	XM_014749326.1
LOC106787185	XM_014749330.1
LOC106787186	XM_014749327.1
LOC106787187	XR_001381751.1
LOC106787188	XM_014749328.1
LOC106787189	XM_014749334.1
LOC106787190	XM_014749335.1
LOC106787191	XM_014749338.1
LOC106787192	XM_014749341.1
LOC106787193	XM_014749346.1
LOC106787194	XM_014749347.1
LOC106787195	XR_001381752.1
LOC106787196	XM_014749349.1
LOC106787197	XM_014749354.1
LOC106787198	XM_014749355.1
LOC106787199	XM_014749365.1
LOC106787200	XM_014749366.1
LOC106787201	XR_001381753.1
LOC106787202	XM_014749369.1
LOC106787203	XM_014749374.1
LOC106787204	XR_001381755.1
LOC106787205	XM_014749379.1
LOC106787206	XM_014749382.1
LOC106787207	XM_014749390.1
LOC106787208	XM_014749387.1
LOC106787209	XM_014749389.1
LOC106787210	XM_014749391.1
LOC106787211	XR_001381756.1
LOC106787212	XM_014749393.1
LOC106787213	XM_014749394.1
LOC106787214	XM_014749397.1
LOC106787215	XM_014749402.1
LOC106787216	XM_014749399.1
LOC106787217	XM_014749400.1
LOC106787218	XM_014749401.1
LOC106787219	XM_014749403.1
LOC106787220	XM_014749405.1
LOC106787221	XM_014749409.1
LOC106787222	XM_014749414.1
LOC106787223	XM_014749411.1
LOC106787224	XM_014749412.1
LOC106787225	XM_014749413.1
LOC106787226	XM_014749416.1
LOC106787227	XM_014749420.1
LOC106787228	XM_014749421.1
LOC106787229	XM_014749424.1
LOC106787230	XM_014749425.1
LOC106787231	XM_014749427.1
LOC106787232	XM_014749428.1
LOC106787233	XM_014749429.1
LOC106787234	XM_014749430.1
LOC106787235	XM_014749432.1
LOC106787236	XM_014749433.1
LOC106787237	XM_014749434.1
LOC106787238	XM_014749435.1
LOC106787239	XM_014749436.1
LOC106787240	XM_014749437.1
LOC106787241	XM_014749438.1
LOC106787242	XM_014749442.1
LOC106787243	XM_014749440.1
LOC106787244	XM_014749441.1
LOC106787245	XM_014749443.1
LOC106787246	XM_014749444.1
LOC106787247	XM_014749445.1
LOC106787248	XM_014749450.1
LOC106787249	XM_014749455.1
LOC106787250	XM_014749451.1
LOC106787251	XM_014749454.1
LOC106787252	XM_014749456.1
LOC106787253	XM_014749457.1
LOC106787254	XR_001381759.1
LOC106787255	XR_001381762.1
LOC106787256	XM_014749458.1
LOC106787257	XM_014749462.1
LOC106787258	XM_014749501.1
LOC106787259	XM_014749465.1
LOC106787260	XM_014749463.1
LOC106787261	XM_014749464.1
LOC106787262	XM_014749468.1
LOC106787263	XM_014749475.1
LOC106787264	XM_014749476.1
LOC106787265	XM_014749477.1
LOC106787266	XM_014749478.1
LOC106787267	XM_014749481.1
LOC106787268	XM_014749492.1
LOC106787269	XM_014749483.1
LOC106787270	XM_014749484.1
LOC106787271	XM_014749486.1
LOC106787272	XM_014749488.1
LOC106787273	XM_014749489.1
LOC106787274	XM_014749490.1
LOC106787275	XR_001381768.1
LOC106787276	XM_014749491.1
LOC106787277	XM_014749493.1
LOC106787278	XM_014749494.1
LOC106787279	XR_001381769.1
LOC106787280	XM_014749499.1
LOC106787281	XM_014749516.1
LOC106787282	XM_014749504.1
LOC106787283	XM_014749509.1
