NM_001280889.2	Bombus terrestris acyl-CoA delta-9 desaturase (npve), mRNA
XM_003402239.3	PREDICTED: Bombus terrestris AP-3 complex subunit mu-1 (LOC100645146), mRNA
XM_003402240.4	PREDICTED: Bombus terrestris transcriptional adapter 1 (LOC100645269), transcript variant X1, mRNA
XM_003402243.3	PREDICTED: Bombus terrestris conserved oligomeric Golgi complex subunit 5 (LOC100645581), transcript variant X1, mRNA
XM_003402245.4	PREDICTED: Bombus terrestris ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1 (LOC100645816), transcript variant X1, mRNA
XM_003402247.4	PREDICTED: Bombus terrestris sarcolemmal membrane-associated protein (LOC100646046), mRNA
XM_003402250.4	PREDICTED: Bombus terrestris dephospho-CoA kinase domain-containing protein (LOC100646394), mRNA
XM_003402251.3	PREDICTED: Bombus terrestris 60S ribosomal protein L7a (LOC100646610), mRNA
XM_003402252.4	PREDICTED: Bombus terrestris Fanconi anemia group D2 protein (LOC100646808), mRNA
XM_003402254.4	PREDICTED: Bombus terrestris transport and Golgi organization protein 2 (LOC100647046), transcript variant X1, mRNA
XM_003402257.4	PREDICTED: Bombus terrestris vacuolar protein sorting-associated protein 33A (LOC100647399), transcript variant X1, mRNA
XM_003402259.4	PREDICTED: Bombus terrestris UDP-glucose 6-dehydrogenase (LOC100647643), transcript variant X1, mRNA
XM_003402260.4	PREDICTED: Bombus terrestris transmembrane protein 53 (LOC100647756), mRNA
XM_003402262.3	PREDICTED: Bombus terrestris polyubiquitin-A (LOC100648000), mRNA
XM_003402265.4	PREDICTED: Bombus terrestris zinc finger RNA-binding protein (LOC100648347), transcript variant X1, mRNA
XM_003402266.4	PREDICTED: Bombus terrestris geranylgeranyl transferase type-1 subunit beta (LOC100648466), mRNA
XM_003402268.3	PREDICTED: Bombus terrestris DDB1- and CUL4-associated factor 12 homolog (LOC100648696), transcript variant X1, mRNA
XM_003402271.4	PREDICTED: Bombus terrestris GRAM domain-containing protein 2A (LOC100649040), transcript variant X2, mRNA
XM_003402272.4	PREDICTED: Bombus terrestris protein prenyltransferase alpha subunit repeat-containing protein 1 (LOC100649158), mRNA
XM_003402273.4	PREDICTED: Bombus terrestris hemocyte protein-glutamine gamma-glutamyltransferase (LOC100649278), mRNA
XM_003402274.4	PREDICTED: Bombus terrestris NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 (LOC100649398), transcript variant X1, mRNA
XM_003402278.4	PREDICTED: Bombus terrestris fizzy-related protein homolog (LOC100649980), mRNA
XM_003402281.4	PREDICTED: Bombus terrestris zinc finger protein Noc (LOC100650348), mRNA
XM_003402282.4	PREDICTED: Bombus terrestris zinc finger protein Elbow (LOC100650465), mRNA
XM_003402284.4	PREDICTED: Bombus terrestris phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 (LOC100650707), transcript variant X4, mRNA
XM_003402286.4	PREDICTED: Bombus terrestris RNA-binding protein 4.1 (LOC100650942), transcript variant X1, mRNA
XM_003402289.4	PREDICTED: Bombus terrestris phospholipid phosphatase 1 (LOC100651425), transcript variant X2, mRNA
XM_003402290.4	PREDICTED: Bombus terrestris phospholipid phosphatase 1 (LOC100651425), transcript variant X1, mRNA
XM_003402294.4	PREDICTED: Bombus terrestris Bardet-Biedl syndrome 5 protein homolog (LOC100652062), transcript variant X2, mRNA
XM_003402297.4	PREDICTED: Bombus terrestris protein pinocchio (LOC100642389), transcript variant X5, mRNA
XM_003402303.4	PREDICTED: Bombus terrestris uncharacterized LOC100643142 (LOC100643142), mRNA
XM_003402307.4	PREDICTED: Bombus terrestris probable small nuclear ribonucleoprotein Sm D1 (LOC100643716), transcript variant X1, mRNA
XM_003402309.4	PREDICTED: Bombus terrestris serine/threonine-protein phosphatase 6 catalytic subunit (LOC100643958), mRNA
XM_003402311.4	PREDICTED: Bombus terrestris succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (LOC100644194), transcript variant X1, mRNA
XM_003402317.4	PREDICTED: Bombus terrestris coiled-coil domain-containing protein 22 homolog (LOC100645393), mRNA
XM_003402321.4	PREDICTED: Bombus terrestris CDK5 regulatory subunit-associated protein 3 (LOC100645897), transcript variant X1, mRNA
XM_003402322.4	PREDICTED: Bombus terrestris ATP-dependent RNA helicase SUV3 homolog, mitochondrial (LOC100646206), transcript variant X1, mRNA
XM_003402323.4	PREDICTED: Bombus terrestris BTB/POZ domain-containing protein KCTD9 (LOC100646323), transcript variant X3, mRNA
XM_003402328.4	PREDICTED: Bombus terrestris octopamine receptor beta-2R (LOC100647004), transcript variant X1, mRNA
XM_003402331.3	PREDICTED: Bombus terrestris odorant receptor 24a-like (LOC100647523), mRNA
XM_003402351.4	PREDICTED: Bombus terrestris acidic leucine-rich nuclear phosphoprotein 32 family member B (LOC100650181), mRNA
XM_003402352.4	PREDICTED: Bombus terrestris RNA polymerase II-associated factor 1 homolog (LOC100650306), transcript variant X1, mRNA
XM_003402353.4	PREDICTED: Bombus terrestris WASH complex subunit 3 (LOC100650424), mRNA
XM_003402354.3	PREDICTED: Bombus terrestris 60S ribosomal protein L44 (LOC100650547), transcript variant X2, mRNA
XM_003402357.4	PREDICTED: Bombus terrestris uncharacterized LOC100650864 (LOC100650864), mRNA
XM_003402360.2	PREDICTED: Bombus terrestris sister chromatid cohesion protein DCC1 (LOC100651305), mRNA
XM_003402361.4	PREDICTED: Bombus terrestris CCAAT/enhancer-binding protein gamma (LOC100651426), mRNA
XM_003402362.4	PREDICTED: Bombus terrestris elongin-C (LOC100651545), transcript variant X3, mRNA
XM_003402363.4	PREDICTED: Bombus terrestris elongin-C (LOC100651545), transcript variant X1, mRNA
XM_003402364.4	PREDICTED: Bombus terrestris UDP-glucose 4-epimerase (LOC100651781), transcript variant X2, mRNA
XM_003402369.4	PREDICTED: Bombus terrestris ankyrin repeat domain-containing protein 49 (LOC100652300), mRNA
XM_003402370.4	PREDICTED: Bombus terrestris sodium- and chloride-dependent transporter XTRP3 (LOC100642270), transcript variant X1, mRNA
XM_003402371.4	PREDICTED: Bombus terrestris sodium- and chloride-dependent transporter XTRP3 (LOC100642270), transcript variant X2, mRNA
XM_003402373.4	PREDICTED: Bombus terrestris COMM domain-containing protein 8 (LOC100642590), mRNA
XM_003402374.4	PREDICTED: Bombus terrestris uncharacterized LOC100642711 (LOC100642711), mRNA
XM_003402375.4	PREDICTED: Bombus terrestris protein FAM151B (LOC100642826), transcript variant X1, mRNA
XM_003402377.4	PREDICTED: Bombus terrestris protein peste (LOC100643022), mRNA
XM_003402378.4	PREDICTED: Bombus terrestris protein borderless (LOC100643143), transcript variant X1, mRNA
XM_003402380.4	PREDICTED: Bombus terrestris polyphosphoinositide phosphatase (LOC100643388), transcript variant X1, mRNA
XM_003402381.4	PREDICTED: Bombus terrestris ubiquitin-60S ribosomal protein L40 (LOC100643509), transcript variant X1, mRNA
XM_003402384.4	PREDICTED: Bombus terrestris gamma-aminobutyric acid type B receptor subunit 1 (LOC100643790), transcript variant X3, mRNA
XM_003402389.4	PREDICTED: Bombus terrestris gem-associated protein 8 (LOC100644385), mRNA
XM_003402392.4	PREDICTED: Bombus terrestris ATP-binding cassette sub-family G member 1 (LOC100644744), transcript variant X2, mRNA
XM_003402393.3	PREDICTED: Bombus terrestris venom serine protease 34 (LOC100644867), mRNA
XM_003402394.4	PREDICTED: Bombus terrestris ATP-binding cassette sub-family G member 1 (LOC100644985), transcript variant X2, mRNA
XM_003402396.4	PREDICTED: Bombus terrestris 60S acidic ribosomal protein P2 (LOC100645225), mRNA
XM_003402397.4	PREDICTED: Bombus terrestris UHRF1-binding protein 1 (LOC100645355), transcript variant X3, mRNA
XM_003402398.4	PREDICTED: Bombus terrestris ribonuclease P protein subunit p29 (LOC100645474), transcript variant X2, mRNA
XM_003402401.4	PREDICTED: Bombus terrestris gamma-gliadin (LOC100645733), transcript variant X2, mRNA
XM_003402408.4	PREDICTED: Bombus terrestris uncharacterized LOC100646760 (LOC100646760), transcript variant X1, mRNA
XM_003402409.4	PREDICTED: Bombus terrestris NF-kappa-B inhibitor-interacting Ras-like protein (LOC100646884), mRNA
XM_003402410.4	PREDICTED: Bombus terrestris potassium channel subfamily K member 13 (LOC100647005), mRNA
XM_003402413.4	PREDICTED: Bombus terrestris A-kinase anchor protein 200 (LOC100647483), transcript variant X3, mRNA
XM_003402417.4	PREDICTED: Bombus terrestris hemicentin-2 (LOC100648077), transcript variant X1, mRNA
XM_003402418.4	PREDICTED: Bombus terrestris medium-chain acyl-CoA ligase ACSF2, mitochondrial (LOC100648190), transcript variant X1, mRNA
XM_003402423.4	PREDICTED: Bombus terrestris inactive peptidyl-prolyl cis-trans isomerase FKBP6 (LOC100648773), mRNA
XM_003402424.4	PREDICTED: Bombus terrestris PIH1 domain-containing protein 1 (LOC100648887), transcript variant X1, mRNA
XM_003402426.4	PREDICTED: Bombus terrestris protein-L-isoaspartate(D-aspartate) O-methyltransferase (LOC100649008), transcript variant X2, mRNA
XM_003402427.4	PREDICTED: Bombus terrestris protein-L-isoaspartate(D-aspartate) O-methyltransferase (LOC100649008), transcript variant X3, mRNA
XM_003402428.4	PREDICTED: Bombus terrestris sphingosine-1-phosphate phosphatase 1 (LOC100649279), mRNA
XM_003402430.4	PREDICTED: Bombus terrestris F-box only protein 22 (LOC100649521), transcript variant X1, mRNA
XM_003402431.4	PREDICTED: Bombus terrestris 5'-AMP-activated protein kinase subunit beta-1 (LOC100649644), transcript variant X1, mRNA
XM_003402432.4	PREDICTED: Bombus terrestris dachshund homolog 2 (LOC100649754), transcript variant X2, mRNA
XM_003402433.4	PREDICTED: Bombus terrestris juvenile hormone acid O-methyltransferase (LOC100649865), mRNA
XM_003402434.4	PREDICTED: Bombus terrestris 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II (LOC100649981), transcript variant X1, mRNA
XM_003402436.4	PREDICTED: Bombus terrestris protein croquemort (LOC100650182), transcript variant X3, mRNA
XM_003402437.4	PREDICTED: Bombus terrestris protein croquemort (LOC100650182), transcript variant X1, mRNA
XM_003402439.4	PREDICTED: Bombus terrestris engulfment and cell motility protein 1 (LOC100650506), mRNA
XM_003402440.4	PREDICTED: Bombus terrestris protein cornichon homolog 4 (LOC100650623), mRNA
XM_003402441.4	PREDICTED: Bombus terrestris protein CASC3 (LOC100650747), transcript variant X1, mRNA
XM_003402443.4	PREDICTED: Bombus terrestris endoplasmic reticulum lectin 1 (LOC100650985), transcript variant X1, mRNA
XM_003402444.4	PREDICTED: Bombus terrestris intraflagellar transport protein 43 homolog (LOC100651106), transcript variant X2, mRNA
XM_003402445.4	PREDICTED: Bombus terrestris uncharacterized LOC100651228 (LOC100651228), transcript variant X1, mRNA
XM_003402447.4	PREDICTED: Bombus terrestris uncharacterized LOC100651587 (LOC100651587), transcript variant X1, mRNA
XM_003402448.4	PREDICTED: Bombus terrestris 39S ribosomal protein L4, mitochondrial (LOC100651704), mRNA
XM_003402449.4	PREDICTED: Bombus terrestris probable protein S-acyltransferase 23 (LOC100651822), transcript variant X3, mRNA
XM_003402454.4	PREDICTED: Bombus terrestris guanine nucleotide-binding protein G(s) subunit alpha (LOC100642353), transcript variant X1, mRNA
XM_003402455.4	PREDICTED: Bombus terrestris ATP-dependent RNA helicase Ddx1 (LOC100642473), mRNA
XM_003402458.4	PREDICTED: Bombus terrestris transportin-3 (LOC100642785), mRNA
XM_003402464.4	PREDICTED: Bombus terrestris cAMP-dependent protein kinase catalytic subunit 1 (LOC100643510), mRNA
XM_003402466.4	PREDICTED: Bombus terrestris scavenger receptor class B member 1 (LOC100643869), mRNA
XM_003402467.3	PREDICTED: Bombus terrestris vesicle-associated membrane protein 4 (LOC100643993), transcript variant X1, mRNA
XM_003402468.3	PREDICTED: Bombus terrestris vesicle-associated membrane protein 4 (LOC100643993), transcript variant X2, mRNA
XM_003402471.4	PREDICTED: Bombus terrestris uncharacterized LOC100644539 (LOC100644539), transcript variant X1, mRNA
XM_003402472.4	PREDICTED: Bombus terrestris polycomb group RING finger protein 3 (LOC100644745), mRNA
XM_003402479.4	PREDICTED: Bombus terrestris diphosphoinositol polyphosphate phosphohydrolase 1 (LOC100645582), mRNA
XM_003402485.4	PREDICTED: Bombus terrestris zinc finger protein 346 (LOC100646278), transcript variant X1, mRNA
XM_003402486.4	PREDICTED: Bombus terrestris UPF0415 protein C7orf25 homolog (LOC100646396), mRNA
XM_003402487.4	PREDICTED: Bombus terrestris tetratricopeptide repeat protein 12 (LOC100646522), transcript variant X2, mRNA
XM_003402491.4	PREDICTED: Bombus terrestris BTB/POZ domain-containing protein KCTD16 (LOC100647127), mRNA
XM_003402492.4	PREDICTED: Bombus terrestris mucolipin-3 (LOC100647245), transcript variant X1, mRNA
XM_003402504.4	PREDICTED: Bombus terrestris protein unc-119 homolog B (LOC100649360), mRNA
XM_003402510.4	PREDICTED: Bombus terrestris protein ILRUN (LOC100650019), transcript variant X1, mRNA
XM_003402512.4	PREDICTED: Bombus terrestris endocuticle structural glycoprotein SgAbd-2-like (LOC100650261), mRNA
XM_003402517.4	PREDICTED: Bombus terrestris 39S ribosomal protein L12, mitochondrial (LOC100650866), mRNA
XM_003402533.4	PREDICTED: Bombus terrestris histone deacetylase complex subunit SAP30 homolog (LOC100642827), mRNA
XM_003402538.4	PREDICTED: Bombus terrestris phosphoserine phosphatase (LOC100643511), mRNA
XM_003402541.4	PREDICTED: Bombus terrestris ubiquitin-conjugating enzyme E2 G2 (LOC100644043), transcript variant X1, mRNA
XM_003402542.4	PREDICTED: Bombus terrestris S-adenosylmethionine sensor upstream of mTORC1 (LOC100644156), mRNA
XM_003402543.4	PREDICTED: Bombus terrestris 60S ribosomal protein L28 (LOC100644276), transcript variant X1, mRNA
XM_003402557.4	PREDICTED: Bombus terrestris uncharacterized LOC100645854 (LOC100645854), transcript variant X1, mRNA
XM_003402559.4	PREDICTED: Bombus terrestris aminopeptidase N (LOC100646048), mRNA
XM_003402564.4	PREDICTED: Bombus terrestris uridine phosphorylase 1 (LOC100646810), transcript variant X1, mRNA
XM_003402566.4	PREDICTED: Bombus terrestris guanine nucleotide-binding protein G(q) subunit alpha (LOC100647165), transcript variant X1, mRNA
XM_003402570.4	PREDICTED: Bombus terrestris calpain-7 (LOC100647560), transcript variant X1, mRNA
XM_003402574.4	PREDICTED: Bombus terrestris uncharacterized LOC100648039 (LOC100648039), transcript variant X1, mRNA
XM_003402575.4	PREDICTED: Bombus terrestris ataxin-2-like protein (LOC100648151), transcript variant X1, mRNA
XM_003402580.4	PREDICTED: Bombus terrestris CWF19-like protein 2 (LOC100648697), transcript variant X1, mRNA
XM_003402581.4	PREDICTED: Bombus terrestris protein FAM133B (LOC100648808), transcript variant X1, mRNA
XM_003402582.4	PREDICTED: Bombus terrestris protein arginine methyltransferase NDUFAF7, mitochondrial (LOC100648922), mRNA
XM_003402585.4	PREDICTED: Bombus terrestris uncharacterized LOC100649280 (LOC100649280), transcript variant X3, mRNA
XM_003402586.4	PREDICTED: Bombus terrestris caprin homolog (LOC100649400), mRNA
XM_003402587.4	PREDICTED: Bombus terrestris copper transport protein ATOX1 homolog (LOC100649522), mRNA
XM_003402588.3	PREDICTED: Bombus terrestris SH2B adapter protein 1 (LOC100649645), transcript variant X1, mRNA
XM_003402590.3	PREDICTED: Bombus terrestris nuclear exosome regulator NRDE2 (LOC100649866), mRNA
XM_003402592.4	PREDICTED: Bombus terrestris DNA fragmentation factor subunit alpha (LOC100650103), mRNA
XM_003402593.3	PREDICTED: Bombus terrestris uncharacterized LOC100650228 (LOC100650228), transcript variant X1, mRNA
XM_003402594.4	PREDICTED: Bombus terrestris immunoglobulin superfamily DCC subclass member 4 (LOC100650349), mRNA
XM_003402595.4	PREDICTED: Bombus terrestris uncharacterized LOC100650466 (LOC100650466), mRNA
XM_003402596.4	PREDICTED: Bombus terrestris LHFPL tetraspan subfamily member 6 protein (LOC100650585), transcript variant X3, mRNA
XM_003402598.4	PREDICTED: Bombus terrestris uncharacterized LOC100651060 (LOC100651060), mRNA
XM_003402603.4	PREDICTED: Bombus terrestris POC1 centriolar protein homolog A (LOC100651663), transcript variant X3, mRNA
XM_003402604.3	PREDICTED: Bombus terrestris dynein light chain Tctex-type protein 2B-like (LOC100651782), mRNA
XM_003402607.4	PREDICTED: Bombus terrestris ubiquitin-conjugating enzyme E2 R2 (LOC100652215), transcript variant X1, mRNA
XM_003402608.4	PREDICTED: Bombus terrestris microsomal glutathione S-transferase 1 (LOC100652331), mRNA
XM_003402609.4	PREDICTED: Bombus terrestris protein JTB (LOC100642308), mRNA
XM_003402613.4	PREDICTED: Bombus terrestris glucosidase 2 subunit beta (LOC100642786), mRNA
XM_003402614.4	PREDICTED: Bombus terrestris GRB2-associated-binding protein 2 (LOC100642907), transcript variant X1, mRNA
XM_003402617.4	PREDICTED: Bombus terrestris WD repeat-containing protein 19 (LOC100643225), mRNA
XM_003402618.4	PREDICTED: Bombus terrestris membrane-associated progesterone receptor component 1 (LOC100643348), mRNA
XM_003402619.4	PREDICTED: Bombus terrestris bestrophin-2 (LOC100643636), transcript variant X2, mRNA
XM_003402621.4	PREDICTED: Bombus terrestris rab GDP dissociation inhibitor beta (LOC100643833), mRNA
XM_003402623.4	PREDICTED: Bombus terrestris histone-lysine N-methyltransferase Suv4-20 (LOC100644080), transcript variant X1, mRNA
XM_003402624.4	PREDICTED: Bombus terrestris FAST kinase domain-containing protein 5, mitochondrial (LOC100644196), mRNA
XM_003402626.4	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase SH3RF3 (LOC100644423), transcript variant X1, mRNA
XM_003402627.4	PREDICTED: Bombus terrestris probable ATP-dependent RNA helicase DDX49 (LOC100644541), mRNA
XM_003402628.4	PREDICTED: Bombus terrestris transmembrane protein 53 (LOC100644664), transcript variant X1, mRNA
XM_003402629.4	PREDICTED: Bombus terrestris short-chain specific acyl-CoA dehydrogenase, mitochondrial (LOC100644786), mRNA
XM_003402633.3	PREDICTED: Bombus terrestris serine/threonine-protein phosphatase alpha-2 isoform (LOC100645394), mRNA
XM_003402636.4	PREDICTED: Bombus terrestris endoplasmic reticulum resident protein 29 (LOC100645660), transcript variant X1, mRNA
XM_003402637.4	PREDICTED: Bombus terrestris T-box transcription factor TBX10 (LOC100645898), mRNA
XM_003402639.4	PREDICTED: Bombus terrestris phenylalanine--tRNA ligase alpha subunit (LOC100646131), transcript variant X1, mRNA
XM_003402640.4	PREDICTED: Bombus terrestris facilitated trehalose transporter Tret1-like (LOC100646248), transcript variant X1, mRNA
XM_003402644.4	PREDICTED: Bombus terrestris ubiquitin carboxyl-terminal hydrolase 16 (LOC100646886), transcript variant X2, mRNA
XM_003402646.4	PREDICTED: Bombus terrestris uncharacterized LOC100647128 (LOC100647128), transcript variant X1, mRNA
XM_003402651.4	PREDICTED: Bombus terrestris elongation of very long chain fatty acids protein 6 (LOC100648002), transcript variant X1, mRNA
XM_003402652.4	PREDICTED: Bombus terrestris elongation of very long chain fatty acids protein 6 (LOC100648002), transcript variant X2, mRNA
XM_003402654.4	PREDICTED: Bombus terrestris synaptotagmin 1 (LOC100648923), transcript variant X1, mRNA
XM_003402655.4	PREDICTED: Bombus terrestris vitellogenin receptor (LOC100649042), transcript variant X1, mRNA
XM_003402657.4	PREDICTED: Bombus terrestris out at first protein (LOC100649241), mRNA
XM_003402658.3	PREDICTED: Bombus terrestris arginine kinase-like (LOC100649361), mRNA
XM_003402661.4	PREDICTED: Bombus terrestris glutamate--cysteine ligase regulatory subunit (LOC100649719), transcript variant X1, mRNA
XM_003402664.4	PREDICTED: Bombus terrestris homologous-pairing protein 2 homolog (LOC100650062), transcript variant X1, mRNA
XM_003402667.4	PREDICTED: Bombus terrestris glutathione synthetase (LOC100650384), transcript variant X1, mRNA
XM_003402668.3	PREDICTED: Bombus terrestris ornithine decarboxylase 2 (LOC100650508), transcript variant X1, mRNA
XM_003402669.4	PREDICTED: Bombus terrestris serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (LOC100650625), transcript variant X2, mRNA
XM_003402674.4	PREDICTED: Bombus terrestris uncharacterized LOC100651147 (LOC100651147), transcript variant X4, mRNA
XM_003402676.4	PREDICTED: Bombus terrestris RNA-binding protein pno1 (LOC100651392), mRNA
XM_003402677.4	PREDICTED: Bombus terrestris uncharacterized LOC100651508 (LOC100651508), transcript variant X6, mRNA
XM_003402678.4	PREDICTED: Bombus terrestris uncharacterized LOC100651508 (LOC100651508), transcript variant X4, mRNA
XM_003402679.4	PREDICTED: Bombus terrestris far upstream element-binding protein 3 (LOC100651706), transcript variant X1, mRNA
XM_003402680.4	PREDICTED: Bombus terrestris lateral signaling target protein 2 homolog (LOC100651824), transcript variant X1, mRNA
XM_003402684.4	PREDICTED: Bombus terrestris transcription factor BTF3 homolog 4 (LOC100642309), mRNA
XM_003402685.4	PREDICTED: Bombus terrestris protein EFR3 homolog cmp44E (LOC100642429), mRNA
XM_003402688.4	PREDICTED: Bombus terrestris peptidyl-prolyl cis-trans isomerase FKBP4 (LOC100642713), transcript variant X1, mRNA
XM_003402690.4	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase MARCHF5 (LOC100642946), transcript variant X1, mRNA
XM_003402691.4	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase MARCHF5 (LOC100642946), transcript variant X2, mRNA
XM_003402693.4	PREDICTED: Bombus terrestris transmembrane protein 68 (LOC100643226), transcript variant X1, mRNA
XM_003402694.4	PREDICTED: Bombus terrestris chymotrypsin-1 (LOC100643349), mRNA
XM_003402695.4	PREDICTED: Bombus terrestris 2-aminoethanethiol dioxygenase (LOC100643470), transcript variant X1, mRNA
XM_003402696.4	PREDICTED: Bombus terrestris 2-aminoethanethiol dioxygenase (LOC100643470), transcript variant X2, mRNA
XM_003402700.4	PREDICTED: Bombus terrestris fructose-bisphosphate aldolase (LOC100644112), mRNA
XM_003402705.4	PREDICTED: Bombus terrestris farnesol dehydrogenase (LOC100644832), mRNA
XM_003402712.4	PREDICTED: Bombus terrestris synaptosomal-associated protein 29 (LOC100645735), mRNA
XM_003402715.4	PREDICTED: Bombus terrestris PAX-interacting protein 1 (LOC100646085), mRNA
XM_003402716.4	PREDICTED: Bombus terrestris serine protease gd (LOC100646207), transcript variant X2, mRNA
XM_003402717.4	PREDICTED: Bombus terrestris serine protease gd (LOC100646207), transcript variant X3, mRNA
XM_003402719.4	PREDICTED: Bombus terrestris uncharacterized LOC100646524 (LOC100646524), transcript variant X1, mRNA
XM_003402722.4	PREDICTED: Bombus terrestris leucine-rich repeat-containing protein 24-like (LOC100646887), mRNA
XM_003402726.4	PREDICTED: Bombus terrestris metabotropic glutamate receptor-like protein R (LOC100647446), mRNA
XM_003402727.4	PREDICTED: Bombus terrestris odorant receptor 2 (LOC100631089), mRNA
XM_003402728.4	PREDICTED: Bombus terrestris ATP-dependent RNA helicase me31b (LOC100647830), mRNA
XM_003402729.4	PREDICTED: Bombus terrestris alpha-tocopherol transfer protein-like (LOC100647950), mRNA
XM_003402730.4	PREDICTED: Bombus terrestris endoglucanase E-4 (LOC100648079), mRNA
XM_003402731.4	PREDICTED: Bombus terrestris glucose dehydrogenase [FAD, quinone] (LOC100648192), transcript variant X1, mRNA
XM_003402734.4	PREDICTED: Bombus terrestris leucine-rich repeat-containing protein 47 (LOC100648495), mRNA
XM_003402736.4	PREDICTED: Bombus terrestris CDP-diacylglycerol--inositol 3-phosphatidyltransferase (LOC100648730), transcript variant X1, mRNA
XM_003402738.4	PREDICTED: Bombus terrestris zinc finger protein 236 (LOC100648959), mRNA
XM_003402739.4	PREDICTED: Bombus terrestris nuclear transcription factor Y subunit gamma (LOC100649074), mRNA
XM_003402740.4	PREDICTED: Bombus terrestris intraflagellar transport protein 52 homolog (LOC100649194), mRNA
XM_003402742.4	PREDICTED: Bombus terrestris TATA-box-binding protein (LOC100649431), mRNA
XM_003402743.4	PREDICTED: Bombus terrestris uncharacterized LOC100649556 (LOC100649556), mRNA
XM_003402744.4	PREDICTED: Bombus terrestris general odorant-binding protein 56d (LOC100649907), mRNA
XM_003402747.4	PREDICTED: Bombus terrestris outer dense fiber protein 3 (LOC100650262), mRNA
XM_003402748.3	PREDICTED: Bombus terrestris outer dense fiber protein 3-like (LOC100650385), mRNA
XM_003402749.4	PREDICTED: Bombus terrestris KICSTOR complex protein SZT2 (LOC100650586), transcript variant X1, mRNA
XM_003402754.3	PREDICTED: Bombus terrestris putative fatty acyl-CoA reductase CG5065 (LOC100651509), transcript variant X1, mRNA
XM_003402760.4	PREDICTED: Bombus terrestris jerky protein homolog-like (LOC100652332), mRNA
XM_003402761.4	PREDICTED: Bombus terrestris uncharacterized LOC100642624 (LOC100642624), mRNA
XM_003402762.4	PREDICTED: Bombus terrestris mitochondrial dicarboxylate carrier (LOC100642743), mRNA
XM_003402764.4	PREDICTED: Bombus terrestris protein bicaudal C homolog 1-B (LOC100642983), transcript variant X1, mRNA
XM_003402768.4	PREDICTED: Bombus terrestris N6-adenosine-methyltransferase non-catalytic subunit (LOC100643430), transcript variant X1, mRNA
XM_003402770.4	PREDICTED: Bombus terrestris uncharacterized LOC100643674 (LOC100643674), mRNA
XM_003402771.4	PREDICTED: Bombus terrestris uncharacterized LOC100643834 (LOC100643834), mRNA
XM_003402772.4	PREDICTED: Bombus terrestris synaptic vesicle glycoprotein 2A (LOC100643960), mRNA
XM_003402773.4	PREDICTED: Bombus terrestris frizzled-7-B (LOC100644081), mRNA
XM_003402774.4	PREDICTED: Bombus terrestris uncharacterized LOC100644197 (LOC100644197), transcript variant X1, mRNA
XM_003402775.4	PREDICTED: Bombus terrestris 5-methylcytosine rRNA methyltransferase NSUN4 (LOC100644316), mRNA
XM_003402776.4	PREDICTED: Bombus terrestris wiskott-Aldrich syndrome protein family member 3 (LOC100644542), transcript variant X3, mRNA
XM_003402777.4	PREDICTED: Bombus terrestris U6 snRNA-associated Sm-like protein LSm3 (LOC100644665), mRNA
XM_003402780.4	PREDICTED: Bombus terrestris E3 SUMO-protein ligase NSE2 (LOC100645106), mRNA
XM_003402784.4	PREDICTED: Bombus terrestris probable serine/threonine-protein kinase DDB_G0282963 (LOC100645613), transcript variant X4, mRNA
XM_003402785.4	PREDICTED: Bombus terrestris uncharacterized LOC100631064 (LOC100631064), transcript variant X1, mRNA
XM_003402788.4	PREDICTED: Bombus terrestris dynein axonemal assembly factor 6 (LOC100646208), mRNA
XM_003402790.4	PREDICTED: Bombus terrestris intraflagellar transport protein 80 homolog (LOC100646448), transcript variant X2, mRNA
XM_003402794.4	PREDICTED: Bombus terrestris JNK MAP kinase basket (LOC100631091), transcript variant X3, mRNA
XM_003402801.4	PREDICTED: Bombus terrestris GTPase-activating protein skywalker (LOC100647951), transcript variant X4, mRNA
XM_003402802.4	PREDICTED: Bombus terrestris bcl-2-related ovarian killer protein (LOC100648118), transcript variant X3, mRNA
XM_003402803.4	PREDICTED: Bombus terrestris bcl-2-related ovarian killer protein (LOC100648118), transcript variant X2, mRNA
XM_003402805.4	PREDICTED: Bombus terrestris vacuolar protein sorting-associated protein 29 (LOC100648420), mRNA
XM_003402808.4	PREDICTED: Bombus terrestris aspartate aminotransferase, mitochondrial (LOC100648774), transcript variant X2, mRNA
XM_003402811.4	PREDICTED: Bombus terrestris sodium/potassium-transporting ATPase subunit beta-2 (LOC100649123), mRNA
XM_003402814.4	PREDICTED: Bombus terrestris sodium/potassium-transporting ATPase subunit beta-2 (LOC100649482), mRNA
XM_003402815.4	PREDICTED: Bombus terrestris polymerase delta-interacting protein 3 (LOC100649607), transcript variant X1, mRNA
XM_003402816.4	PREDICTED: Bombus terrestris U4/U6 small nuclear ribonucleoprotein Prp31 (LOC100646644), transcript variant X5, mRNA
