Orthogroup	Acep	Amel	Bter	Caus	Hlab	Pcan	Sinv	Vcra
OG0000412	XM_012199023.1	XM_396552.7	XM_048409479.1	Caust.v2_008403-RA	XM_017938430.1	XM_014757570.1, XM_014757571.1	XM_011166814.3	XM_046977713.1, XM_046977714.1
OG0000413	XM_012199055.1	XM_006562809.3	XM_048409087.1	Caust.v2_005667-RA	XM_017936782.1	XM_014755441.1	XM_026134251.2, XR_005575114.1, XR_005575778.1	XM_046979034.1
OG0000414	XM_012199076.1	XM_026445886.1	XM_048411165.1	Caust.v2_013919-RA	XM_017936050.1	XM_014760640.1, XM_014760722.1	XM_026134257.2	XM_046965200.1, XM_046965208.1
OG0000415	XM_012199084.1	XM_006559367.3, XR_003306267.1	XM_020867566.2	Caust.v2_015052-RA	XM_017937289.1	XM_014759689.1	XM_011157102.3, XM_039452941.1	XM_046964477.1
OG0000416	XM_012199086.1	NM_001168700.1	XM_020867562.2	Caust.v2_007626-RA, Caust.v2_009353-RA, Caust.v2_009361-RA	XM_017937304.1	XM_014759846.1	XM_011157106.3	XM_046964972.1
OG0000417	XM_012199091.1	XM_026445908.1, XM_026445909.1	XM_012318241.3	Caust.v2_012182-RA, Caust.v2_012184-RA	XM_017937310.1	XM_014759688.1	XM_011157112.3	XM_046964676.1
OG0000418	XM_012199092.1	XM_006559348.3, XR_003306210.1	XM_003402152.4, XR_007227486.1	Caust.v2_012179-RA	XM_017937305.1	XM_014759839.1	XM_011157113.3	XM_046964453.1
OG0000419	XM_012199140.1	XM_623865.6	XM_003398313.4	Caust.v2_013791-RB, Caust.v2_017035-RA	XM_017938383.1		XM_011161717.3, XM_011161738.3	XM_046960976.1, XM_046960978.1
OG0000420	XM_012199343.1	XM_006561821.3	XM_048408452.1	Caust.v2_001133-RA, Caust.v2_001134-RA, Caust.v2_001138-RA	XM_017933726.1	XM_014755057.1	XM_026134390.2	XM_046966317.1
OG0000421	XM_012199374.1	XM_006560749.3, XM_026442953.1	XM_048408430.1	Caust.v2_013210-RA, Caust.v2_013214-RB	XM_017938283.1	XM_014747388.1	XM_039451015.1	XM_046979956.1
OG0000422	XM_012199375.1	XM_026442656.1	XM_012311778.3	Caust.v2_013198-RA, Caust.v2_013199-RA, Caust.v2_021115-RA	XM_017938266.1	XM_014747392.1	XM_039451028.1	XM_046980163.1
OG0000423	XM_012199379.1	XM_026442782.1	XM_048408888.1	Caust.v2_011871-RB	XM_017939593.1	XM_014744943.1, XM_014744946.1	XM_026134370.2	XM_046964250.1, XM_046964252.1
OG0000424	XM_012199390.1	XM_026445214.1	XM_048409797.1, XM_048411988.1	Caust.v2_004906-RA	XM_017943015.1	XM_014748394.1	XM_039450861.1, XM_039459394.1	XM_046982723.1
OG0000425	XM_012199517.1	XM_006565913.2	XM_012320338.3, XM_020867369.2	Caust.v2_005714-RA	XM_017938962.1	XM_014755164.1	XM_011172888.3	XM_046970317.1, XM_046970318.1
OG0000426	XM_012199532.1	XM_003251219.4, XR_411267.3	XM_003393664.4	Caust.v2_008791-RA	XM_017940936.1	XM_014760068.1	XM_011157517.3	XM_046962299.1, XR_006942080.1
OG0000427	XM_012199547.1	XM_026445386.1	XM_012317133.3	Caust.v2_002359-RA, Caust.v2_020547-RA	XM_017943689.1	XM_014747761.1	XM_039458787.1	XM_046965833.1, XM_046966172.1
OG0000428	XM_012199598.1, XM_012206359.1	XM_394331.7	XM_003393797.4	Caust.v2_005270-RA	XM_017935033.1, XM_017935041.1	XM_014748156.1	XM_011173851.3	XM_046966373.1
OG0000429	XM_012199629.1	XM_026440822.1	XM_048405684.1	Caust.v2_009407-RA, Caust.v2_009413-RA, Caust.v2_009418-RA	XM_017938107.1	XM_014760718.1	XM_039447254.1	XM_046982753.1
OG0000430	XM_012199686.1, XM_012206538.1	XM_006568750.3	XM_003393647.4	Caust.v2_008809-RA	XM_017941053.1	XM_014745576.1, XR_001381514.1	XM_011174617.3	XM_046971746.1
OG0000431	XM_012199708.1	XM_001122450.5	XM_012313550.3	Caust.v2_016898-RA, Caust.v2_019529-RA, Caust.v2_022686-RA	XM_017936787.1	XM_014754700.1	XM_011171426.3	XM_046966842.1
OG0000432	XM_012199748.1						XM_011157604.3, XM_026131438.2, XM_026131441.2, XM_026131442.2, XM_026131443.2, XM_039458391.1, XM_039458471.1, XM_039458472.1, XM_039458780.1	
OG0000433	XM_012199783.1	XM_001121944.5	XM_048404564.1	Caust.v2_002564-RA	XM_017938330.1	XM_014759291.1, XR_001382281.1	XM_039448095.1, XR_005575607.1	XM_046978109.1
OG0000434	XM_012199802.1	XM_003251740.3	XM_003393311.4	Caust.v2_011175-RA, Caust.v2_018604-RA	XM_017937012.1	XM_014758092.1, XM_014758973.1	XM_039459130.1	XM_046961503.1
OG0000435	XM_012199814.1	NM_001165905.1, XR_001704200.2	XM_048408548.1	Caust.v2_011280-RA, Caust.v2_011281-RA	XM_017941873.1	XM_014753013.1	XM_039448606.1	XM_046959862.1
OG0000436	XM_012199823.1	XM_026442848.1	XM_020864421.2, XR_007225252.1, XR_007225254.1	Caust.v2_014526-RA	XM_017935390.1	XM_014755404.1	XM_026136909.2	XM_046974846.1
OG0000437	XM_012199832.1	XM_394429.7	XM_048404396.1	Caust.v2_002703-RD, Caust.v2_002705-RA	XM_017933775.1	XM_014760450.1	XM_011160966.3	XM_046963809.1, XM_046963846.1
OG0000438	XM_012199873.1	XM_393141.7, XM_623133.6	XM_012321200.3	Caust.v2_000304-RA, Caust.v2_000307-RA	XM_017932602.1	XM_014757128.1	XM_011161047.3	XM_046962377.1
OG0000439	XM_012199884.1	XM_016911903.2, XM_016911906.2	XM_048404849.1	Caust.v2_007066-RA	XM_017932456.1	XM_014745582.1	XM_011161074.3, XR_003268676.2	XM_046957554.1
OG0000440	XM_012199918.1	NM_001014993.1	XM_012318108.3	Caust.v2_011543-RH	XM_017938160.1	XM_014749781.1, XM_014755808.1	XM_011161139.3	XM_046969039.1, XM_046969880.1
OG0000441	XM_012200002.1	NM_001131037.1	XM_048411324.1	Caust.v2_011334-RA, Caust.v2_011335-RA, Caust.v2_011340-RA	XM_017933287.1	XM_014751499.1	XM_039455271.1	XM_046972202.1
OG0000442	XM_012200046.1	XM_016915919.2	XM_048411461.1	Caust.v2_000460-RA, Caust.v2_000464-RA	XM_017933396.1	XM_014750662.1	XM_039454873.1, XR_003268244.2	XM_046982017.1
OG0000443	XM_012200047.1, XM_012200164.1	XM_006560400.3, XR_003305969.1	XM_012315297.3	Caust.v2_000449-RB	XM_017933264.1	XM_014746328.1	XM_039455175.1	XM_046963668.1
OG0000444	XM_012200139.1						XM_011164634.3, XM_039455081.1, XM_039455804.1, XM_039456649.1, XM_039457147.1, XR_005574251.1, XR_005574291.1, XR_005575674.1, XR_005576274.1	
OG0000445	XM_012200142.1	XM_006570005.3	XM_012309951.3	Caust.v2_013261-RA, Caust.v2_017623-RA, Caust.v2_017661-RA	XM_017936773.1	XM_014751284.1	XM_039455071.1	XM_046976056.1
OG0000446	XM_012200185.1	XM_026441696.1	XM_048408214.1	Caust.v2_012024-RA, Caust.v2_012025-RA	XM_017938021.1	XM_014757894.1	XM_039458329.1	XM_046958344.1, XM_046958345.1
OG0000447	XM_012200188.1	XM_016916887.2, XM_026445707.1	XM_048412516.1	Caust.v2_014090-RA, Caust.v2_015823-RA	XM_017943642.1	XM_014757603.1	XM_011165642.3	XM_046968263.1
OG0000448	XM_012200198.1	XM_392431.5	XM_003396506.4	Caust.v2_016024-RA, Caust.v2_016025-RA, Caust.v2_016601-RA	XM_017936806.1	XM_014757588.1	XM_039455074.1	XM_046979405.1
OG0000449	XM_012200230.1	XM_016916056.2	XM_012308987.3	Caust.v2_004150-RA, Caust.v2_004153-RA	XM_017943471.1, XM_017943593.1	XM_014746973.1	XM_026137174.2	XM_046971936.1
OG0000450	XM_012200265.1	XM_026446213.1	XM_048405689.1	Caust.v2_005622-RA, Caust.v2_005623-RA, Caust.v2_009262-RA	XM_017943871.1	XM_014759124.1	XM_039452189.1	XM_046966224.1
OG0000451	XM_012200293.1	XM_026441839.1	XM_003393234.4	Caust.v2_012127-RB	XM_017932838.1	XM_014749767.1, XR_001381783.1	XM_011163422.3, XM_039452174.1	XM_046967149.1
OG0000452	XM_012200356.1	XM_026441286.1	XM_012309159.3	Caust.v2_006951-RA, Caust.v2_019455-RA	XM_017940630.1	XM_014755588.1	XM_026135735.2, XM_039451668.1	XM_046978431.1
OG0000453	XM_012200357.1	NM_001040258.1	XM_012309153.3, XR_002307763.2	Caust.v2_006945-RA, Caust.v2_018818-RA	XM_017938250.1	XM_014755572.1	XM_026135718.2	XM_046978436.1
OG0000454	XM_012200446.1, XM_012206705.1	XM_393264.6	XM_048408033.1	Caust.v2_009005-RA	XM_017943407.1	XM_014758175.1	XM_026139505.2, XM_026139521.2	XM_046982843.1
OG0000455	XM_012200471.1	XM_016915530.2	XM_048411141.1	Caust.v2_004591-RA, Caust.v2_004595-RB, Caust.v2_022216-RA	XM_017938931.1	XM_014742874.1	XM_026137929.2	XM_046971923.1
OG0000456	XM_012200475.1	XM_006561197.3	XM_012314603.3	Caust.v2_004624-RA, Caust.v2_004630-RA, Caust.v2_004633-RA	XM_017939511.1	XM_014760144.1	XM_026137922.2	XM_046972153.1
OG0000457	XM_012200476.1	XM_006557748.3	XM_003399682.4, XM_003399683.4	Caust.v2_007029-RA	XM_017942891.1	XM_014749063.1	XM_011166920.3	XM_046963381.1, XM_046963384.1
OG0000458	XM_012200508.1, XM_012206608.1	XM_016915193.2	XM_003399296.4	Caust.v2_002806-RA, Caust.v2_002811-RA	XM_017933773.1	XM_014744326.1	XM_026139629.2	XM_046959226.1
OG0000459	XM_012200599.1	XM_016912612.2	XM_048406922.1	Caust.v2_011592-RB	XM_017942135.1	XM_014746666.1, XR_001381572.1	XM_039457026.1	XM_046982474.1, XR_006944413.1
OG0000460	XM_012200643.1	XM_026443322.1, XM_397274.7	XM_003394118.4	Caust.v2_001972-RA		XM_014748890.1, XM_014748894.1		XM_046979810.1, XM_046979818.1, XR_006944061.1
OG0000461	XM_012200703.1						XM_011171226.2, XM_011174738.3, XM_026139663.2, XM_039447852.1, XM_039454198.1, XM_039454518.1, XM_039459270.1, XR_005576055.1, XR_851002.3	
OG0000462	XM_012200706.1, XM_012200708.1	XM_026442676.1, XR_003305305.1	XM_012313541.3	Caust.v2_009806-RA	XM_017938335.1	XM_014755185.1	XM_011177174.3	XM_046980816.1
OG0000463	XM_012200707.1	XM_026443513.1	XM_048409283.1	Caust.v2_010472-RA, Caust.v2_013749-RA	XM_017938369.1, XM_017938396.1	XM_014745517.1	XM_011163202.3	XM_046974775.1
OG0000464	XM_012200711.1, XM_012206739.1	XM_006565361.3	XM_012309492.3	Caust.v2_011917-RA, Caust.v2_017557-RA	XM_017933518.1	XM_014754366.1	XM_011177201.3	XM_046978604.1
OG0000465	XM_012200713.1	XM_392421.7	XM_003396141.4	Caust.v2_017723-RA, Caust.v2_017973-RA, Caust.v2_020566-RA	XM_017942125.1	XM_014746673.1	XM_011177286.3	XM_046956939.1
OG0000466	XM_012200773.1	XM_026444936.1	XM_003400913.4	Caust.v2_010061-RA, Caust.v2_011700-RA	XM_017942212.1	XM_014749499.1, XM_014753312.1	XM_026132316.2	XM_046978575.1
OG0000467	XM_012200796.1	XM_006559588.3	XM_003397005.3	Caust.v2_016198-RA, Caust.v2_016199-RA, Caust.v2_016200-RA	XM_017934937.1	XM_014758397.1	XM_039457568.1	XM_046981963.1
OG0000468	XM_012200832.1	XM_026441739.1	XM_012310973.3	Caust.v2_012665-RE	XM_017934986.1	XM_014757316.1	XM_026134069.2	XM_046977050.1, XM_046977137.1, XR_006943772.1
OG0000469	XM_012200845.1	XM_026446191.1	XM_012310525.3, XM_020863547.2	Caust.v2_015898-RA	XM_017932722.1	XM_014758659.1	XM_011170154.3, XR_003268527.2	XM_046977238.1
OG0000470	XM_012200902.1	XM_624748.5, XR_001705785.2	XM_003396256.4	Caust.v2_006282-RA, Caust.v2_016871-RA	XM_017936904.1	XM_014756186.1	XM_011157898.3	XM_046965653.1
OG0000471	XM_012200954.1	XM_623707.6	XM_012310415.3	Caust.v2_008126-RB, Caust.v2_017939-RB, Caust.v2_017981-RA	XM_017939679.1	XM_014755357.1	XM_026133280.2	XM_046957476.1
OG0000472	XM_012201032.1, XM_012201035.1, XM_012201036.1	XM_624939.6	XM_003394514.4	Caust.v2_001884-RC	XM_017932640.1	XM_014752570.1	XM_039455442.1	XM_046971274.1
OG0000473	XM_012201061.1	NM_001113285.1	XM_003401543.4	Caust.v2_014557-RA, Caust.v2_014559-RA, Caust.v2_014565-RA	XM_017940814.1	XM_014753443.1	XM_011171307.3	XM_046974005.1
OG0000474	XM_012201119.1, XM_012201121.1, XM_012201124.1, XM_012201234.1, XM_012201236.1, XM_012201237.1, XM_012201239.1, XM_012201245.1, XM_012206579.1, XM_012206803.1							
OG0000475	XM_012201193.1	XM_026441708.1	XM_012313160.3	Caust.v2_008540-RA	XM_017939005.1	XM_014750975.1, XM_014750985.1	XM_011166454.3	XM_046967891.1, XM_046967895.1
OG0000476	XM_012201213.1	XM_394055.7	XM_012316633.3	Caust.v2_010817-RA, Caust.v2_019461-RA	XM_017936086.1, XM_017939873.1	XM_014747523.1	XM_011171308.3	XM_046974139.1
OG0000477	XM_012201399.1	XM_006563155.3, XM_006563157.3	XM_012314774.3	Caust.v2_013332-RA, Caust.v2_013334-RA	XM_017937125.1	XM_014749633.1	XM_011169946.3	XM_046978364.1
OG0000478	XM_012201405.1	XM_006565555.3	XM_012312569.3, XR_007225556.1	Caust.v2_007149-RA	XM_017935455.1	XM_014755848.1, XM_014755880.1	XM_011169928.3	XM_046979678.1
OG0000479	XM_012201418.1	XM_393397.7	XM_003394598.4, XR_007227817.1	Caust.v2_002160-RA	XM_017936214.1	XM_014742876.1	XM_039456211.1, XM_039456213.1	XM_046971441.1
OG0000480	XM_012201452.1	NM_001165904.1	XM_048404662.1	Caust.v2_001775-RA, Caust.v2_001777-RA	XM_017934009.1	XM_014756627.1	XM_039455464.1, XM_039455479.1	XM_046961657.1
OG0000481	XM_012201506.1	XR_409037.3	XM_048409261.1, XR_007225426.1, XR_007225427.1	Caust.v2_017518-RA	XM_017938465.1	XM_014758540.1	XM_039455340.1	XM_046981063.1
OG0000482	XM_012201654.1	XM_026442196.1	XM_012317491.3	Caust.v2_013927-RA	XM_017937926.1, XM_017938835.1	XM_014747282.1, XM_014753377.1	XM_011177315.3	XM_046974370.1
OG0000483	XM_012201666.1	XM_016913369.2	XM_048413136.1, XR_007226732.1	Caust.v2_009642-RA	XM_017932032.1	XM_014745073.1, XR_001381474.1	XM_039457854.1	XM_046976642.1
OG0000484	XM_012201731.1	XM_001121636.5	XM_048406040.1	Caust.v2_004983-RA, Caust.v2_004985-RA, Caust.v2_021637-RA	XM_017935358.1	XM_014752659.1	XM_039458649.1	XM_046960402.1
OG0000485	XM_012201736.1	XM_006567662.3, XM_026440885.1	XM_020862942.2, XM_048406014.1	Caust.v2_011392-RA	XM_017933188.1	XM_014758003.1	XM_011173999.3, XR_003268738.2	
OG0000486	XM_012201740.1	XM_026443422.1	XM_048409694.1	Caust.v2_011877-RA	XM_017938446.1	XM_014759881.1, XM_014759891.1	XM_039452839.1	XM_046961232.1, XM_046961256.1
OG0000487	XM_012201766.1	XM_392366.7	XM_003395536.4	Caust.v2_007682-RA, Caust.v2_007683-RA	XM_017938167.1, XM_017940860.1	XM_014747011.1	XM_026132960.2	XM_046971203.1
OG0000488	XM_012201812.1	XM_006570212.3	XM_003395598.4	Caust.v2_003503-RA, Caust.v2_019976-RA	XM_017936677.1	XM_014751322.1	XM_026132009.2, XM_026132014.2	XM_046971650.1
OG0000489	XM_012201919.1	XM_016913360.2	XM_048408280.1	Caust.v2_012452-RB, Caust.v2_020596-RA	XM_017935102.1, XM_017935106.1	XM_014755778.1	XM_011169979.3	XM_046974653.1
OG0000490	XM_012201964.1	XM_395448.7	XM_003393056.4	Caust.v2_005905-RA, Caust.v2_005907-RA, Caust.v2_022174-RA	XM_017943899.1	XM_014751975.1	XM_011170792.3	XM_046973956.1
OG0000491	XM_012201983.1	XM_026439039.1	XM_003393486.4, XM_003393489.4	Caust.v2_011126-RA, Caust.v2_012911-RA	XM_017941813.1	XM_014744035.1	XM_011167359.3	XM_046957859.1
OG0000492	XM_012202034.1, XM_012202810.1	XM_394976.7	XM_012311446.3	Caust.v2_001991-RA	XM_017944032.1	XM_014749833.1	XM_011160002.3, XM_026132797.2	XM_046976348.1
OG0000493	XM_012202065.1	XM_016913546.2	XM_048413494.1, XR_001099423.3	Caust.v2_013548-RC, Caust.v2_017637-RA	XM_017938493.1	XM_014746377.1	XM_026141335.2	XM_046962464.1
OG0000494	XM_012202074.1	NM_001011631.1	XM_012320730.3	Caust.v2_001714-RA, Caust.v2_001722-RA, Caust.v2_001729-RA	XM_017933887.1	XM_014747303.1	XM_039451545.1	XM_046974695.1
OG0000495	XM_012202075.1	XM_026446429.1	XM_048414209.1	Caust.v2_011514-RA, Caust.v2_015268-RA, Caust.v2_015391-RA	XM_017941810.1	XM_014743013.1	XM_039451538.1	XM_046958570.1
OG0000496	XM_012202121.1	XM_006571430.3, XM_026446071.1	XM_048408633.1, XM_048408661.1	Caust.v2_021610-RA	XM_017939878.1	XM_014752821.1	XM_039447759.1	XM_046977874.1
OG0000497	XM_012202146.1	XM_026440488.1	XM_012308265.3	Caust.v2_013995-RA, Caust.v2_013997-RA, Caust.v2_013998-RA	XM_017939773.1	XM_014760835.1	XM_026132223.2	XM_046964528.1
OG0000498	XM_012202161.1	XM_016912172.2	XM_048405831.1, XR_007224073.1	Caust.v2_003436-RB	XM_017940588.1	XM_014744036.1	XM_026132175.2	XM_046962740.1, XR_006942243.1
OG0000499	XM_012202185.1, XM_012202187.1	XM_006557645.3	XM_003393589.3, XM_048410247.1	Caust.v2_003008-RB	XM_017937210.1	XM_014747129.1	XM_011169135.3	XM_046975359.1
OG0000500	XM_012202189.1	XM_016913577.2, XR_003305157.1	XM_020867373.2, XR_007225192.1	Caust.v2_005086-RA	XM_017937406.1	XM_014753105.1	XM_039449189.1	XM_046959896.1
OG0000501	XM_012202196.1	XM_026446313.1, XM_397475.7	XM_003393448.4	Caust.v2_013826-RA, Caust.v2_019474-RA	XM_017943778.1	XM_014752741.1	XM_011169106.3	XM_046958160.1
OG0000502	XM_012202249.1, XM_012203412.1	XM_026441023.1	XM_012308499.3	Caust.v2_004487-RA	XM_017940534.1	XM_014757721.1	XM_011161881.3	XM_046978980.1, XM_046978983.1
OG0000503	XM_012202252.1	XM_006566788.3	XM_003394680.4	Caust.v2_002079-RA, Caust.v2_002082-RA	XM_017936254.1	XM_014750958.1	XM_011172622.3, XR_005574194.1	XM_046982322.1
OG0000504	XM_012202312.1	XM_006570999.3	XM_020865626.2	Caust.v2_016040-RA, Caust.v2_017222-RA, Caust.v2_019025-RA	XM_017939092.1	XM_014746097.1	XM_039454083.1	XM_046961692.1
OG0000505	XM_012202316.1	NM_001327956.1	XM_003393369.3, XM_048405859.1	Caust.v2_014636-RA, Caust.v2_021403-RA	XM_017939088.1	XM_014753900.1	XM_011160305.3	XM_046961713.1
OG0000506	XM_012202356.1, XM_012202538.1	XM_006572061.3	XM_012315046.3, XM_012317630.3	Caust.v2_004538-RA	XM_017939401.1	XM_014758014.1	XM_026132044.2	XM_046982627.1
OG0000507	XM_012202388.1	XM_006567975.3	XM_048404562.1, XR_007223501.1, XR_007226880.1	Caust.v2_004752-RA	XM_017936212.1	XM_014745899.1	XM_026134626.2	XM_046976657.1
OG0000508	XM_012202396.1, XM_012204730.1	XM_016911362.2, XR_003304451.1	XM_048414618.1	Caust.v2_000129-RA	XM_017932994.1	XM_014747115.1	XM_039452834.1	XM_046975287.1
OG0000509	XM_012202419.1	XM_006564655.3	XM_048413469.1, XM_048413474.1	Caust.v2_001637-RA, Caust.v2_001639-RA	XM_017931970.1	XM_014755322.1	XM_026130456.2	XM_046969942.1
OG0000510	XM_012202420.1	XM_026442517.1, XR_001703999.2	XM_048413167.1	Caust.v2_001629-RA, Caust.v2_001634-RA	XM_017932016.1	XM_014755308.1	XM_026130438.2	XM_046970588.1
OG0000511	XM_012202433.1	NM_001080110.1	XM_048410021.1, XR_007225695.1	Caust.v2_000878-RA	XM_017934814.1, XM_017940044.1	XM_014749669.1	XM_039452181.1	XM_046980153.1
OG0000512	XM_012202583.1, XM_012202585.1, XM_012202586.1, XM_012202744.1						XM_011173853.3, XM_011173876.3, XM_011173884.3, XM_026133957.2, XM_026133958.2, XM_039446682.1	
OG0000513	XM_012202621.1	XM_026445799.1	XM_048414120.1	Caust.v2_003934-RA, Caust.v2_003936-RA	XM_017936049.1	XM_014743832.1, XM_014743833.1	XM_039446588.1	XM_046963498.1
OG0000514	XM_012202715.1	XM_016912683.2, XR_003304875.1	XM_003402229.4	Caust.v2_007963-RA, Caust.v2_007968-RA	XM_017942029.1	XM_014745638.1	XM_026133926.2	XM_046973041.1
OG0000515	XM_012202724.1	XM_026442325.1	XM_012317656.3	Caust.v2_013302-RA, Caust.v2_018707-RA	XM_017938627.1	XM_014756509.1	XM_026133955.2	XM_046972505.1, XR_006943218.1
OG0000516	XM_012202726.1	XM_003249464.4, XM_006559535.3, XR_003305085.1	XM_003401794.4, XM_012317843.3	Caust.v2_009638-RB	XM_017931951.1		XM_011174206.3, XM_011174215.3	
OG0000517	XM_012202728.1, XM_012205928.1	XM_016911436.2	XM_048410636.1	Caust.v2_010586-RA	XM_017943126.1	XM_014755697.1	XM_011177512.3, XM_039448890.1	XM_046978652.1
OG0000518	XM_012202799.1	XM_006567782.3, XR_410987.3	XM_012308832.3, XR_007224024.1	Caust.v2_003450-RC	XM_017935348.1	XM_014760131.1	XM_011167569.3	XM_046967320.1
OG0000519	XM_012202814.1	XM_026440932.1	XM_003394613.4	Caust.v2_006404-RA, Caust.v2_006409-RA, Caust.v2_021393-RA	XM_017934559.1	XM_014754405.1	XM_011160007.3	XM_046965384.1
OG0000520	XM_012202843.1, XM_012202923.1	XM_026446285.1	XM_048407338.1	Caust.v2_014374-RA	XM_017938819.1	XM_014750017.1	XM_026131983.2, XM_039458207.1	XM_046974561.1
OG0000521	XM_012202907.1	XM_026442968.1	XM_048408485.1	Caust.v2_007017-RA, Caust.v2_015934-RA, Caust.v2_020728-RA, Caust.v2_020793-RA	XM_017941316.1, XM_017941502.1		XM_039448290.1	
OG0000522	XM_012202938.1	XM_003250943.4	XM_003402434.4	Caust.v2_007566-RF	XM_017936500.1	XM_014751705.1, XM_014758888.1	XM_011167646.3	XM_046976523.1, XM_046976546.1
OG0000523	XM_012202942.1	XM_016915534.2	XM_012314591.3	Caust.v2_004578-RA	XM_017936005.1, XM_017940863.1	XM_014751397.1, XM_014755966.1	XM_011167629.3	XM_046967883.1
OG0000524	XM_012202962.1	XM_026443378.1	XM_003398258.4	Caust.v2_005153-RA, Caust.v2_005155-RB	XM_017934873.1	XM_014742624.1	XM_011163090.3	XM_046969109.1, XM_046969124.1
OG0000525	XM_012202971.1	XM_026440149.1	XM_048405119.1	Caust.v2_016294-RA, Caust.v2_018048-RA	XM_017940784.1	XM_014756423.1	XM_039456264.1, XM_039456265.1	XM_046973713.1
OG0000526	XM_012203053.1	XM_001121775.5, XM_016911722.2	XM_012307886.3, XM_048405048.1	Caust.v2_011934-RA	XM_017938258.1	XM_014750560.1	XM_011178013.3	XM_046964171.1
OG0000527	XM_012203055.1	XM_392318.7	XM_048405484.1	Caust.v2_015170-RA, Caust.v2_015176-RA, Caust.v2_020541-RA	XM_017941667.1	XM_014750924.1	XM_039453793.1	XM_046957606.1
OG0000528	XM_012203070.1	XM_026445132.1, XR_001705541.2	XM_020866332.2	Caust.v2_011828-RC, Caust.v2_017686-RA	XM_017939112.1	XM_014746294.1	XM_039456364.1	XM_046965126.1
OG0000529	XM_012203082.1	XM_026443903.1	XM_003399179.4	Caust.v2_003129-RA	XM_017940074.1	XM_014759644.1	XM_039456668.1, XR_003269080.2, XR_005576158.1	XM_046968204.1
OG0000530	XM_012203091.1	XM_006566363.3	XM_020865547.2	Caust.v2_014788-RA, Caust.v2_014789-RA, Caust.v2_019934-RA	XM_017937357.1	XM_014752982.1	XM_026138057.2	XM_046960533.1
OG0000531	XM_012203327.1	XM_624706.6	XM_012312716.3	Caust.v2_013598-RA	XM_017934558.1	XM_014750676.1, XM_014750685.1	XM_026138349.2	XM_046973599.1, XM_046973606.1
OG0000532	XM_012203332.1	XM_396315.7	XM_048409489.1	Caust.v2_012532-RA, Caust.v2_013594-RA	XM_017934552.1, XM_017934553.1	XM_014750725.1	XM_026138347.2	XM_046974165.1
OG0000533	XM_012203413.1	XM_006564185.3	XM_003395412.4	Caust.v2_004482-RA, Caust.v2_004483-RA	XM_017940510.1	XM_014757723.1, XR_001382235.1	XM_026139554.2	XM_046978760.1
OG0000534	XM_012203448.1	XM_006563613.3	XM_012316620.3	Caust.v2_008695-RA	XM_017934171.1	XM_014754925.1, XM_014756643.1	XM_011169475.3	XM_046974290.1, XM_046974295.1
OG0000535	XM_012203478.1	XM_006559202.3	XM_003401462.4, XR_001099399.3	Caust.v2_006017-RA	XM_017938049.1	XM_014758528.1	XM_039448254.1	XM_046973958.1, XR_006943379.1
OG0000536	XM_012203508.1	NR_039519.1, XM_006564187.3	XM_012308501.3	Caust.v2_004484-RA	XM_017940537.1	XM_014757725.1	XM_039448377.1, XR_005574590.1	XM_046978756.1
OG0000537	XM_012203558.1	XM_394742.7	XM_003401873.4, XR_002307758.2	Caust.v2_013296-RA, Caust.v2_013297-RA	XM_017938587.1	XM_014752599.1	XM_039457028.1	XM_046977889.1
OG0000538	XM_012203567.1	XM_026442314.1	XM_048413575.1	Caust.v2_018468-RA, Caust.v2_018470-RA, Caust.v2_020659-RA	XM_017931982.1	XM_014753191.1	XM_039446435.1	XM_046974973.1
OG0000539	XM_012203598.1	XM_016915605.2, XR_003305841.1	XM_003399767.4	Caust.v2_012230-RA	XM_017939403.1	XM_014758783.1	XM_026135992.2	XM_046976888.1, XM_046977195.1
OG0000540	XM_012203609.1	NM_001077816.1	XM_048412688.1	Caust.v2_003265-RB, Caust.v2_003267-RA, Caust.v2_003268-RA	XM_017941181.1	XM_014742385.1	XM_039458730.1	XM_046967272.1
OG0000541	XM_012203617.1	XM_026444223.1	XM_012314569.3, XM_020866046.2	Caust.v2_003307-RA, Caust.v2_003308-RB	XM_017936934.1	XM_014760204.1	XM_026138753.2	XM_046959448.1
OG0000542	XM_012203636.1	XM_624653.5	XM_048410630.1	Caust.v2_001060-RA, Caust.v2_001065-RA, Caust.v2_001068-RA	XM_017937369.1	XM_014747293.1	XM_039457942.1	XM_046974594.1
OG0000543	XM_012203663.1	XM_006566161.3, XR_003305518.1, XR_003305520.1	XM_012313072.3	Caust.v2_006176-RA	XM_017933401.1	XM_014747370.1	XM_039455999.1	XM_046976859.1
OG0000544	XM_012203673.1	XM_016914472.2	XM_020865192.2	Caust.v2_006178-RB	XM_017932252.1	XM_014747351.1	XM_011162380.3, XM_039455991.1	XM_046976857.1, XM_046976866.1
OG0000545	XM_012203736.1	XM_016917917.2	XM_012309922.3	Caust.v2_014204-RA, Caust.v2_014207-RA, Caust.v2_020504-RA	XM_017936879.1	XM_014748788.1	XM_026138635.2	XM_046963451.1
OG0000546	XM_012203762.1	XM_003251351.4, XR_411513.3	XM_012310203.3	Caust.v2_006926-RA	XM_017936783.1	XM_014748079.1, XR_001381662.1	XM_039455012.1	XM_046965798.1
